NUM	NUM	NUM	TEXT	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	TEXT	TEXT	TEXT	NUM	TEXT	NUM	NUM	NUM	NUM	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	NUM	NUM	NUM
9	-1	0	【剧场】礼物	【剧场】礼物	8	-1	-1	10	-1	-1	0	-1	-1	-1	22002	-1	-1	-1	-1	1	187	0	0	800	0	0	1	25	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t好了，快拿给孛儿贴吧，这孩子一定会很高兴的。	将银狐围脖送给@npc_101004		放弃任务	\t（孛儿贴抚摸着银光泛泛的柔软绒毛）请替我谢谢铁木真的母亲，告诉她我很喜欢她织的围脖。	101004	孛儿贴	-1	-1	-1	-1	将银狐围脖送给@npc_101004						0		0
10	-1	0	【剧场】蔑里岂猛于虎	【剧场】蔑里岂猛于虎	6	9	-1	10	-1	-1	0	-1	-1	-1	12000	12002	-1	-1	-1	1	198	0	0	800	0	0	1	25	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t昨天蔑里岂的首领带着蔑里岂士兵前来抢亲，是我们族人拼了命的保护才让那些野蛮的蔑里岂人没有得逞。可是我怕不用多久他们又会回来的。这怎么办好？\n\t我的义子速布台单身一人去追他们了，希望你能去帮帮他。	消灭@npc_13015和5个@npc_13014	\t将蔑里岂人赶出这片草原。	放弃任务	\t无恶不作的蔑里岂人，这次一定要给他们点教训。\n\t什么，你已经为我们教训了蔑里岂人？十分感谢你，这样我们的族人就可以安宁的生活在这片草原上了。	101007	速布台	-1	-1	0	11	消灭5个@npc_13014	消灭@npc_13015					0		0
11	-1	0	【剧场】速布台的追随	【剧场】速布台的追随	10	-1	-1	10	-1	-1	0	-1	-1	-1	22000	-1	-1	-1	-1	1	209	0	0	800	0	0	1	25	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	10275989|10275990|10275991|10275992|10275993|10275994|10275995|10275996|10275997|10275998|10275999|10276000	1	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t铁木真！你刚才说的就是那个草原英雄铁木真？我对他是敬仰已久，请回去转告德薛禅，我打算去追随铁木真。	回复@npc_101005		放弃任务	\t草原上的苍狼总会追寻最强大的狼王，这也一定是长生天的旨意，速布台陪伴铁木真，比在我这里终老一生是个好的多的选择。	101005	德薛禅	-1	-1	0	13	回复@npc_101005						0		0
13	-1	0	【剧场】孛儿贴的选择	【剧场】孛儿贴的选择	11	-1	-1	10	-1	-1	0	-1	-1	-1	22000	-1	-1	-1	-1	1	198	0	0	1495	0	0	1	25	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t孛儿贴这孩子似乎也有了自己的心事，一直在犹犹豫豫的好像有话要对你说。	询问@npc_101004的心意		放弃任务	\t我……我已经仔细的想过了，应该相信自己的感觉，在他们中做出自己的选择。	101004	孛儿贴	-1	-1	-1	-1	询问@npc_101004的心意						0		0
14	-1	0	【剧场】孛儿贴的歉意<一>	【剧场】孛儿贴的歉意<一>	13	-1	-1	10	-1	-1	0	-1	-1	-1	22000	-1	-1	-1	-1	1	220	0	0	1495	0	0	1	25	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t请告诉木华黎大哥，孛儿贴选择了铁木真，愿意永远和铁木真在一起。	将孛儿贴的话带给@npc_101002		放弃任务	\t哈哈哈，铁木真这家伙果然有一手啊，远近闻名的草原明珠孛儿贴也对他芳心暗投。\n\t不过么，他们两人确实很般配，至少比我般配多了，我祝福他们，愿长生天保佑他们永远幸福。    	101002	木华黎	-1	-1	-1	-1	找到@npc_101002						0		0
15	200000	1	【剧场】孛儿贴的歉意<二>	【剧场】孛儿贴的歉意<二>	14	-1	-1	10	-1	-1	0	-1	-1	-1	22000	-1	-1	-1	-1	1	220	0	0	1495	0	0	1	25	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t请你告诉札木合，在孛儿贴的心中，他一直如兄长一般，希望以后他能继续做孛儿贴的大哥。	将孛儿贴的话带给@npc_101003		放弃任务	\t孛儿贴选择了铁木真？一直是把我当兄长看待？我不相信！我平时对孛儿贴那么好，她居然仅仅把我当个哥哥！难道她真的不明白我的心意么…… \n\t我最心爱的孛儿贴……难道真的和传言说得一样，铁木真是天狼星转世，是这片草原的主人么？	101003	札木合	-1	-1	-1	-1	找到@npc_101003						0		0
16	-1	0	【剧场】三兄弟的馈赠	【剧场】三兄弟的馈赠	15	15	-1	10	-1	-1	0	-1	-1	-1	22000	-1	-1	-1	-1	1	220	0	0	1495	0	0	1	25	0	0	0	0	0	0	13020011	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t我，札木合，还有木华黎，结成了安答。听老人们常说，但凡做安答啊，就是如同一条命一样不相舍弃，要用自己的生命来救护对方，相亲相爱到永远。我一定要与我的好安答陪伴终身！\n\t对了，你对我们兄弟三人义结安答起了重要作用，为了感谢你，我们要送你一个礼物。	接受@npc_101001的礼物。		放弃任务	\t长生天在上，我铁木真和木华黎，札木合两位安答将我们结拜的信物雕翎箭，赠送给你，你是我们三人永远的朋友！	101001	铁木真	-1	-1	0	17	接受@npc_101001的礼物						0		0
17	-1	0	【剧场】重见道长	【剧场】重见道长	16	-1	-1	10	-1	-1	0	-1	-1	-1	22000	-1	-1	-1	-1	1	220	0	0	1495	0	0	1	25	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t刚才有个装束奇怪的人来过，他自称丘处机道长，让你去罕难河畔找他。	听说丘道长有事找你，去刚才的地方找到@npc_101000道长吧。	\t	放弃任务	\t#Y@myname#K#K，你回来了。你刚才已经帮助未来的王者扫去了他征途的最后一丝障碍。\n\t当有一天你陪同这位王者，站在世界之巅，俯视着世间的芸芸众生之时，你定然会明白这一切的意义。	101000	丘处机	-1	-1	0	18	找到@npc_101000						0		0
18	256100	1	【剧场】浪漫神箭	【剧场】浪漫神箭	17	-1	-1	10	-1	-1	0	-1	-1	-1	22300	-1	-1	-1	-1	1	352	0	0	10000	0	0	1	100	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t罕难河是铁木真童年和少年时期的成长之地，在这里铁木真遇到了札木合，木华黎等好兄弟，同时在这里，铁木真遇到了自己生命之初的爱情之花，孛儿贴。这是一个浪漫的时期，没有战争，没有血泪，一切都如同雨后的天空一般明亮。	将浪漫神箭交给@npc_101020，回到王城。		放弃任务	\t历史从不曾化为尘埃，它会一直烙印在人们的心中。	101020	钥匙老人	-1	-1	-1	-1	将浪漫神箭交给@npc_101020，回到王城						0		0
19	-1	0	【剧场】牧羊人的梦想	【剧场】牧羊人的梦想	9	-1	-1	10	-1	-1	0	-1	-1	-1	52002	52003	-1	-1	-1	1	209	0	0	1495	0	0	1	25	0	0	0	0	0	0	0	0	-1	0	-1	0	12010001	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t刚才来的那群蔑里岂人穿着结实的皮甲，他们头领腰间挂着的闪闪发光的腰刀，虽然他们想对小姐不轨，但我还是很羡慕他们的装备，真希望自己也能穿上那一身啊。\n\t你能满足我这个小小的心愿，弄一套蔑里岂人的装备来么？	从@npc_13014身上收集一套蔑里岂人的皮甲，从@npc_13015那里夺来蔑里岂腰刀，交给牧羊人@npc_101010。	\t刀，甲，我的梦想…… 	放弃任务	\t货真价实的皮甲和腰刀！我要马上穿起来…… 	101010	忽尔牧	-1	-1	-1	-1	消灭@npc_13014，获得蔑里岂皮甲	消灭@npc_13015，获得蔑里岂腰刀					0		0
20	-1	0	【剧场】击杀马贼	【剧场】击杀马贼	2	-1	-1	10	-1	-1	0	-1	-1	-1	12007	-1	-1	-1	-1	1	176	0	0	1495	0	0	1	25	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	10235989|10235990|10235991|10235992|10235993|10235994|10235995|10235996|10235997|10235998|10235999|10236000	1	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t在我们南方的温都尔丘陵有不少马贼，去把那些马贼除掉。	消灭6个@npc_13018，回报@npc_101003	\t这些马贼真是草原上的祸患，一定要想个办法一举除掉他们。	放弃任务	\t太好了，今天晚上让我们在草原上好好庆祝一番！\n#G(小提示：此任务可以获得附加属性点的装备奖励，增加#R力量#G，适合#R武士，剑侠，十字军和圣火使#G使用；增加#R敏捷#G，适合#R骑射，火枪，刺客和近卫军#G使用；增加#R智力#G，适合#R先知，萨满，僧侣和隐修士#G使用。)	101003	札木合	-1	-1	0	-1	消灭6个@npc_13018					#G按下I键可以寻找并加入一个队伍。	0		0
#	乞颜部大营		50	99																																																																							
50	-1	0	【剧场】王汗的救助	【剧场】孩子们的争端	-1	-1	-1	15	45	0	0	-1	-1	-1	22000	-1	-1	-1	-1	1	231	0	0	3618	0	0	1	31	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t#Y@myname#W，欢迎你。本来应该好好招待你一番，但我这里现在一片混乱。\n\t可恶的蔑里岂人袭击了铁木真的部落，还派了刺客刺杀他。\n\t我带来的本部兵马刚刚赶跑了这群“毒狼”。长生天保佑！铁木真暂时没有性命危险。	找到@npc_102010		放弃任务	\t铁木真，我的儿子，长生天保佑，你要挺过去！	102010	月伦夫人	-1	-1	0	51	找到@npc_102010						0		0
51	-1	0	【剧场】月伦夫人的忧虑	【剧场】月伦夫人的忧虑	50	-1	-1	15	-1	0	0	-1	-1	-1	22000	-1	-1	-1	-1	1	231	0	0	3618	0	0	1	31	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t乞颜部有位德高望重的萨满医师，想治好铁木真只有去请求他的医治了，我还要照顾铁木真，代我去找萨满医师寻求帮助。	找到@npc_102009		放弃任务	\t铁木真的事情我已经知道了。他伤势严重，不是普通伤药所能治愈的。恐怕需要备全两种圣药才有痊愈的希望。	102009	阔阔出	-1	-1	-1	-1	找到@npc_102009						0		0
52	-1	0	【剧场】灵水	【剧场】灵水	51	-1	-1	15	-1	0	0	-1	-1	-1	62050	52056	-1	-1	-1	1	253	0	0	4398	0	0	1	31	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t清洗伤口恢复机能，我需要用有灵气的水，这种水只有在西方群山和高地的岔路口处才有。切记，不可用你的手玷污了这灵水。否则我的治疗会失败。	到@npc_14017使用水囊	\t不要灌那些已经落地的灵水，要直接用水囊去接流下来的灵泉。		\t我能感觉到这水的灵气，看来你还比较听话，没有触碰它。	102009	阔阔出	-1	-1	-1	-1	到@npc_14017使用水囊	得到灵水					0		0
53	-1	0	【剧场】七星草	【剧场】七星草	52	-1	-1	15	-1	0	0	-1	-1	-1	52055	-1	-1	-1	-1	1	253	0	0	4398	0	0	1	31	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t治疗最重要的药引，是被萨满称为圣药的七星草。这种七星草生长在西面的卜握额草原上，伴随它们的是剧毒的丘陵狼蛛。看来你要去那里采集两株了。	采来2株@npc_14018给@npc_102009带回来。	\t如果你不幸被蜘蛛咬伤了，我是没办法救你的，你要小心了。		\t看来你以敏捷的身手没有被狼蛛惹上麻烦。	102009	阔阔出	-1	-1	-1	-1	采2棵@npc_14018						0		0
54	-1	0	【剧场】乞颜部的希望	【剧场】乞颜部的希望	53	53	-1	15	-1	0	0	-1	-1	-1	22000	-1	-1	-1	-1	1		0	0	3618	0	0	1	31	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t请你回报月伦夫人，有着伟大长生天的庇护，用不了多久铁木真又是那个如龙似虎的铁木真了。	找到@npc_102010			\t感谢长生天保佑我儿，感谢大萨满阔阔出。\n\t也要感谢王汗这次出兵来援，但是王汗为人利益至上……	102010	月伦夫人	-1	-1	0	55	找到@npc_102010						0		0
55	-1	0	【剧场】银狐围脖<一>	【剧场】银狐围脖<一>	54	-1	-1	15	-1	0	0	-1	-1	-1	22000	-1	-1	-1	-1	1	231	0	0	3618	0	0	1	31	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t我记得王汗的一个女儿很喜欢孛儿贴的银狐围脖，就把这围脖送给王汗吧。虽然这是我儿和孛儿贴的定情信物，但是……\n\t唉，让我的女佣去取来吧。	找@npc_102011要银狐围脖		放弃任务	\t夫人要把那银狐围脖送人吗？\n\t可怜的孛儿贴……	102011	女佣豁黑	-1	-1	0	56	找@npc_102011要银狐围脖						0		0
56	-1	0	【剧场】银狐围脖<二>	【剧场】银狐围脖<二>	55	-1	-1	15	-1	0	0	-1	-1	-1	22053	-1	-1	-1	-1	1	231	0	0	3618	0	0	1	31	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t这就是银狐围脖了，孛儿贴最喜欢的东西，她只有在特殊日子才舍得戴它。你…… 就照夫人的意思做吧。	把银狐围脖带去给@npc_102004。		放弃任务	\t哈哈，我女儿一直很喜爱这条银狐围脖，那我就不客气了，替我谢谢月伦夫人。	102004	王汗	-1	-1	0	57	把银狐围脖带去给@npc_102004						0		0
57	-1	0	【剧场】联络安答	【剧场】联络安答	56	-1	-1	15	-1	0	0	-1	-1	-1	22000	-1	-1	-1	-1	1	242	0	0	8877	0	0	1	31	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t等铁木真恢复了健康，我就即刻出兵蔑里岂。\n\t我听速布台说铁木真的两个安答早已经在赶来的路上了。为何迟迟不到，你可否出营迎接？	找到铁木真的安答@npc_102019。		放弃任务	\t上次草原一别，又见面了。\n\t听说了铁木真对蔑里岂人开战，我特地赶过来。可是这里的麻烦…… 	102019	札木合	-1	-1	0	-1	找到@npc_102019						0		0
58	-1	0	【剧场】雪狼的威胁	【剧场】雪狼的威胁	57	-1	-1	15	-1	0	0	-1	-1	-1	12052	-1	-1	-1	-1	1	242	0	0	18877	0	0	1	31	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t前天我们赶到这不尔罕雪山，困累交加，就小睡了一会。可当我醒来时，发现我竟然被雪狼包围了。这些该死的雪狼很是凶猛，你帮我去雪山谷里干掉它们。	到山谷中消灭5只@npc_14011后向@npc_102019复命。	\t高山雪原上的狼群异常凶猛。	放弃任务	\t多谢你的帮忙，否则过段日子雪狼会成为这里的一害。\n\t不过，我这里还有个请求。	102019	札木合	-1	-1	-1	-1	除掉5只@npc_14011					建议组队完成本任务。	0		0
59	200500	1	【剧场】寻回马刀	【剧场】寻回马刀	60	60	-1	15	-1	0	0	-1	-1	-1	52051	-1	-1	-1	-1	1	242	0	0	18877	0	0	1	31	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	10265989|10265990|10265991|10265992|10265993|10265994|10265995|10265996|10265997|10265998|10265999|10266000	1	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t我们匆忙逃出的时候，马刀丢在了不尔罕雪山的山谷里。你帮我去把我的武器取出来吧，小心那里的雪狼。	到不尔罕雪山找回@npc_14019后拿给@npc_102024。	\t要是没有武器就去见铁木真可太丢脸了，拜托你了。	放弃任务	\t很好，我这就可以动身了。	102024	木华黎	-1	-1	0	61	找到@npc_14019						0		0
60	-1	0	【剧场】雪狼王	【剧场】雪狼王	58	-1	-1	15	-1	0	0	-1	-1	-1	12050	-1	-1	-1	-1	1	242	0	0	18877	0	0	1	31	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t狼群里面有个体型巨大通体雪白的雪狼，应该是这批雪狼的王。如果不把雪狼王杀掉，恐怕很难逃离这雪狼的围攻。	到山谷中除掉@npc_14012。\n#G（小提示：雪狼王的能力比普通的雪狼要强很多，建议您注意使用回复生命的药品。）	\t雪狼王比一般的雪狼都要强上许多，要小心。	放弃任务	\t很好，我这就可以动身了。	102019	札木合	-1	-1	-1	-1	除掉@npc_14012						0		0
61	-1	0	【剧场】兄弟齐心	【剧场】兄弟齐心	59	-1	-1	15	-1	0	0	-1	-1	-1	12053	-1	-1	-1	-1	1	242	0	0	8877	0	0	1	31	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t蔑里岂人以为铁木真受伤不轻，竟然在我乞颜部大营前肆无忌惮行事。是时候给他们一点点教训。	击杀5名@npc_14009。	\t别让这些蔑里岂士兵逃走。	放弃任务	\t想不到木华黎与札木合在路上遇到这么多艰险！#Y@myname#W感谢你。	102010	月伦夫人	-1	-1	0	62	击杀5名@npc_14009						0		0
62	-1	0	【剧场】真相<一>	【剧场】真相<一>	61	-1	-1	15	-1	0	0	-1	-1	-1	22052	-1	-1	-1	-1	1	242	0	0	8877	0	0	1	31	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t刚才听华筝说，郭靖曾用一把奇特的弓赢了桑昆，我觉得事有蹊跷，郭靖哪里来的弓呢？\n\t你去问问拖雷，他与郭靖最熟。	搜寻弓箭后找@npc_102002询问。	\t找到那把弓箭了吗。	放弃任务	\t郭靖的那把黑弓与射伤父亲的弓好像啊，不过我不相信郭靖会伤害父亲。	102002	拖雷	-1	-1	0	63	询问@npc_102002						0		0
