NUM	FLOAT	FLOAT	FLOAT	FLOAT
-3	10	1	10	1
-2	10	1	10	1
-1	10	1	10	1
0	10	1	10	1
1	10	1	10	1
2	10	1	10	1
3	10	1	10	1
4	10	1	10	1
5	10	1	10	1
6	10	1	10	1
7	10	1	10	1
8	10	1	10	1
9	10	1	10	1
10	10	1	10	1
11	10	1	10	1
12	10	1	10	1
13	10	1	10	1
14	10	1	10	1
15	10	1	10	1
16	10	1	10	1
17	10	1	10	1
18	10	1	10	1
19	10	1	10	1
20	10	1	10	1
21	9	0.95	9	0.95
22	8	0.9	8	0.9
23	7	0.85	7	0.85
24	6	0.8	6	0.8
25	6	0.7	6	0.7
26	6	0.6	6	0.6
27	6	0.5	6	0.5
28	6	0.4	6	0.4
29	6	0.3	6	0.3
30	6	0.2	6	0.2
31	6	0.1	6	0.1
32	6	0.01	6	0.01
33	6	0.01	6	0.01
34	6	0.01	6	0.01
35	6	0.01	6	0.01
36	6	0.01	6	0.01
37	6	0.01	6	0.01
38	6	0.01	6	0.01
39	6	0.01	6	0.01
40	6	0.01	6	0.01
41	6	0.01	6	0.01
42	6	0.01	6	0.01
43	6	0.01	6	0.01
44	6	0.01	6	0.01
45	6	0.01	6	0.01
46	6	0.01	6	0.01
47	6	0.01	6	0.01
48	6	0.01	6	0.01
49	6	0.01	6	0.01
50	6	0.01	6	0.01
51	6	0.01	6	0.01
52	6	0.01	6	0.01
53	6	0.01	6	0.01
54	6	0.01	6	0.01
55	6	0.01	6	0.01
56	6	0.01	6	0.01
57	6	0.01	6	0.01
58	6	0.01	6	0.01
59	6	0.01	6	0.01
60	6	0.01	6	0.01
61	0.01	0.01	0.01	0.01
62	0.01	0.01	0.01	0.01
63	0.01	0.01	0.01	0.01
64	0.01	0.01	0.01	0.01
65	0.01	0.01	0.01	0.01
66	0.01	0.01	0.01	0.01
67	0.01	0.01	0.01	0.01
68	0.01	0.01	0.01	0.01
69	0.01	0.01	0.01	0.01
70	0.01	0.01	0.01	0.01
71	0.01	0.01	0.01	0.01
72	0.01	0.01	0.01	0.01
73	0.01	0.01	0.01	0.01
74	0.01	0.01	0.01	0.01
75	0.01	0.01	0.01	0.01
76	0.01	0.01	0.01	0.01
77	0.01	0.01	0.01	0.01
78	0.01	0.01	0.01	0.01
79	0.01	0.01	0.01	0.01
80	0.01	0.01	0.01	0.01
81	0.01	0.01	0.01	0.01
82	0.01	0.01	0.01	0.01
83	0.01	0.01	0.01	0.01
84	0.01	0.01	0.01	0.01
85	0.01	0.01	0.01	0.01
86	0.01	0.01	0.01	0.01
87	0.01	0.01	0.01	0.01
88	0.01	0.01	0.01	0.01
89	0.01	0.01	0.01	0.01
90	0.01	0.01	0.01	0.01
91	0.01	0.01	0.01	0.01
92	0.01	0.01	0.01	0.01
93	0.01	0.01	0.01	0.01
94	0.01	0.01	0.01	0.01
95	0.01	0.01	0.01	0.01
96	0.01	0.01	0.01	0.01
97	0.01	0.01	0.01	0.01
98	0.01	0.01	0.01	0.01
99	0.01	0.01	0.01	0.01
100	0.01	0.01	0.01	0.01
101	0.01	0.01	0.01	0.01
102	0.01	0.01	0.01	0.01
103	0.01	0.01	0.01	0.01
104	0.01	0.01	0.01	0.01
105	0.01	0.01	0.01	0.01
106	0.01	0.01	0.01	0.01
107	0.01	0.01	0.01	0.01
108	0.01	0.01	0.01	0.01
109	0.01	0.01	0.01	0.01
110	0.01	0.01	0.01	0.01
111	0.01	0.01	0.01	0.01
112	0.01	0.01	0.01	0.01
113	0.01	0.01	0.01	0.01
114	0.01	0.01	0.01	0.01
115	0.01	0.01	0.01	0.01
116	0.01	0.01	0.01	0.01
117	0.01	0.01	0.01	0.01
118	0.01	0.01	0.01	0.01
119	0.01	0.01	0.01	0.01
120	0.01	0.01	0.01	0.01
121	0.01	0.01	0.01	0.01
122	0.01	0.01	0.01	0.01
123	0.01	0.01	0.01	0.01
124	0.01	0.01	0.01	0.01
125	0.01	0.01	0.01	0.01
126	0.01	0.01	0.01	0.01
127	0.01	0.01	0.01	0.01
128	0.01	0.01	0.01	0.01
129	0.01	0.01	0.01	0.01
130	0.01	0.01	0.01	0.01
131	0.01	0.01	0.01	0.01
132	0.01	0.01	0.01	0.01
133	0.01	0.01	0.01	0.01
134	0.01	0.01	0.01	0.01
135	0.01	0.01	0.01	0.01
136	0.01	0.01	0.01	0.01
137	0.01	0.01	0.01	0.01
138	0.01	0.01	0.01	0.01
139	0.01	0.01	0.01	0.01
140	0.01	0.01	0.01	0.01
141	0.01	0.01	0.01	0.01
142	0.01	0.01	0.01	0.01
143	0.01	0.01	0.01	0.01
144	0.01	0.01	0.01	0.01
145	0.01	0.01	0.01	0.01
146	0.01	0.01	0.01	0.01
147	0.01	0.01	0.01	0.01
148	0.01	0.01	0.01	0.01
149	0.01	0.01	0.01	0.01
150	0.01	0.01	0.01	0.01
151	0.01	0.01	0.01	0.01
152	0.01	0.01	0.01	0.01
153	0.01	0.01	0.01	0.01
154	0.01	0.01	0.01	0.01
155	0.01	0.01	0.01	0.01
156	0.01	0.01	0.01	0.01
157	0.01	0.01	0.01	0.01
158	0.01	0.01	0.01	0.01
159	0.01	0.01	0.01	0.01
160	0.01	0.01	0.01	0.01
161	0.01	0.01	0.01	0.01
162	0.01	0.01	0.01	0.01
163	0.01	0.01	0.01	0.01
164	0.01	0.01	0.01	0.01
165	0.01	0.01	0.01	0.01
166	0.01	0.01	0.01	0.01
167	0.01	0.01	0.01	0.01
168	0.01	0.01	0.01	0.01
169	0.01	0.01	0.01	0.01
170	0.01	0.01	0.01	0.01
171	0.01	0.01	0.01	0.01
172	0.01	0.01	0.01	0.01
173	0.01	0.01	0.01	0.01
174	0.01	0.01	0.01	0.01
175	0.01	0.01	0.01	0.01
176	0.01	0.01	0.01	0.01
177	0.01	0.01	0.01	0.01
178	0.01	0.01	0.01	0.01
179	0.01	0.01	0.01	0.01
180	0.01	0.01	0.01	0.01
181	0.01	0.01	0.01	0.01
182	0.01	0.01	0.01	0.01
183	0.01	0.01	0.01	0.01
184	0.01	0.01	0.01	0.01
185	0.01	0.01	0.01	0.01
186	0.01	0.01	0.01	0.01
187	0.01	0.01	0.01	0.01
188	0.01	0.01	0.01	0.01
189	0.01	0.01	0.01	0.01
190	0.01	0.01	0.01	0.01
191	0.01	0.01	0.01	0.01
192	0.01	0.01	0.01	0.01
193	0.01	0.01	0.01	0.01
194	0.01	0.01	0.01	0.01
195	0.01	0.01	0.01	0.01
196	0.01	0.01	0.01	0.01
197	0.01	0.01	0.01	0.01
198	0.01	0.01	0.01	0.01
199	0.01	0.01	0.01	0.01
200	0.01	0.01	0.01	0.01
201	0.01	0.01	0.01	0.01
202	0.01	0.01	0.01	0.01
203	0.01	0.01	0.01	0.01
204	0.01	0.01	0.01	0.01
205	0.01	0.01	0.01	0.01
206	0.01	0.01	0.01	0.01
207	0.01	0.01	0.01	0.01
208	0.01	0.01	0.01	0.01
209	0.01	0.01	0.01	0.01
210	0.01	0.01	0.01	0.01
211	0.01	0.01	0.01	0.01
212	0.01	0.01	0.01	0.01
213	0.01	0.01	0.01	0.01
214	0.01	0.01	0.01	0.01
215	0.01	0.01	0.01	0.01
216	0.01	0.01	0.01	0.01
217	0.01	0.01	0.01	0.01
218	0.01	0.01	0.01	0.01
219	0.01	0.01	0.01	0.01
220	0.01	0.01	0.01	0.01
221	0.01	0.01	0.01	0.01
222	0.01	0.01	0.01	0.01
223	0.01	0.01	0.01	0.01
224	0.01	0.01	0.01	0.01
225	0.01	0.01	0.01	0.01
226	0.01	0.01	0.01	0.01
227	0.01	0.01	0.01	0.01
228	0.01	0.01	0.01	0.01
229	0.01	0.01	0.01	0.01
230	0.01	0.01	0.01	0.01
231	0.01	0.01	0.01	0.01
232	0.01	0.01	0.01	0.01
233	0.01	0.01	0.01	0.01
234	0.01	0.01	0.01	0.01
235	0.01	0.01	0.01	0.01
236	0.01	0.01	0.01	0.01
237	0.01	0.01	0.01	0.01
238	0.01	0.01	0.01	0.01
239	0.01	0.01	0.01	0.01
240	0.01	0.01	0.01	0.01
241	0.01	0.01	0.01	0.01
242	0.01	0.01	0.01	0.01
243	0.01	0.01	0.01	0.01
244	0.01	0.01	0.01	0.01
245	0.01	0.01	0.01	0.01
246	0.01	0.01	0.01	0.01
247	0.01	0.01	0.01	0.01
248	0.01	0.01	0.01	0.01
249	0.01	0.01	0.01	0.01
250	0.01	0.01	0.01	0.01
251	0.01	0.01	0.01	0.01
252	0.01	0.01	0.01	0.01
253	0.01	0.01	0.01	0.01
254	0.01	0.01	0.01	0.01
255	0.01	0.01	0.01	0.01
256	0.01	0.01	0.01	0.01
