NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
153	5	5	0	0	62978	120	125	1	-1	18	1	1	600
154	5	5	0	0	62979	125	130	1	-1	18	1	1	600
155	5	5	0	0	62980	130	135	1	-1	40	1	1	600
156	5	5	0	0	62981	135	140	1	-1	18	1	1	600
157	5	5	0	0	62982	140	145	1	-1	40	1	1	600
158	5	5	0	0	62983	145	150	1	-1	18	1	1	600
159	5	5	0	0	62984	150	155	1	-1	18	1	1	600
160	5	5	0	0	62985	155	160	1	-1	40	1	1	600
161	5	5	0	0	62986	160	165	1	-1	18	1	1	600
#系统刷BOSS													
162	6	0	100	0	62987	30	35	1	-1	18	1	1	1800
163	6	0	100	0	62987	35	40	1	-1	40	1	1	1800
164	6	0	100	0	62987	40	45	1	-1	18	1	1	1800
165	6	0	100	0	62987	45	50	1	-1	18	1	1	1800
166	6	0	100	0	62987	50	55	1	-1	40	1	1	1800
167	6	0	100	0	62987	55	60	1	-1	18	1	1	1800
168	6	0	100	0	62987	60	65	1	-1	18	1	1	1800
169	6	0	100	0	62987	65	70	1	-1	40	1	1	1800
170	6	0	100	0	62987	70	75	1	-1	18	1	1	1800
171	6	0	100	0	62987	75	80	1	-1	18	1	1	1800
172	6	0	100	0	62987	80	85	1	-1	40	1	1	1800
173	6	0	100	0	62987	85	90	1	-1	18	1	1	1800
174	6	0	100	0	62987	90	95	1	-1	33	1	1	1800
175	6	0	100	0	62987	95	100	1	-1	18	1	1	1800
176	6	0	100	0	62987	100	105	1	-1	40	1	1	1800
177	6	0	100	0	62987	105	110	1	-1	18	1	1	1800
178	6	0	100	0	62987	110	115	1	-1	18	1	1	1800
179	6	0	100	0	62987	115	120	1	-1	40	1	1	1800
180	6	0	100	0	62987	120	125	1	-1	18	1	1	1800
181	6	0	100	0	62987	125	130	1	-1	18	1	1	1800
182	6	0	100	0	62987	130	135	1	-1	40	1	1	1800
183	6	0	100	0	62987	135	140	1	-1	18	1	1	1800
184	6	0	100	0	62987	140	145	1	-1	40	1	1	1800
185	6	0	100	0	62987	145	150	1	-1	18	1	1	1800
186	6	0	100	0	62987	150	155	1	-1	18	1	1	1800
187	6	0	100	0	62987	155	160	1	-1	40	1	1	1800
188	6	0	100	0	62987	160	165	1	-1	18	1	1	1800
189	6	0	100	1	62988	30	35	1	-1	18	9	9	1800
190	6	0	100	1	62988	35	40	1	-1	40	9	9	1800
191	6	0	100	1	62988	40	45	1	-1	18	9	9	1800
192	6	0	100	1	62988	45	50	1	-1	18	9	9	1800
193	6	0	100	1	62988	50	55	1	-1	40	9	9	1800
194	6	0	100	1	62988	55	60	1	-1	18	9	9	1800
195	6	0	100	1	62988	60	65	1	-1	18	9	9	1800
196	6	0	100	1	62988	65	70	1	-1	40	9	9	1800
197	6	0	100	1	62988	70	75	1	-1	18	9	9	1800
198	6	0	100	1	62988	75	80	1	-1	18	9	9	1800
199	6	0	100	1	62988	80	85	1	-1	40	9	9	1800
200	6	0	100	1	62988	85	90	1	-1	18	9	9	1800
201	6	0	100	1	62988	90	95	1	-1	33	9	9	1800
202	6	0	100	1	62988	95	100	1	-1	18	9	9	1800
203	6	0	100	1	62988	100	105	1	-1	40	9	9	1800
204	6	0	100	1	62988	105	110	1	-1	18	9	9	1800
205	6	0	100	1	62988	110	115	1	-1	18	9	9	1800
206	6	0	100	1	62988	115	120	1	-1	40	9	9	1800
207	6	0	100	1	62988	120	125	1	-1	18	9	9	1800
208	6	0	100	1	62988	125	130	1	-1	18	9	9	1800
209	6	0	100	1	62988	130	135	1	-1	40	9	9	1800
210	6	0	100	1	62988	135	140	1	-1	18	9	9	1800
211	6	0	100	1	62988	140	145	1	-1	40	9	9	1800
212	6	0	100	1	62988	145	150	1	-1	18	9	9	1800
213	6	0	100	1	62988	150	155	1	-1	18	9	9	1800
214	6	0	100	1	62988	155	160	1	-1	40	9	9	1800
215	6	0	100	1	62988	160	165	1	-1	18	9	9	1800
