NUM	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	NUM	TEXT	NUM	NUM	TEXT	NUM	NUM	TEXT	NUM	NUM	TEXT	NUM	NUM	TEXT	NUM	NUM	NUM	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	NUM	NUM	TEXT
9	圣山地宫结束	310032	1	1	1020	1029	1025	1026	0	0	-1	-1	-1	-1	4|1	61	圣山地宫关闭了，感谢各位勇士的努力！	1021	-1		-1	-1		-1	-1		-1	-1		-1	0	0	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	50|150|250|350
10	圣山地宫预报	310030	1	1	1350	1404	1400	1401	0	0	-1	-1	-1	-1	4|1	120	圣山地宫将在14：00开放，请各位勇士速速前往！	1359	60	圣山地宫已经开放，请各位勇士速速前往！	1401	-1		-1	-1		-1	-1		-1	-2	99	114|1	115|1	214|1	215|1	314|1	315|1	414|1	415|1	0|-1	0|-1	1	0	83|84|85|96|97|183|184|185|196|197|283|284|285|296|297|383|384|385|396|397|79|179|279|379|95|195|295|395|112|113|212|213|312|313|412|413
11	圣山地宫结束	310032	1	1	1420	1429	1425	1426	0	0	-1	-1	-1	-1	4|1	61	圣山地宫关闭了，感谢各位勇士的努力！	1421	-1		-1	-1		-1	-1		-1	-1		-1	0	0	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	50|150|250|350
12	圣山地宫预报	310030	1	1	1750	1804	1800	1801	0	0	-1	-1	-1	-1	4|1	120	圣山地宫将在18：00开放，请各位勇士速速前往！	1759	60	圣山地宫已经开放，请各位勇士速速前往！	1801	-1		-1	-1		-1	-1		-1	-2	99	114|1	115|1	214|1	215|1	314|1	315|1	414|1	415|1	0|-1	0|-1	1	0	83|84|85|96|97|183|184|185|196|197|283|284|285|296|297|383|384|385|396|397|79|179|279|379|95|195|295|395|112|113|212|213|312|313|412|413
13	圣山地宫结束	310032	1	1	1820	1829	1825	1826	0	0	-1	-1	-1	-1	4|1	61	圣山地宫关闭了，感谢各位勇士的努力！	1821	-1		-1	-1		-1	-1		-1	-1		-1	0	0	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	50|150|250|350
14	圣山地宫预报	310030	1	1	2150	2204	2200	2201	0	0	-1	-1	-1	-1	4|1	120	圣山地宫将在22：00开放，请各位勇士速速前往！	2159	60	圣山地宫已经开放，请各位勇士速速前往！	2201	-1		-1	-1		-1	-1		-1	-2	99	114|1	115|1	214|1	215|1	314|1	315|1	414|1	415|1	0|-1	0|-1	1	0	83|84|85|96|97|183|184|185|196|197|283|284|285|296|297|383|384|385|396|397|79|179|279|379|95|195|295|395|112|113|212|213|312|313|412|413
15	圣山地宫结束	310032	1	1	2220	2229	2225	2226	0	0	-1	-1	-1	-1	4|1	61	圣山地宫关闭了，感谢各位勇士的努力！	2221	-1		-1	-1		-1	-1		-1	-1		-1	-1	0	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
16	圣山地宫预报	-1	1	1	155	156	-1	-1	0	0	-1	-1	-1	-1	4|1	61	圣山地宫将在02：00开放，请各位勇士速速前往！	156	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
17	圣山地宫预报	-1	1	1	555	556	-1	-1	0	0	-1	-1	-1	-1	4|1	61	圣山地宫将在06：00开放，请各位勇士速速前往！	556	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
18	圣山地宫预报	-1	1	1	955	956	-1	-1	0	0	-1	-1	-1	-1	4|1	61	圣山地宫将在10：00开放，请各位勇士速速前往！	956	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
19	圣山地宫预报	-1	1	1	1355	1356	-1	-1	0	0	-1	-1	-1	-1	4|1	61	圣山地宫将在14：00开放，请各位勇士速速前往！	1356	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
20	圣山地宫预报	-1	1	1	1755	1756	-1	-1	0	0	-1	-1	-1	-1	4|1	61	圣山地宫将在18：00开放，请各位勇士速速前往！	1756	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
21	圣山地宫预报	-1	1	1	2155	2156	-1	-1	0	0	-1	-1	-1	-1	4|1	61	圣山地宫将在22：00开放，请各位勇士速速前往！	2156	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
22	五一活动刷九旄(过期，可替换，勿删)	-1	0	2	-1	-1	-1	-1	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	36|1	37|1	38|1	15|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
23	婆罗洲随机BOSS	305012	1	1	400	401	400	401	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1	33	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0	0	
24	婆罗洲随机BOSS	305012	1	1	800	801	800	801	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1	33	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0	0	
25	婆罗洲随机BOSS	305012	1	1	1200	1201	1200	1201	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1	33	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0	0	
26	婆罗洲随机BOSS	305012	1	1	1600	1601	1600	1601	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1	33	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0	0	
27	婆罗洲随机BOSS	305012	1	1	2000	2001	2000	2001	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1	33	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0	0	
28	大都嘉年华会公告	-1	1	1	1920	0	1920	0	0	0	-1	-1	-1	-1	4|1	541	大都嘉年华会即将在19：30开始，40级以上的玩家可以前往大都参加铁人三项，大都灯谜会，益者三友活动。	1929	60	大都嘉年华会即将在19：30开始，40级以上的玩家可以前往大都参加铁人三项，大都灯谜会，益者三友活动。	1931	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
29	大都嘉年华会公告	-1	1	1	1930	1931	-1	-1	0	0	-1	-1	-1	-1	5	61	大都嘉年华会开始了	1931	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
30	大都嘉年华会结束公告	-1	1	1	0	1	0	1	0	0	-1	-1	-1	-1	4|1	61	大都嘉年华会结束了，祝大家午夜愉快。	1	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
31	舞厅关闭公告	300160	1	1	859	859	859	900	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	14|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
32	舞厅关闭公告	300160	1	1	459	459	459	500	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	14|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0	0	
33	智力竞赛	-1	1	1	1920	1921	-1	-1	0	0	1	-1	-1	-1	5	61	智力竞赛开始了！	1921	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
34	智力竞赛	300150	1	1	1910	1931	1920	1930	0	0	1	-1	-1	-1	4|1	61	智力竞赛将于19:20开始，请大家踊跃报名参加！	1920	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
35	帮会战	-1	0	2	21700	21830	21700	21830	0	0	-1	-1	-1	-1	4|1	600	帮会战场热报中，请各位帮主到帮会管理员处报名。	21830	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
36	帮会战	-1	0	2	51700	51830	51700	51830	0	0	-1	-1	-1	-1	4|1	600	帮会战场热报中，请各位帮主到帮会管理员处报名。	51830	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
37	十八魔君	310000	1	1	2300	0	2300	0	0	0	-1	-1	-1	-1	4|1	61	曾经被成吉思汗征服的十八个统治者一直心有不甘，百年之后依然阴魂不散，不时地勾结在一起入侵，这次他们的身影又出现了！	2301	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
38	十八魔君	-1	1	1	2300	2301	-1	-1	0	0	-1	-1	-1	-1	5	61	十八魔君出现了	2301	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
39	十八魔君消失	-1	1	1	0	1	0	1	0	0	-1	-1	-1	-1	4|1	61	在各路英雄的冲击下，魔军大败而去，只留下魔王那句充满怨恨的诅咒：除非成吉思汗的子孙从大地上消失，否则我们是不会安息的！	1	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
40	益者三友	300570	1	1	1930	2359	1930	1931	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
41	益者三友删除	300571	1	1	2359	101	0	1	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
42	屠城战	310157	0	2	61529	61530	61529	61530	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	50
43	屠城战	310157	0	2	61554	61555	61554	61555	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	50
44	屠城战	310157	0	2	61601	61602	61601	61602	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	50
45	屠城战	310157	0	2	61614	61615	61614	61615	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	50
46	屠城战	310157	0	2	61700	61701	61700	61701	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	50
47	天坛灯谜会	-1	1	1	1930	2359	1930	2359	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
48	铁人三项箱子触发	305060	1	1	1220	1310	1930	1931	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
49	铁人三项箱子触发	305061	1	1	1920	2010	2359	0	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
50	世界杯	-1	0	2	41700	41802	41700	41802	0	0	-1	-1	-1	-1	4|1|5	900	世界杯战场将于17：30开启，请参赛帮会做好准备！	41710	900	世界杯战场将在5分钟后开始！	41727	180	世界杯战场火热进行中！	41732	1380	世界杯战场结束还有5分钟！	41759	41800	世界杯战场已经结束！	41803	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0	0	
51	世界杯	-1	0	2	51700	51802	51700	51802	0	0	-1	-1	-1	-1	4|1|5	900	世界杯战场将于17：30开启，请参赛帮会做好准备！	51710	900	世界杯战场将在5分钟后开始！	51727	180	世界杯战场火热进行中！	51732	1380	世界杯战场结束还有5分钟！	51759	41800	世界杯战场已经结束！	51803	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0	0	
52	莫斯科BOSS	305012	0	2	2100	2101	2100	2101	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1	17	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
53	世界杯	300837	0	2	1529	1529	1529	1530	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	14|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
54	天降宝箱	310014	1	1	1220	1310	1230	1231	0	0	-1	-1	-1	-1	4|1	481	天降宝箱将于12：30开始，请20级以上玩家届时到王国宝箱活动使处接取任务	1228	120	天降宝箱开始了，请20级以上的玩家到王国宝箱活动使处接取任务	1231	-1		-1	-1		-1	-1		-1	0	99	50|1	150|1	250|1	350|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
55	天降宝箱	310014	1	1	1920	2010	1930	1931	0	0	-1	-1	-1	-1	4|1	481	天降宝箱将于19：30开始，请20级以上玩家届时到王国宝箱活动使处接取任务	1928	120	天降宝箱开始了，请20级以上的玩家到王国宝箱活动使处接取任务	1931	-1		-1	-1		-1	-1		-1	0	99	50|1	150|1	250|1	350|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
56	天降宝箱	-1	1	1	1230	1231	-1	-1	0	0	-1	-1	-1	-1	5	61	天降宝箱活动开始了	1231	-1		-1	-1		-1	-1		-1	-1		-1	0	99	50|1	150|1	250|1	350|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
57	天降宝箱	-1	1	1	1930	1931	-1	-1	0	0	-1	-1	-1	-1	5	61	天降宝箱活动开始了	1931	-1		-1	-1		-1	-1		-1	-1		-1	0	99	50|1	150|1	250|1	350|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
58	天降宝箱删除	310015	1	1	1300	1301	1300	1301	0	0	-1	-1	-1	-1	4|1	61	天降宝箱结束了，感谢大家的参加	1301	-1		-1	-1		-1	-1		-1	-1		-1	0	99	50|1	150|1	250|1	350|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
59	天降宝箱删除	310015	1	1	2000	2001	2000	2001	0	0	-1	-1	-1	-1	4|1	61	天降宝箱结束了，感谢大家的参加	2001	-1		-1	-1		-1	-1		-1	-1		-1	0	99	50|1	150|1	250|1	350|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
60	天降宝箱	-1	1	1	1220	1310	1230	1231	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
61	天降宝箱	-1	1	1	1920	2010	1930	1931	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
62	天降宝箱	-1	1	1	1230	1231	-1	-1	0	0	-1	-1	-1	-1	5	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
63	天降宝箱	-1	1	1	1930	1931	-1	-1	0	0	-1	-1	-1	-1	5	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
64	天降宝箱删除	-1	1	1	1300	1301	1300	1301	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
65	天降宝箱删除	-1	1	1	2000	2001	2000	2001	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
66	仙人谷随机BOSS	305031	1	1	400	401	400	401	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1	7	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0	0	
67	仙人谷随机BOSS	305031	1	1	800	801	800	801	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1	7	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0	0	
68	仙人谷随机BOSS	305031	1	1	1200	1201	1200	1201	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1	7	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0	0	
69	仙人谷随机BOSS	305031	1	1	1600	1601	1600	1601	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1	7	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0	0	
70	仙人谷随机BOSS	305031	1	1	2000	2001	2000	2001	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1	7	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0	0	
71	粮仓随机BOSS	305030	1	1	400	401	400	401	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	87|4	187|3	287|2	387|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0	0	
72	粮仓随机BOSS	305030	1	1	800	801	800	801	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	87|4	187|3	287|2	387|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0	0	
73	粮仓随机BOSS	305030	1	1	1200	1201	1200	1201	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	87|4	187|3	287|2	387|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0	0	
74	粮仓随机BOSS	305030	1	1	1600	1601	1600	1601	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	87|4	187|3	287|2	387|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0	0	
75	粮仓随机BOSS	305030	1	1	2000	2001	2000	2001	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	87|4	187|3	287|2	387|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0	0	
76	国王争夺战	-1	0	2	1345	1701	1345	1701	0	0	-1	-1	-1	-1	4|1	900	国王战场报名时间将在14：00开始，请参加报名的帮会做好准备！	1358	120	国王战场报名开始，请参加的帮会前往本国王城国家管理员处报名！	1401	5400	国王战场报名进行中，请参加报名的帮会前往国家管理员处报名参加！	1532	1800	国王战场报名进行中，请参加报名的帮会前往国家管理员处报名参加！	1603	3420	国王战场报名结束！	1701	0	99	0|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
77	乌龙辞典结束触发	310185	0	2	2000	2001	2000	2001	0	0	-1	-1	-1	-1	4|1	180		71400	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|1	50|1	150|1	250|1	350|1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
78	排行榜挑战赛	-1	1	1	30	2331	30	2331	0	0	1	-1	-1	-1	4|1	1440	排行榜挑战赛火热角逐中！欢迎各位勇士到王国排行榜挑战赛主持人处了解详情！	2331	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
79	年兽活动1(过期，可替换，勿删)	-1	1	1	1459	1500	1459	1500	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
80	年兽活动2(过期，可替换，勿删)	-1	1	1	1859	1900	1859	1900	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
