NUM	NUM	TEXT	TEXT	NUM	TEXT	NUM	TEXT
10	11000644	一级远攻陨星石	1	1	144	10	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
11	11000645	二级远攻陨星石	2	1	144	20	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
12	11000646	三级远攻陨星石	3	1	144	30	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
13	11000647	四级远攻陨星石	4	1	144	40	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
14	11000648	五级远攻陨星石	5	1	144	50	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
15	11000649	六级远攻陨星石	6	1	144	60	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
16	11000650	七级远攻陨星石	7	1	144	70	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
17	11000651	八级远攻陨星石	8	1	144	80	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
18	11000652	九级远攻陨星石	9	1	144	90	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
19	11000653	一级魔攻陨星石	1	1	145	10	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
20	11000654	二级魔攻陨星石	2	1	145	20	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
21	11000655	三级魔攻陨星石	3	1	145	30	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
22	11000656	四级魔攻陨星石	4	1	145	40	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
23	11000657	五级魔攻陨星石	5	1	145	50	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
24	11000658	六级魔攻陨星石	6	1	145	60	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
25	11000659	七级魔攻陨星石	7	1	145	70	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
26	11000660	八级魔攻陨星石	8	1	145	80	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
27	11000661	九级魔攻陨星石	9	1	145	90	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
28	11000662	一级近防陨星石	1	1	146	10	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
29	11000663	二级近防陨星石	2	1	146	20	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
30	11000664	三级近防陨星石	3	1	146	30	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
31	11000665	四级近防陨星石	4	1	146	40	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
32	11000666	五级近防陨星石	5	1	146	50	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
33	11000667	六级近防陨星石	6	1	146	60	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
34	11000668	七级近防陨星石	7	1	146	70	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
35	11000669	八级近防陨星石	8	1	146	80	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
36	11000670	九级近防陨星石	9	1	146	90	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
37	11000671	一级远防陨星石	1	1	147	10	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
38	11000672	二级远防陨星石	2	1	147	20	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
39	11000673	三级远防陨星石	3	1	147	30	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
40	11000674	四级远防陨星石	4	1	147	40	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
41	11000675	五级远防陨星石	5	1	147	50	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
42	11000676	六级远防陨星石	6	1	147	60	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
43	11000677	七级远防陨星石	7	1	147	70	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
44	11000678	八级远防陨星石	8	1	147	80	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
45	11000679	九级远防陨星石	9	1	147	90	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
46	11000680	一级魔防陨星石	1	1	148	10	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
47	11000681	二级魔防陨星石	2	1	148	20	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
48	11000682	三级魔防陨星石	3	1	148	30	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
49	11000683	四级魔防陨星石	4	1	148	40	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
50	11000684	五级魔防陨星石	5	1	148	50	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
51	11000685	六级魔防陨星石	6	1	148	60	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
52	11000686	七级魔防陨星石	7	1	148	70	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
53	11000687	八级魔防陨星石	8	1	148	80	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
54	11000688	九级魔防陨星石	9	1	148	90	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
55	11000689	一级攻击陨星石	1	1	143|144|145	100	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
56	11000690	二级攻击陨星石	2	1	143|144|145	110	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
57	11000691	三级攻击陨星石	3	1	143|144|145	120	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
58	11000692	四级攻击陨星石	4	1	143|144|145	130	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
59	11000693	五级攻击陨星石	5	1	143|144|145	140	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
60	11000694	六级攻击陨星石	6	1	143|144|145	150	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
61	11000695	七级攻击陨星石	7	1	143|144|145	160	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
62	11000696	八级攻击陨星石	8	1	143|144|145	170	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
63	11000697	九级攻击陨星石	9	1	143|144|145	180	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
64	11000820	一级血陨星石	1	1	22	190	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
65	11000821	二级血陨星石	2	1	22	200	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
66	11000822	三级血陨星石	3	1	22	210	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
67	11000823	四级血陨星石	4	1	22	220	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
68	11000824	五级血陨星石	5	1	22	230	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
69	11000825	六级血陨星石	6	1	22	240	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
70	11000826	七级血陨星石	7	1	22	250	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
71	11000827	八级血陨星石	8	1	22	260	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
72	11000828	九级血陨星石	9	1	22	270	1|2|3|4|5|5|7|8|9|10|11|12|20|21|3|4|5|5|7|8|9|10|11|12|20|23|24|25|26|27|35|36|37|38|39|40|41|42|43|44|45|46
