NUM	NUM	TEXT	NUM	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	CNC	NUM	TEXT	FLOAT	FLOAT	NUM	FLOAT	NUM	NUM	NUM
48	1101	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_16	287										1000	草原野马	420	164	-1	2000	0	2	0
49	1101	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_16	387										1000	草原野马	416	140	-1	2000	0	2	0
50	1099	set:CJSH_Monster_touxiang_3 image:CJSH_Monster_touxiang_3_1	387										1000	草原野马	420	144	-1	2000	0	2	0
51	1100	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_11	387										1000	草原野马	424	148	-1	2000	0	2	0
52	1101	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_16	387										1000	草原野马	405	127	-1	2000	0	2	0
53	1099	set:CJSH_Monster_touxiang_3 image:CJSH_Monster_touxiang_3_1	387										1000	草原野马	408	130	-1	2000	0	2	0
54	1100	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_11	387										1000	草原野马	411	133	-1	2000	0	2	0
55	1104	set:CJSH_Monster_touxiang_3 image:CJSH_Monster_touxiang_3_2	387										1000	草原野马	414	136	-1	2000	0	2	0
56	1103	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_12	387										1000	草原野马	417	139	-1	2000	0	2	0
57	1102	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_15	387										1000	草原野马	420	142	-1	2000	0	2	0
58	1101	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_16	387										1000	草原野马	396	146	-1	2000	0	2	0
59	1099	set:CJSH_Monster_touxiang_3 image:CJSH_Monster_touxiang_3_1	387										1000	草原野马	400	149	-1	2000	0	2	0
60	1100	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_11	387										1000	草原野马	404	152	-1	2000	0	2	0
61	1104	set:CJSH_Monster_touxiang_3 image:CJSH_Monster_touxiang_3_2	387										1000	草原野马	408	155	-1	2000	0	2	0
62	1103	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_12	387										1000	草原野马	412	158	-1	2000	0	2	0
63	1102	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_15	387										1000	草原野马	416	161	-1	2000	0	2	0
64	1101	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_16	387										1000	草原野马	420	164	-1	2000	0	2	0
65	4267	set:CJSH_Monster_touxiang_7 image:CJSH_Monster_touxiang_7_6	0										0	蛇	137	116	13011800	1000	0	2	0
66	4267	set:CJSH_Monster_touxiang_7 image:CJSH_Monster_touxiang_7_6	0										0	蛇	134	108	13011800	1000	0	2	0
67	4267	set:CJSH_Monster_touxiang_7 image:CJSH_Monster_touxiang_7_6	0										0	蛇	129	103	13011800	1000	0	2	0
68	4267	set:CJSH_Monster_touxiang_7 image:CJSH_Monster_touxiang_7_6	0										0	蛇	134	102	13011800	1000	0	2	0
69	4267	set:CJSH_Monster_touxiang_7 image:CJSH_Monster_touxiang_7_6	0										0	蛇	133	97	13011800	1000	0	2	0
70	4267	set:CJSH_Monster_touxiang_7 image:CJSH_Monster_touxiang_7_6	0										0	蛇	126	102	13011800	1000	0	2	0
71	4267	set:CJSH_Monster_touxiang_7 image:CJSH_Monster_touxiang_7_6	0										0	蛇	140	94	13011800	1000	0	2	0
72	4267	set:CJSH_Monster_touxiang_7 image:CJSH_Monster_touxiang_7_6	0										0	蛇	137	85	13011800	1000	0	2	0
73	4267	set:CJSH_Monster_touxiang_7 image:CJSH_Monster_touxiang_7_6	0										0	蛇	130	89	13011800	1000	0	2	0
74	4267	set:CJSH_Monster_touxiang_7 image:CJSH_Monster_touxiang_7_6	0										0	蛇	125	99	13011800	1000	0	2	0
75	4076	set:CJSH_Monster_touxiang_6 image:CJSH_Monster_touxiang_6_11	0										0	蛤蟆	352.75	172.5	13011801	1000	0	2	0
76	4076	set:CJSH_Monster_touxiang_6 image:CJSH_Monster_touxiang_6_11	0										0	蛤蟆	356.5	174	13011801	1000	0	2	0
77	4076	set:CJSH_Monster_touxiang_6 image:CJSH_Monster_touxiang_6_11	0										0	蛤蟆	360.5	173.25	13011801	1000	0	2	0
78	4076	set:CJSH_Monster_touxiang_6 image:CJSH_Monster_touxiang_6_11	0										0	蛤蟆	356.25	165.5	13011801	1000	0	2	0
79	4076	set:CJSH_Monster_touxiang_6 image:CJSH_Monster_touxiang_6_11	0										0	蛤蟆	352	155	13011801	1000	0	2	0
80	4076	set:CJSH_Monster_touxiang_6 image:CJSH_Monster_touxiang_6_11	0										0	蛤蟆	371	178	13011801	1000	0	2	0
81	4076	set:CJSH_Monster_touxiang_6 image:CJSH_Monster_touxiang_6_11	0										0	蛤蟆	357.25	159.25	13011801	1000	0	2	0
82	4076	set:CJSH_Monster_touxiang_6 image:CJSH_Monster_touxiang_6_11	0										0	蛤蟆	360.25	161.25	13011801	1000	0	2	0
83	4076	set:CJSH_Monster_touxiang_6 image:CJSH_Monster_touxiang_6_11	0										0	蛤蟆	372	170.5	13011801	1000	0	2	0
84	4076	set:CJSH_Monster_touxiang_6 image:CJSH_Monster_touxiang_6_11	0										0	蛤蟆	368.75	165.75	13011801	1000	0	2	0
85	4269	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_14	0										0	蜘蛛	212	106	13011802	1000	0	2	0
86	4269	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_14	0										0	蜘蛛	206	97	13011802	1000	0	2	0
87	4269	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_14	0										0	蜘蛛	198	105	13011802	1000	0	2	0
88	4269	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_14	0										0	蜘蛛	200	166	13011802	1000	0	2	0
89	4269	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_14	0										0	蜘蛛	208	126	13011802	1000	0	2	0
90	4269	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_14	0										0	蜘蛛	221	121	13011802	1000	0	2	0
91	4269	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_14	0										0	蜘蛛	232	124	13011802	1000	0	2	0
92	4269	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_14	0										0	蜘蛛	241	122	13011802	1000	0	2	0
93	4269	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_14	0										0	蜘蛛	237	112	13011802	1000	0	2	0
94	4269	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_14	0										0	蜘蛛	230	113	13011802	1000	0	2	0
95	5123	set:CJSH_Add_0 image:CJSH_Add_0_11	0										0	斑翅麻雀	356.75	393.5	13011803	300	0	2	0
96	5123	set:CJSH_Add_0 image:CJSH_Add_0_11	0										0	斑翅麻雀	356.5	388.75	13011803	300	0	2	0
97	5123	set:CJSH_Add_0 image:CJSH_Add_0_11	0										0	斑翅麻雀	363.5	390	13011803	300	0	2	0
98	5123	set:CJSH_Add_0 image:CJSH_Add_0_11	0										0	斑翅麻雀	363.25	393.5	13011803	300	0	2	0
99	5123	set:CJSH_Add_0 image:CJSH_Add_0_11	0										0	斑翅麻雀	348.5	395	13011803	300	0	2	0
100	5123	set:CJSH_Add_0 image:CJSH_Add_0_11	0										0	斑翅麻雀	352.25	395.75	13011803	300	0	2	0
101	5123	set:CJSH_Add_0 image:CJSH_Add_0_11	0										0	斑翅麻雀	343.75	388.25	13011803	300	0	2	0
102	5123	set:CJSH_Add_0 image:CJSH_Add_0_11	0										0	斑翅麻雀	348.5	387.75	13011803	300	0	2	0
103	5123	set:CJSH_Add_0 image:CJSH_Add_0_11	0										0	斑翅麻雀	354.75	380.75	13011803	300	0	2	0
104	5123	set:CJSH_Add_0 image:CJSH_Add_0_11	0										0	斑翅麻雀	360.25	383.25	13011803	300	0	2	0
105	5122	set:CJSH_Add_0 image:CJSH_Add_0_13	0										0	白翅蝴蝶	265	414	13011804	1000	0	2	0
106	5122	set:CJSH_Add_0 image:CJSH_Add_0_13	0										0	白翅蝴蝶	261	425	13011804	1000	0	2	0
107	5122	set:CJSH_Add_0 image:CJSH_Add_0_13	0										0	白翅蝴蝶	248	421	13011804	1000	0	2	0
108	5122	set:CJSH_Add_0 image:CJSH_Add_0_13	0										0	白翅蝴蝶	248	409	13011804	1000	0	2	0
109	5122	set:CJSH_Add_0 image:CJSH_Add_0_13	0										0	白翅蝴蝶	237	406	13011804	1000	0	2	0
110	5122	set:CJSH_Add_0 image:CJSH_Add_0_13	0										0	白翅蝴蝶	233	424	13011804	1000	0	2	0
111	5122	set:CJSH_Add_0 image:CJSH_Add_0_13	0										0	白翅蝴蝶	238	429	13011804	1000	0	2	0
112	5122	set:CJSH_Add_0 image:CJSH_Add_0_13	0										0	白翅蝴蝶	228	428	13011804	1000	0	2	0
113	5122	set:CJSH_Add_0 image:CJSH_Add_0_13	0										0	白翅蝴蝶	220	428	13011804	1000	0	2	0
114	5122	set:CJSH_Add_0 image:CJSH_Add_0_13	0										0	白翅蝴蝶	238	420	13011804	1000	0	2	0
115	1166	set:CJSH_Monster_touxiang_8 image:CJSH_Monster_touxiang_8_15	0										0	剪刀手螳螂	68	171	13011805	1000	0	2	0
116	1166	set:CJSH_Monster_touxiang_8 image:CJSH_Monster_touxiang_8_15	0										0	剪刀手螳螂	65	176	13011805	1000	0	2	0
117	1166	set:CJSH_Monster_touxiang_8 image:CJSH_Monster_touxiang_8_15	0										0	剪刀手螳螂	69	177	13011805	1000	0	2	0
118	1166	set:CJSH_Monster_touxiang_8 image:CJSH_Monster_touxiang_8_15	0										0	剪刀手螳螂	75	164	13011805	1000	0	2	0
119	1166	set:CJSH_Monster_touxiang_8 image:CJSH_Monster_touxiang_8_15	0										0	剪刀手螳螂	80	162	13011805	1000	0	2	0
120	1166	set:CJSH_Monster_touxiang_8 image:CJSH_Monster_touxiang_8_15	0										0	剪刀手螳螂	75	178	13011805	1000	0	2	0
121	1166	set:CJSH_Monster_touxiang_8 image:CJSH_Monster_touxiang_8_15	0										0	剪刀手螳螂	73	188	13011805	1000	0	2	0
122	1166	set:CJSH_Monster_touxiang_8 image:CJSH_Monster_touxiang_8_15	0										0	剪刀手螳螂	59	178	13011805	1000	0	2	0
123	1166	set:CJSH_Monster_touxiang_8 image:CJSH_Monster_touxiang_8_15	0										0	剪刀手螳螂	57	171	13011805	1000	0	2	0
124	1166	set:CJSH_Monster_touxiang_8 image:CJSH_Monster_touxiang_8_15	0										0	剪刀手螳螂	54	173	13011805	1000	0	2	0
125	5124	set:CJSH_Add_0 image:CJSH_Add_0_12	0										0	粘液毛毛虫	430	314	13011806	300	0	2	0
126	5124	set:CJSH_Add_0 image:CJSH_Add_0_12	0										0	粘液毛毛虫	441	324	13011806	300	0	2	0
127	5124	set:CJSH_Add_0 image:CJSH_Add_0_12	0										0	粘液毛毛虫	447	315	13011806	300	0	2	0
128	5124	set:CJSH_Add_0 image:CJSH_Add_0_12	0										0	粘液毛毛虫	454	318	13011806	300	0	2	0
129	5124	set:CJSH_Add_0 image:CJSH_Add_0_12	0										0	粘液毛毛虫	451	323	13011806	300	0	2	0
130	5124	set:CJSH_Add_0 image:CJSH_Add_0_12	0										0	粘液毛毛虫	440	328	13011806	300	0	2	0
131	5124	set:CJSH_Add_0 image:CJSH_Add_0_12	0										0	粘液毛毛虫	418	321	13011806	300	0	2	0
132	5124	set:CJSH_Add_0 image:CJSH_Add_0_12	0										0	粘液毛毛虫	415	323	13011806	300	0	2	0
133	5124	set:CJSH_Add_0 image:CJSH_Add_0_12	0										0	粘液毛毛虫	426	315	13011806	300	0	2	0
134	5124	set:CJSH_Add_0 image:CJSH_Add_0_12	0										0	粘液毛毛虫	433	308	13011806	300	0	2	0
