NUM	NUM	NUM	NUM	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	TEXT	NUM	TEXT	NUM	TEXT	
1001	1001	10	1	CJSH_wanfa_add_3_2							1	0	0	0						战车守护: 将战车属性加成到角色身上，二级守护石效果。	1	战车守护: 将战车属性加成到角色身上，二级守护石效果。	
1002	1002	10	1	CJSH_wanfa_add_3_5							1	0	0	0						战车守护: 将战车属性加成到角色身上，三级守护石效果。	1	战车守护: 将战车属性加成到角色身上，三级守护石效果。	
1003	1003	10	1	CJSH_wanfa_add_3_3							1	0	0	0						战车守护: 将战车属性加成到角色身上，四级守护石效果。	1	战车守护: 将战车属性加成到角色身上，四级守护石效果。	
1004	1004	10	1	CJSH_wanfa_add_3_4							1	0	0	0						战车守护: 将战车属性加成到角色身上，五级守护石效果。	1	战车守护: 将战车属性加成到角色身上，五级守护石效果。	
#	战车																				1		
1210	1210		1	CJSH_wanfa_add_6_10			人物身体前置点			人物身体受击点	0	0	0	0						在载具中	1	在载具中	
#	武士																				1		
1241	1241	10	1	CJSH_skill_player_1_3			人物身体前置点	状态_武士_扬威破阵_01		人物身体受击点	0	1	1	0						扬威破阵：防御降低50，受到伤害加深10%	1	扬威破阵：防御降低50，受到伤害加深10%	
1242	1242	10	1	CJSH_skill_player_1_3			人物身体前置点	状态_武士_扬威破阵_01		人物身体受击点	0	1	1	0						扬威破阵：防御降低100，受到伤害加深10%	1	扬威破阵：防御降低100，受到伤害加深10%	
1243	1243	10	1	CJSH_skill_player_1_3			人物身体前置点	状态_武士_扬威破阵_01		人物身体受击点	0	1	1	0						扬威破阵：防御降低150，受到伤害加深10%	1	扬威破阵：防御降低150，受到伤害加深10%	
1244	1244	10	1	CJSH_skill_player_1_3			人物身体前置点	状态_武士_扬威破阵_01		人物身体受击点	0	1	1	0						扬威破阵：防御降低200，受到伤害加深10%	1	扬威破阵：防御降低200，受到伤害加深10%	
1245	1245	10	1	CJSH_skill_player_1_3			人物身体前置点	状态_武士_扬威破阵_01		人物身体受击点	0	1	1	0						扬威破阵：防御降低250，受到伤害加深10%	1	扬威破阵：防御降低250，受到伤害加深10%	
1246	1246	10	1	CJSH_skill_player_1_3			人物身体前置点	状态_武士_扬威破阵_01		人物身体受击点	0	1	1	0						扬威破阵：防御降低300，受到伤害加深10%	1	扬威破阵：防御降低300，受到伤害加深10%	
1247	1247	10	1	CJSH_skill_player_1_3			人物身体前置点	状态_武士_扬威破阵_01		人物身体受击点	0	1	1	0						扬威破阵：防御降低350，受到伤害加深10%	1	扬威破阵：防御降低350，受到伤害加深10%	
1248	1248	10	1	CJSH_skill_player_1_3			人物身体前置点	状态_武士_扬威破阵_01		人物身体受击点	0	1	1	0						扬威破阵：防御降低400，受到伤害加深10%	1	扬威破阵：防御降低400，受到伤害加深10%	
1249	1249	10	1	CJSH_skill_player_1_3			人物身体前置点	状态_武士_扬威破阵_01		人物身体受击点	0	1	1	0						扬威破阵：防御降低450，受到伤害加深10%	1	扬威破阵：防御降低450，受到伤害加深10%	
1250	1250	10	1	CJSH_skill_player_1_3			人物身体前置点	状态_武士_扬威破阵_01		人物身体受击点	0	1	1	0						扬威破阵：防御降低500，受到伤害加深10%	1	扬威破阵：防御降低500，受到伤害加深10%	
1261	1261	10	1	CJSH_skill_player_1_6			人物身体前置点	状态_武士_笑骂千军_01		人物身体受击点	0	1	1	0						笑骂千军：受到嘲讽	1	笑骂千军：受到嘲讽	
1262	1262	10	1	CJSH_skill_player_1_6			人物身体前置点	状态_武士_笑骂千军_01		人物身体受击点	0	1	1	0						笑骂千军：受到嘲讽	1	笑骂千军：受到嘲讽	
1263	1263	10	1	CJSH_skill_player_1_6			人物身体前置点	状态_武士_笑骂千军_01		人物身体受击点	0	1	1	0						笑骂千军：受到嘲讽	1	笑骂千军：受到嘲讽	
1264	1264	10	1	CJSH_skill_player_1_6			人物身体前置点	状态_武士_笑骂千军_01		人物身体受击点	0	1	1	0						笑骂千军：受到嘲讽	1	笑骂千军：受到嘲讽	
1265	1265	10	1	CJSH_skill_player_1_6			人物身体前置点	状态_武士_笑骂千军_01		人物身体受击点	0	1	1	0						笑骂千军：受到嘲讽	1	笑骂千军：受到嘲讽	
1266	1266	10	1	CJSH_skill_player_1_6			人物身体前置点	状态_武士_笑骂千军_01		人物身体受击点	0	1	1	0						笑骂千军：受到嘲讽	1	笑骂千军：受到嘲讽	
1267	1267	10	1	CJSH_skill_player_1_6			人物身体前置点	状态_武士_笑骂千军_01		人物身体受击点	0	1	1	0						笑骂千军：受到嘲讽	1	笑骂千军：受到嘲讽	
1268	1268	10	1	CJSH_skill_player_1_6			人物身体前置点	状态_武士_笑骂千军_01		人物身体受击点	0	1	1	0						笑骂千军：受到嘲讽	1	笑骂千军：受到嘲讽	
1269	1269	10	1	CJSH_skill_player_1_6			人物身体前置点	状态_武士_笑骂千军_01		人物身体受击点	0	1	1	0						笑骂千军：受到嘲讽	1	笑骂千军：受到嘲讽	
1270	1270	10	1	CJSH_skill_player_1_6			人物身体前置点	状态_武士_笑骂千军_01		人物身体受击点	0	1	1	0						笑骂千军：受到嘲讽	1	笑骂千军：受到嘲讽	
																				0			
																				0			
																				0	1		
1281	1281	10	1	CJSH_skill_player_1_7			人物身体前置点	状态_武士_热血沸腾_01		人物脚部绑定点	0	1	0	0						热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%	1	热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%	
1282	1282	10	1	CJSH_skill_player_1_7			人物身体前置点	状态_武士_热血沸腾_01		人物脚部绑定点	0	1	0	0						热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%	1	热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%	
1283	1283	10	1	CJSH_skill_player_1_7			人物身体前置点	状态_武士_热血沸腾_01		人物脚部绑定点	0	1	0	0						热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%	1	热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%	
1284	1284	10	1	CJSH_skill_player_1_7			人物身体前置点	状态_武士_热血沸腾_01		人物脚部绑定点	0	1	0	0						热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%	1	热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%	
1285	1285	10	1	CJSH_skill_player_1_7			人物身体前置点	状态_武士_热血沸腾_01		人物脚部绑定点	0	1	0	0						热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%	1	热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%	
1286	1286	10	1	CJSH_skill_player_1_7			人物身体前置点	状态_武士_热血沸腾_01		人物脚部绑定点	0	1	0	0						热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%	1	热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%	
1287	1287	10	1	CJSH_skill_player_1_7			人物身体前置点	状态_武士_热血沸腾_01		人物脚部绑定点	0	1	0	0						热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%	1	热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%	
1288	1288	10	1	CJSH_skill_player_1_7			人物身体前置点	状态_武士_热血沸腾_01		人物脚部绑定点	0	1	0	0						热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%	1	热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%	
1289	1289	10	1	CJSH_skill_player_1_7			人物身体前置点	状态_武士_热血沸腾_01		人物脚部绑定点	0	1	0	0						热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%	1	热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%	
1290	1290	10	1	CJSH_skill_player_1_7			人物身体前置点	状态_武士_热血沸腾_01		人物脚部绑定点	0	1	0	0						热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%	1	热血沸腾：每秒恢复一定生命值，自身近攻计算比例20%	
																				0			
1291	1291	10	1	CJSH_skill_player_1_8			人物身体前置点	状态_武士_锐不可挡_01		人物身体受击点	0	1	0	0						锐不可挡：减免伤害40%	1	锐不可挡：减免伤害40%	
1292	1292	10	1	CJSH_skill_player_1_8			人物身体前置点	状态_武士_锐不可挡_01		人物身体受击点	0	1	0	0						锐不可挡：减免伤害45%	1	锐不可挡：减免伤害45%	
1293	1293	10	1	CJSH_skill_player_1_8			人物身体前置点	状态_武士_锐不可挡_01		人物身体受击点	0	1	0	0						锐不可挡：减免伤害50%	1	锐不可挡：减免伤害50%	
1294	1294	10	1	CJSH_skill_player_1_8			人物身体前置点	状态_武士_锐不可挡_01		人物身体受击点	0	1	0	0						锐不可挡：减免伤害55%	1	锐不可挡：减免伤害55%	
1295	1295	10	1	CJSH_skill_player_1_8			人物身体前置点	状态_武士_锐不可挡_01		人物身体受击点	0	1	0	0						锐不可挡：减免伤害60%	1	锐不可挡：减免伤害60%	
1296	1296	10	1	CJSH_skill_player_1_8			人物身体前置点	状态_武士_锐不可挡_01		人物身体受击点	0	1	0	0						锐不可挡：减免伤害65%	1	锐不可挡：减免伤害65%	
1297	1297	10	1	CJSH_skill_player_1_8			人物身体前置点	状态_武士_锐不可挡_01		人物身体受击点	0	1	0	0						锐不可挡：减免伤害70%	1	锐不可挡：减免伤害70%	
1298	1298	10	1	CJSH_skill_player_1_8			人物身体前置点	状态_武士_锐不可挡_01		人物身体受击点	0	1	0	0						锐不可挡：减免伤害75%	1	锐不可挡：减免伤害75%	
1299	1299	10	1	CJSH_skill_player_1_8			人物身体前置点	状态_武士_锐不可挡_01		人物身体受击点	0	1	0	0						锐不可挡：减免伤害80%	1	锐不可挡：减免伤害80%	
1300	1300	10	1	CJSH_skill_player_1_8			人物身体前置点	状态_武士_锐不可挡_01		人物身体受击点	0	1	0	0						锐不可挡：减免伤害85%	1	锐不可挡：减免伤害85%	
1301	1301	10	1	CJSH_skill_player_1_9			人物身体前置点	状态_武士_虽远必诛_01		人物右手绑定点	0	1	0	0						虽远必诛：提高人物暴击55	1	虽远必诛：提高人物暴击55	
1302	1302	10	1	CJSH_skill_player_1_9			人物身体前置点	状态_武士_虽远必诛_01		人物右手绑定点	0	1	0	0						虽远必诛：提高人物暴击60	1	虽远必诛：提高人物暴击60	
1303	1303	10	1	CJSH_skill_player_1_9			人物身体前置点	状态_武士_虽远必诛_01		人物右手绑定点	0	1	0	0						虽远必诛：提高人物暴击65	1	虽远必诛：提高人物暴击65	
1304	1304	10	1	CJSH_skill_player_1_9			人物身体前置点	状态_武士_虽远必诛_01		人物右手绑定点	0	1	0	0						虽远必诛：提高人物暴击70	1	虽远必诛：提高人物暴击70	
1305	1305	10	1	CJSH_skill_player_1_9			人物身体前置点	状态_武士_虽远必诛_01		人物右手绑定点	0	1	0	0						虽远必诛：提高人物暴击75	1	虽远必诛：提高人物暴击75	
1306	1306	10	1	CJSH_skill_player_1_9			人物身体前置点	状态_武士_虽远必诛_01		人物右手绑定点	0	1	0	0						虽远必诛：提高人物暴击80	1	虽远必诛：提高人物暴击80	
1307	1307	10	1	CJSH_skill_player_1_9			人物身体前置点	状态_武士_虽远必诛_01		人物右手绑定点	0	1	0	0						虽远必诛：提高人物暴击85	1	虽远必诛：提高人物暴击85	
1308	1308	10	1	CJSH_skill_player_1_9			人物身体前置点	状态_武士_虽远必诛_01		人物右手绑定点	0	1	0	0						虽远必诛：提高人物暴击90	1	虽远必诛：提高人物暴击90	
1309	1309	10	1	CJSH_skill_player_1_9			人物身体前置点	状态_武士_虽远必诛_01		人物右手绑定点	0	1	0	0						虽远必诛：提高人物暴击95	1	虽远必诛：提高人物暴击95	
1310	1310	10	1	CJSH_skill_player_1_9			人物身体前置点	状态_武士_虽远必诛_01		人物右手绑定点	0	1	0	0						虽远必诛：提高人物暴击100	1	虽远必诛：提高人物暴击100	
																				0			
																				0			
																				0			
																				0			
																				0			
																				0	1		
																				0			
																				0			
																				0			
																				0			
																				0			
1321	1322	10	1	CJSH_skill_player_1_10			人物身体前置点			人物身体受击点	0	1	0	0						勇冠三军：增加力量21点	1	勇冠三军：增加力量21点	
1322	1324	10	1	CJSH_skill_player_1_10			人物身体前置点			人物身体受击点	0	1	0	0						勇冠三军：增加力量38点	1	勇冠三军：增加力量38点	
1323	1326	10	1	CJSH_skill_player_1_10			人物身体前置点			人物身体受击点	0	1	0	0						勇冠三军：增加力量55点	1	勇冠三军：增加力量55点	
1324	1328	10	1	CJSH_skill_player_1_10			人物身体前置点			人物身体受击点	0	1	0	0						勇冠三军：增加力量72点	1	勇冠三军：增加力量72点	
1325	1330	10	1	CJSH_skill_player_1_10			人物身体前置点			人物身体受击点	0	1	0	0						勇冠三军：增加力量89点	1	勇冠三军：增加力量89点	
1326	1332	10	1	CJSH_skill_player_1_10			人物身体前置点			人物身体受击点	0	1	0	0						勇冠三军：增加力量106点	1	勇冠三军：增加力量106点	
1327	1334	10	1	CJSH_skill_player_1_10			人物身体前置点			人物身体受击点	0	1	0	0						勇冠三军：增加力量123点	1	勇冠三军：增加力量123点	
1328	1336	10	1	CJSH_skill_player_1_10			人物身体前置点			人物身体受击点	0	1	0	0						勇冠三军：增加力量140点	1	勇冠三军：增加力量140点	
1329	1338	10	1	CJSH_skill_player_1_10			人物身体前置点			人物身体受击点	0	1	0	0						勇冠三军：增加力量157点	1	勇冠三军：增加力量157点	
1330	1340	10	1	CJSH_skill_player_1_10			人物身体前置点			人物身体受击点	0	1	0	0						勇冠三军：增加力量174点	1	勇冠三军：增加力量174点	
																				0	1		
																				0	1		
																				0	1		
																				0			
																				0			
																				0			
																				0			
																				0			
																				0			
																				0			
																				0			
																				0			
																				0			
1381	1381	10	1	CJSH_skill_player_1_7			人物身体中心点	状态_热血沸腾_01		人物身体受击点	0	1	0	0						热血沸腾：基础生命上限提高30%	1	热血沸腾：基础生命上限提高30%	
1382	1382	10	1	CJSH_skill_player_1_7			人物身体中心点	状态_热血沸腾_01		人物身体受击点	0	1	0	0						热血沸腾：基础生命上限提高35%	1	热血沸腾：基础生命上限提高35%	
1383	1383	10	1	CJSH_skill_player_1_7			人物身体中心点	状态_热血沸腾_01		人物身体受击点	0	1	0	0						热血沸腾：基础生命上限提高40%	1	热血沸腾：基础生命上限提高40%	
1384	1384	10	1	CJSH_skill_player_1_7			人物身体中心点	状态_热血沸腾_01		人物身体受击点	0	1	0	0						热血沸腾：基础生命上限提高45%	1	热血沸腾：基础生命上限提高45%	
1385	1385	10	1	CJSH_skill_player_1_7			人物身体中心点	状态_热血沸腾_01		人物身体受击点	0	1	0	0						热血沸腾：基础生命上限提高50%	1	热血沸腾：基础生命上限提高50%	
1386	1386	10	1	CJSH_skill_player_1_7			人物身体中心点	状态_热血沸腾_01		人物身体受击点	0	1	0	0						热血沸腾：基础生命上限提高55%	1	热血沸腾：基础生命上限提高55%	
1387	1387	10	1	CJSH_skill_player_1_7			人物身体中心点	状态_热血沸腾_01		人物身体受击点	0	1	0	0						热血沸腾：基础生命上限提高60%	1	热血沸腾：基础生命上限提高60%	
1388	1388	10	1	CJSH_skill_player_1_7			人物身体中心点	状态_热血沸腾_01		人物身体受击点	0	1	0	0						热血沸腾：基础生命上限提高65%	1	热血沸腾：基础生命上限提高65%	
1389	1389	10	1	CJSH_skill_player_1_7			人物身体中心点	状态_热血沸腾_01		人物身体受击点	0	1	0	0						热血沸腾：基础生命上限提高70%	1	热血沸腾：基础生命上限提高70%	
1390	1390	10	1	CJSH_skill_player_1_7			人物身体中心点	状态_热血沸腾_01		人物身体受击点	0	1	0	0						热血沸腾：基础生命上限提高75%	1	热血沸腾：基础生命上限提高75%	
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
1391	1391	10	1	CJSH_skill_player_1_2			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						冲锋斩：眩晕	1	冲锋斩：眩晕	
1392	1392	10	1	CJSH_skill_player_1_2			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						冲锋斩：眩晕	1	冲锋斩：眩晕	
1393	1393	10	1	CJSH_skill_player_1_2			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						冲锋斩：眩晕	1	冲锋斩：眩晕	
1394	1394	10	1	CJSH_skill_player_1_2			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						冲锋斩：眩晕	1	冲锋斩：眩晕	
1395	1395	10	1	CJSH_skill_player_1_2			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						冲锋斩：眩晕	1	冲锋斩：眩晕	
1396	1396	10	1	CJSH_skill_player_1_2			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						冲锋斩：眩晕	1	冲锋斩：眩晕	
1397	1397	10	1	CJSH_skill_player_1_2			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						冲锋斩：眩晕	1	冲锋斩：眩晕	
1398	1398	10	1	CJSH_skill_player_1_2			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						冲锋斩：眩晕	1	冲锋斩：眩晕	
1399	1399	10	1	CJSH_skill_player_1_2			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						冲锋斩：眩晕	1	冲锋斩：眩晕	
1400	1400	10	1	CJSH_skill_player_1_2			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						冲锋斩：眩晕	1	冲锋斩：眩晕	
																							
1440	1440	10	1	CJSH_skill_player_1_4			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						眩晕	1	眩晕	
1441	1441	10	1	CJSH_skill_player_1_4			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						眩晕	1	眩晕	
1442	1442	10	1	CJSH_skill_player_1_4			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						眩晕	1	眩晕	
1443	1443	10	1	CJSH_skill_player_1_4			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						眩晕	1	眩晕	
1444	1444	10	1	CJSH_skill_player_1_4			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						眩晕	1	眩晕	
1445	1445	10	1	CJSH_skill_player_1_4			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						眩晕	1	眩晕	
1446	1446	10	1	CJSH_skill_player_1_4			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						眩晕	1	眩晕	
1447	1447	10	1	CJSH_skill_player_1_4			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						眩晕	1	眩晕	
1448	1448	10	1	CJSH_skill_player_1_4			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						眩晕	1	眩晕	
1449	1449	10	1	CJSH_skill_player_1_4			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						眩晕	1	眩晕	
																							
																							
1500	1500	10	1	CJSH_skill_player_1_4			人物身体前置点				0	1	1	0						你正在驾驶战车(火炮)，右键点击可离开战车（火炮）	1	正在驾驶战车	
1505	1505	10	1	CJSH_skill_player_1_2			人物身体前置点				0	1	1	0						你携带了一枚炸弹！在炸弹有效期间，死亡，离线，手动引爆，以及炸弹自动引爆，可以对城门产生巨大伤害！	1	携带了一枚炸弹！危险！远离！	
#	英雄副本																						
1520	1520	10	1	CJSH_skill_player_1_4			人物身体前置点				0	0	1	0						你正在驾驶战车(火炮)，右键点击可离开战车（火炮）	1	正在驾驶战车	
1521	1521	10	1	CJSH_skill_player_1_4			人物身体前置点				0	0	1	0						你感觉自己无法动弹	1	你感觉自己无法动弹	
1523	1523	10	1	KHan2_zhanche_02_2			人物身体受击点	npc_新战车减速状态_01		人物身体受击点	0	1	1	0						减速：移动速度大幅降低，持续10秒	1	减速：移动速度降低50%，持续10秒	
1524	1524	10	1	KHan2_zhanche_02_9			人物身体受击点	npc_新战车腐蚀状态_01		人物身体受击点	0	1	1	0						腐蚀：每秒持续受到伤害，持续10秒。	1	腐蚀：每秒持续受到伤害，持续10秒。	
1525	1525	10	1	CJSH_wanfa_add_1_12			人物身体前置点			人物头部绑定点	0	1	1	0						碎甲：降低所有防御5000，持续15秒	1	碎甲：降低所有防御5000，持续15秒	
1531	1531	10	1	CJSH_ridskill_5_5			人物身体前置点			人物头部绑定点	0	1	1	0						你视线一片模糊：命中降低600	1	你视线一片模糊：命中降低600	
1532	1532	10	1	CJSH_ridskill_5_7			人物身体前置点			人物头部绑定点	0	1	1	0						你感觉自己迈不开腿：闪避降低300	1	你感觉自己迈不开腿：闪避降低300	
1533	1533	10	1	CJSH_ridskill_5_6			人物身体前置点			人物头部绑定点	0	1	1	0						你感觉自己手软了：暴击降低500	1	你感觉自己手软了：暴击降低500	
1534	1534	10	1	CJSH_ridskill_5_16			人物身体前置点			人物头部绑定点	0	1	1	0						你觉得呼吸不畅：生命最大值降低200000	1	你觉得呼吸不畅：生命最大值降低200000	
#	阵旗																						
1539	1539	10	1	Icons_CJSH_skill_TopLevel_1_11							1	0	0	0						攻击阵旗	1	攻击阵旗	
1540	1540	10	1	Icons_CJSH_skill_TopLevel_1_13							1	0	0	0						防御阵旗	1	防御阵旗	
1751	1751	10	1	CJSH_skill_player_1_16			人物身体前置点			人物头部绑定点	0	0	1	1						你觉得呼吸不畅：生命最大值降低10万	1	你觉得呼吸不畅：生命最大值降低10万	
1752	1752	10	1	CJSH_ridskill_5_16			人物身体前置点			人物头部绑定点	0	0	1	1						你觉得呼吸不畅：每隔一段时间减少一定的生命值	1	你觉得呼吸不畅：每隔一段时间减少一定的生命值	
1754	1754	10	1	CJSH_skill_player_2_8			人物身体前置点			人物头部绑定点	0	0	1	1						护甲削弱9000	1	护甲削弱9000	
1755	1755	10	1	CJSH_skill_player_2_4			人物身体前置点			人物头部绑定点	0	0	1	1						护甲削弱10000	1	护甲削弱10000	
1756	1756	10	1	CJSH_skill_player_2_5			人物身体前置点			人物头部绑定点	0	0	1	1						护甲削弱11000	1	护甲削弱11000	
1757	1757	10	1	CJSH_skill_player_2_6			人物身体前置点			人物头部绑定点	0	0	1	1						护甲削弱12000	1	护甲削弱12000	
1758	1758	10	1	CJSH_skill_player_2_7			人物身体前置点			人物头部绑定点	0	0	1	1						护甲削弱13000	1	护甲削弱13000	
1759	1759	10	1	CJSH_skill_player_2_8			人物身体前置点			人物头部绑定点	0	0	1	1						护甲削弱15000	1	护甲削弱15000	
1761	1761	10	1	CJSH_skill_player_2_8			人物身体前置点	cj_山寨无行火		坐骑马脚部绑定点	0	0	1	1						即将爆炸！	1	即将爆炸！	
1762	1762	10	1	CJSH_skill_player_1_15			人物身体前置点			人物头部绑定点	0	0	1	1						近战远程防御加强	1	近战远程防御加强	
1763	1763	10	1	CJSH_quest_xinjia_1_14			人物身体前置点			人物头部绑定点	0	0	1	1						远程魔法防御加强	1	远程魔法防御加强	
1764	1764	10	1	CJSH_item_zahuo_3_11			人物身体前置点			人物头部绑定点	0	0	1	1						魔法近战防御	1	魔法近战防御	
1766	1766	10	1	CJSH_skill_player_3_10			坐骑马尾部绑定点1	成3_恶魔女妖_01		坐骑马尾部绑定点1	0	0	1	1						自爆	1	自爆	
#1767	1767	10	1	CJSH_ridskill_5_16			人物身体前置点			人物头部绑定点	0	0	1	1						找人自爆了	1	找人自爆了	
1768	1768	10	1	CJSH_ridskill_5_16			人物身体前置点			人物头部绑定点	0	0	1	1						基地BOSS技能	1	基地BOSS技能	
1773	1773	10	1	CJSH_skill_player_2_7			人物身体前置点			人物头部绑定点	0	0	1	1						别追我！	1	别追我！	
1775	1775	10	1	CJSH_ridskill_5_16			人物身体前置点			人物头部绑定点	0	0	1	1						扔箱子了!	1	基地BOSS技能	
1776	1776	10	1	CJSH_ridskill_5_16			人物身体前置点			人物头部绑定点	0	0	1	1						卧槽泥捡箱子啊这是!	1	基地BOSS技能	
#1779	1779	10	1	CJSH_skill_player_1_15			人物身体前置点			人物头部绑定点	0	0	1	1						我要开始怼了！	1	我要开始怼了！	
1780	1780	10	1	CJSH_skill_player_1_4			人物身体前置点			人物头部绑定点	0	0	1	1						狂暴！	1	狂暴！	
