NUM	NUM	NUM	TEXT	NUM	NUM	NUM	NUM	NUM	TEXT	NUM	NUM	NUM	TEXT	NUM	NUM	NUM	TEXT
16	15	38	大都-[40级]大都·西	157	135	105	1	40	x:0.2 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	0	255	224	大都·中心城
17	12	37	大都-[40级]大都·东	128.5	123	105	1	40	x:0.8 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	0	255	224	大都·中心城
18	13	36	大都-[40级]大都·南	128	98	105	1	40	x:0.5 y:0.8	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	0	255	224	大都·中心城
19	17	2	大都-[40级]泰山	168	145	105	1	40	x:0.9 y:0.8	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	0	255	224	大都·中心城
20	18	4	大都-[40级]太行山	144	38	105	1	40	x:0.64 y:0.8	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	0	255	224	大都·中心城
21	30	0	大都-[40级]码头	400	453	105	1	40	x:0.64 y:0.7	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	0	255	224	大都·中心城
22	34	0	大都-[40级]大都·崔府	107	318	105	1	40	x:0.5 y:0.7	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	0	255	224	大都·中心城
23	11	0	大都-[40级]大都·中心城	255	224	106	1	40	x:0.5 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	37	128.5	123	大都·东
24	16	0	大都-[40级]大都·崇天门	255.028854	160.864517	106	1	40	x:0.5 y:0.2	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	37	128.5	123	大都·东
25	14	0	大都-[40级]大都·大相国寺	105.080017	145.245483	106	1	40	x:0.35 y:0.18	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	37	128.5	123	大都·东
26	19	0	大都-[40级]大都·赵王府	404.755524	116.343918	106	1	40	x:0.65 y:0.15	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	37	128.5	123	大都·东
27	27	0	大都-[40级]大都·光明顶	64	214	106	1	40	x:0.34 y:0.4	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	37	128.5	123	大都·东
28	28	0	大都-[40级]大都·盐帮码头	375	206	106	1	40	x:0.64 y:0.37	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	37	128.5	123	大都·东
29	29	0	大都-[40级]大都·天坛	255	318	106	1	40	x:0.5 y:0.6	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	37	128.5	123	大都·东
30	15	38	大都-[40级]大都·西	157	135	106	1	40	x:0.2 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	37	128.5	123	大都·东
31	12	37	大都-[40级]大都·东	128.5	123	106	1	40	x:0.8 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	37	128.5	123	大都·东
32	13	36	大都-[40级]大都·南	128	98	106	1	40	x:0.5 y:0.8	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	37	128.5	123	大都·东
33	17	2	大都-[40级]泰山	168	145	106	1	40	x:0.9 y:0.8	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	37	128.5	123	大都·东
34	18	4	大都-[40级]太行山	144	38	106	1	40	x:0.1 y:0.8	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	37	128.5	123	大都·东
35	30	0	大都-[40级]码头	400	453	106	1	40	x:0.64 y:0.7	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	37	128.5	123	大都·东
36	34	0	大都-[40级]大都·崔府	107	318	106	1	40	x:0.5 y:0.7	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	37	128.5	123	大都·东
37	11	0	大都-[40级]大都·中心城	255	224	107	1	40	x:0.5 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	36	128	98	大都·南
38	16	0	大都-[40级]大都·崇天门	255.028854	160.864517	107	1	40	x:0.5 y:0.2	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	36	128	98	大都·南
39	14	0	大都-[40级]大都·大相国寺	105.080017	145.245483	107	1	40	x:0.35 y:0.18	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	36	128	98	大都·南
40	19	0	大都-[40级]大都·赵王府	404.755524	116.343918	107	1	40	x:0.65 y:0.15	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	36	128	98	大都·南
41	27	0	大都-[40级]大都·光明顶	64	214	107	1	40	x:0.34 y:0.4	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	36	128	98	大都·南
42	28	0	大都-[40级]大都·盐帮码头	375	206	107	1	40	x:0.64 y:0.37	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	36	128	98	大都·南
43	29	0	大都-[40级]大都·天坛	255	318	107	1	40	x:0.5 y:0.6	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	36	128	98	大都·南
44	15	38	大都-[40级]大都·西	157	135	107	1	40	x:0.2 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	36	128	98	大都·南
45	12	37	大都-[40级]大都·东	128.5	123	107	1	40	x:0.8 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	36	128	98	大都·南
46	13	36	大都-[40级]大都·南	128	98	107	1	40	x:0.5 y:0.8	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	36	128	98	大都·南
47	17	2	大都-[40级]泰山	168	145	107	1	40	x:0.9 y:0.8	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	36	128	98	大都·南
48	18	4	大都-[40级]太行山	144	38	107	1	40	x:0.1 y:0.8	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	36	128	98	大都·南
49	30	0	大都-[40级]码头	400	453	107	1	40	x:0.64 y:0.7	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	36	128	98	大都·南
50	34	0	大都-[40级]大都·崔府	107	318	107	1	40	x:0.5 y:0.7	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	36	128	98	大都·南
51	20	50	王国-[10级]中心广场	254.789841	116.728592	122	1	10	x:0.2 y:0.1	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	50	254.789841	116.728592	王城·中心广场
52	21	98	王国草原-[10级]罕难河	141	56	122	1	1	x:0.5 y:0.3	0	-1	1514	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	50	254.789841	116.728592	王城·中心广场
53	22	99	王国草原-[15级]乞颜部	97	150	122	1	1	x:0.5 y:0.5	0	-1	1515	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	50	254.789841	116.728592	王城·中心广场
54	23	100	王国草原-[20级]塔塔尔	200	200	122	1	1	x:0.7 y:0.5	0	-1	1516	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	50	254.789841	116.728592	王城·中心广场
55	25	101	王国草原-[25级]克烈部	181	173	122	1	1	x:0.5 y:0.8	0	-1	1518	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	50	254.789841	116.728592	王城·中心广场
56	24	102	王国草原-[30级]乃蛮部	80	131	122	1	1	x:0.3 y:0.5	0	-1	1517	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	50	254.789841	116.728592	王城·中心广场
57	26	103	王国草原-[35级]居庸关外	133	127	122	1	1	x:0.3 y:0.9	0	-1	1519	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_10	50	254.789841	116.728592	王城·中心广场
58	20	50	王国-[10级]中心广场	254.789841	116.728592	123	1	10	x:0.2 y:0.1	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	98	141	56	蒙古罕难河
59	21	98	王国草原-[10级]罕难河	141	56	123	1	1	x:0.5 y:0.3	0	-1	1514	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	98	141	56	蒙古罕难河
60	22	99	王国草原-[15级]乞颜部	97	150	123	1	1	x:0.5 y:0.5	0	-1	1515	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	98	141	56	蒙古罕难河
61	23	100	王国草原-[20级]塔塔尔	200	200	123	1	1	x:0.7 y:0.5	0	-1	1516	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_10	98	141	56	蒙古罕难河
62	25	101	王国草原-[25级]克烈部	181	173	123	1	1	x:0.5 y:0.8	0	-1	1518	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_12	98	141	56	蒙古罕难河
63	24	102	王国草原-[30级]乃蛮部	80	131	123	1	1	x:0.3 y:0.5	0	-1	1517	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_11	98	141	56	蒙古罕难河
64	26	103	王国草原-[35级]居庸关外	133	127	123	1	1	x:0.3 y:0.9	0	-1	1519	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_12	98	141	56	蒙古罕难河
65	20	50	王国-[10级]中心广场	254.789841	116.728592	124	1	10	x:0.2 y:0.1	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	99	97	150	蒙古乞颜部
66	21	98	王国草原-[10级]罕难河	141	56	124	1	1	x:0.5 y:0.3	0	-1	1514	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	99	97	150	蒙古乞颜部
67	22	99	王国草原-[15级]乞颜部	97	150	124	1	1	x:0.5 y:0.5	0	-1	1515	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	99	97	150	蒙古乞颜部
68	23	100	王国草原-[20级]塔塔尔	200	200	124	1	1	x:0.7 y:0.5	0	-1	1516	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_10	99	97	150	蒙古乞颜部
69	25	101	王国草原-[25级]克烈部	181	173	124	1	1	x:0.5 y:0.8	0	-1	1518	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_12	99	97	150	蒙古乞颜部
70	24	102	王国草原-[30级]乃蛮部	80	131	124	1	1	x:0.3 y:0.5	0	-1	1517	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_11	99	97	150	蒙古乞颜部
71	26	103	王国草原-[35级]居庸关外	133	127	124	1	1	x:0.3 y:0.9	0	-1	1519	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_12	99	97	150	蒙古乞颜部
72	31	15	大都-[40级]威海扬武号	177.399994	135.300003	125	1	1	x:0.2 y:0.5	0	-1	1506	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	15	177.399994	135.300003	威海扬武号
73	32	26	领地-[110级]对马岛	228	52	125	1	110	x:0.6 y:0.4	2300	-1	1506	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	15	177.399994	135.300003	威海扬武号
74	33	33	领地-[130级]婆罗洲	100	100	125	1	999	x:0.5 y:0.8	2900	-1	1506	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	15	177.399994	135.300003	威海扬武号
75	31	15	大都-[40级]威海扬武号	177.399994	135.300003	126	1	1	x:0.2 y:0.5	0	-1	1506	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	32	100	100	对马岛
76	32	26	领地-[110级]对马岛	228	52	126	1	1	x:0.5 y:0.8	0	-1	1506	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	32	100	100	对马岛
77	31	51	楼兰-[20级]边塞	330.205841	245.024933	127	1	1	x:0.2 y:0.8	0	-1	1506	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	526	183	192	缅甸
78	33	527	领地-[140级]婆罗洲	183	192	127	1	999	x:0.9 y:0.6	0	-1	1506	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	526	183	192	婆罗洲
79	41	50	王国-[10级]中心广场	254.789841	116.728592	128	1	10	x:0.2 y:0.5	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	50	254.789841	116.728592	王城·中心广场
80	42	0	大都-[40级]大都·中心城	255	224	128	1	40	x:0.7 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	50	254.789841	116.728592	王城·中心广场
81	41	50	王国-[10级]中心广场	254.789841	116.728592	129	1	10	x:0.2 y:0.5	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	0	255	224	大都·中心城
82	42	0	大都-[40级]大都·中心城	255	224	129	1	40	x:0.7 y:0.4	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	0	255	224	大都·中心城
83	11	0	大都-[40级]大都·中心城	255	224	130	1	40	x:0.5 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	38	157	135	大都·西
84	16	0	大都-[40级]大都·崇天门	255.028854	160.864517	130	1	1	x:0.5 y:0.2	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	38	157	135	大都·西
85	14	0	大都-[40级]大都·大相国寺	105.080017	145.245483	130	1	1	x:0.35 y:0.18	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	38	157	135	大都·西
86	19	0	大都-[40级]大都·赵王府	404.755524	116.343918	130	1	1	x:0.65 y:0.15	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	38	157	135	大都·西
87	27	0	大都-[40级]大都·光明顶	64	214	130	1	1	x:0.34 y:0.4	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	38	157	135	大都·西
88	28	0	大都-[40级]大都·盐帮码头	375	206	130	1	1	x:0.64 y:0.37	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	38	157	135	大都·西
89	29	0	大都-[40级]大都·天坛	255	318	130	1	1	x:0.5 y:0.6	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	38	157	135	大都·西
90	15	38	大都-[40级]大都·西	157	135	130	1	1	x:0.2 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	38	157	135	大都·西
91	12	37	大都-[40级]大都·东	128.5	123	130	1	1	x:0.8 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	38	157	135	大都·西
92	13	36	大都-[40级]大都·南	128	98	130	1	1	x:0.5 y:0.8	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	38	157	135	大都·西
93	17	2	大都-[40级]泰山	168	145	130	1	1	x:0.9 y:0.8	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	38	157	135	大都·西
94	18	4	大都-[40级]太行山	144	38	130	1	1	x:0.1 y:0.8	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	38	157	135	大都·西
95	30	0	大都-[40级]码头	400	453	130	1	40	x:0.64 y:0.7	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	38	157	135	大都·西
96	34	0	大都-[40级]大都·崔府	107	318	130	1	40	x:0.5 y:0.7	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	38	157	135	大都·西
97	20	50	王国-[10级]中心广场	254.789841	116.728592	131	1	10	x:0.2 y:0.1	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	100	200	200	王国草原·塔塔尔
98	21	98	王国草原-[10级]罕难河	141	56	131	1	1	x:0.5 y:0.3	0	-1	1514	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	100	200	200	王国草原·塔塔尔
99	22	99	王国草原-[15级]乞颜部	97	150	131	1	1	x:0.5 y:0.5	0	-1	1515	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	100	200	200	王国草原·塔塔尔
100	23	100	王国草原-[20级]塔塔尔	200	200	131	1	1	x:0.7 y:0.5	0	-1	1516	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_10	100	200	200	王国草原·塔塔尔
101	24	102	王国草原-[30级]乃蛮部	80	131	131	1	1	x:0.5 y:0.8	0	-1	1517	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_11	100	200	200	王国草原·塔塔尔
102	25	101	王国草原-[25级]克烈部	181	173	131	1	1	x:0.3 y:0.5	0	-1	1518	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_12	100	200	200	王国草原·塔塔尔
103	26	103	王国草原-[35级]居庸关外	133	127	131	1	1	x:0.3 y:0.9	0	-1	1519	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_13	100	200	200	王国草原·塔塔尔
104	20	50	王国-[10级]中心广场	254.789841	116.728592	132	1	10	x:0.2 y:0.1	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	102	80	131	王国草原·乃蛮部
105	21	98	王国草原-[10级]罕难河	141	56	132	1	1	x:0.5 y:0.3	0	-1	1514	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	102	80	131	王国草原·乃蛮部
106	22	99	王国草原-[15级]乞颜部	97	150	132	1	1	x:0.5 y:0.5	0	-1	1515	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	102	80	131	王国草原·乃蛮部
107	23	100	王国草原-[20级]塔塔尔	200	200	132	1	1	x:0.7 y:0.5	0	-1	1516	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_10	102	80	131	王国草原·乃蛮部
108	25	101	王国草原-[25级]克烈部	181	173	132	1	1	x:0.5 y:0.8	0	-1	1518	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_12	102	80	131	王国草原·乃蛮部
109	24	102	王国草原-[30级]乃蛮部	80	131	132	1	1	x:0.3 y:0.5	0	-1	1517	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_11	102	80	131	王国草原·乃蛮部
110	26	103	王国草原-[35级]居庸关外	133	127	132	1	1	x:0.3 y:0.9	0	-1	1519	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_12	102	80	131	王国草原·乃蛮部
111	20	50	王国-[10级]中心广场	254.789841	116.728592	133	1	10	x:0.2 y:0.1	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	101	181	173	王国草原·克列部
112	21	98	王国草原-[10级]罕难河	141	56	133	1	1	x:0.5 y:0.3	0	-1	1514	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	101	181	173	王国草原·克列部
113	22	99	王国草原-[15级]乞颜部	97	150	133	1	1	x:0.5 y:0.5	0	-1	1515	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	101	181	173	王国草原·克列部
114	23	100	王国草原-[20级]塔塔尔	200	200	133	1	1	x:0.7 y:0.5	0	-1	1516	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_10	101	181	173	王国草原·克列部
115	25	101	王国草原-[25级]克烈部	181	173	133	1	1	x:0.5 y:0.8	0	-1	1518	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_12	101	181	173	王国草原·克列部
116	24	102	王国草原-[30级]乃蛮部	80	131	133	1	1	x:0.3 y:0.5	0	-1	1517	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_11	101	181	173	王国草原·克列部
117	26	103	王国草原-[35级]居庸关外	133	127	133	1	1	x:0.3 y:0.9	0	-1	1519	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_11	101	181	173	王国草原·克列部
118	20	50	王国-[10级]中心广场	254.789841	116.728592	134	1	10	x:0.2 y:0.1	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	103	133	127	居庸关外
119	21	98	王国草原-[10级]罕难河	141	56	134	1	1	x:0.5 y:0.3	0	-1	1514	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	103	133	127	居庸关外
120	22	99	王国草原-[15级]乞颜部	97	150	134	1	1	x:0.5 y:0.5	0	-1	1515	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	103	133	127	居庸关外
121	23	100	王国草原-[20级]塔塔尔	200	200	134	1	1	x:0.7 y:0.5	0	-1	1516	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_10	103	133	127	居庸关外
122	25	101	王国草原-[25级]克烈部	181	173	134	1	1	x:0.5 y:0.8	0	-1	1518	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_12	103	133	127	居庸关外
123	24	102	王国草原-[30级]乃蛮部	80	131	134	1	1	x:0.3 y:0.5	0	-1	1517	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_11	103	133	127	居庸关外
124	26	103	王国草原-[35级]居庸关外	133	127	134	1	1	x:0.3 y:0.9	0	-1	1519	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_11	103	133	127	居庸关外
125	41	50	王国-[10级]中心广场	254.789841	116.728592	135	1	10	x:0.5 y:0.3	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	50	254.789841	116.728592	王城·中心广场
126	43	51	王城-[20级]边塞	299	193	135	1	1	x:0.5 y:0.7	0	-1	1502	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_10	50	254.789841	116.728592	王城·中心广场
