NUM	NUM	NUM	NUM	TEXT	NUM	TEXT	NUM	NUM	NUM	NUM	NUM	CNC	NUM	TEXT	TEXT	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	NUM	NUM
28	1	0	0	预留坐骑	1	马	1	-1	-1	0	1	黑	10000	2|3|4	3400|3300|3300	5	1	60000	20000	1	1	1	1	1	1	1	1	100	100	100	100	100	100	100	100	5	11	3	5	27	48	5	1000	1	10000	11000	10000	11050	10000	11640	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	416000
29	1	0	0	预留坐骑	1	马	1	-1	-1	0	1	黑	10000	2|3|4	3400|3300|3300	5	1	60000	20000	1	1	1	1	1	1	1	1	100	100	100	100	100	100	100	100	5	11	3	5	27	48	5	1000	1	10000	11000	10000	11050	10000	11640	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	416000
30	1	0	0	预留坐骑	1	马	1	-1	-1	0	1	黑	10000	2|3|4	3400|3300|3300	5	1	60000	20000	1	1	1	1	1	1	1	1	100	100	100	100	100	100	100	100	5	11	3	5	27	48	5	1000	1	10000	11000	10000	11050	10000	11640	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	416000
31	1	0	0	小马驹·黄	1	马	1	-1	-1	0	1	黄	10000	32|33|34	3400|3300|3300	35	1	60000	20000	1	1	1	1	1	1	1	1	100	100	100	100	100	100	100	100	5	11	3	5	27	48	5	1000	4	10000	11000	10000	11050	10000	11640	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	416000
32	1	1	1	小马驹·黄	1	马	1	-1	-1	0	1	黄	10000	32|33|34	3400|3300|3300	35	1	60000	20000	2	9	2	9	2	9	2	9	109	115	109	115	109	115	109	115	5	11	3	5	27	48	5	1000	4	10000	11000	10000	11050	10000	11640	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1
33	1	1	1	小马驹·黄	1	马	1	-1	-1	0	1	黄	10000	32|33|34	3400|3300|3300	35	1	60000	20000	2	9	2	9	2	9	2	9	114	120	114	120	114	120	114	120	5	11	3	5	27	48	5	1000	4	10000	11000	10000	11050	10000	11640	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1
34	1	1	1	小马驹·黄	1	马	1	-1	-1	0	1	黄	10000	32|33|34	3400|3300|3300	35	1	60000	20000	2	9	2	9	2	9	2	9	119	125	119	125	119	125	119	125	5	11	3	5	27	48	5	1000	4	10000	11000	10000	11050	10000	11640	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1
35	1	0	1	小马驹·黄	1	马	1	-1	-1	1	1	黄	10000	35	10000	35	1	60000	20000	2	9	2	9	2	9	2	9	124	130	124	130	124	130	124	130	5	11	3	5	27	48	5	1000	4	10000	11000	10000	11050	10000	11640	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1
36	1	0	0	预留坐骑	1	马	1	-1	-1	0	1	黑	10000	2|3|4	3400|3300|3300	5	1	60000	20000	1	1	1	1	1	1	1	1	100	100	100	100	100	100	100	100	5	11	3	5	27	48	5	1000	1	10000	11000	10000	11050	10000	11640	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	416000
37	1	0	0	预留坐骑	1	马	1	-1	-1	0	1	黑	10000	2|3|4	3400|3300|3300	5	1	60000	20000	1	1	1	1	1	1	1	1	100	100	100	100	100	100	100	100	5	11	3	5	27	48	5	1000	1	10000	11000	10000	11050	10000	11640	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	416000
38	1	0	0	预留坐骑	1	马	1	-1	-1	0	1	黑	10000	2|3|4	3400|3300|3300	5	1	60000	20000	1	1	1	1	1	1	1	1	100	100	100	100	100	100	100	100	5	11	3	5	27	48	5	1000	1	10000	11000	10000	11050	10000	11640	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	416000
39	1	0	0	预留坐骑	1	马	1	-1	-1	0	1	黑	10000	2|3|4	3400|3300|3300	5	1	60000	20000	1	1	1	1	1	1	1	1	100	100	100	100	100	100	100	100	5	11	3	5	27	48	5	1000	1	10000	11000	10000	11050	10000	11640	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	416000
40	1	0	0	预留坐骑	1	马	1	-1	-1	0	1	黑	10000	2|3|4	3400|3300|3300	5	1	60000	20000	1	1	1	1	1	1	1	1	100	100	100	100	100	100	100	100	5	11	3	5	27	48	5	1000	1	10000	11000	10000	11050	10000	11640	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	416000
41	1	0	0	小马驹·红	1	马	1	-1	-1	0	1	红	10000	42|43|44	3400|3300|3300	45	1	60000	20000	1	1	1	1	1	1	1	1	100	100	100	100	100	100	100	100	5	11	3	5	27	48	5	1000	3	10000	11000	10000	11050	10000	11640	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	416000
42	1	1	1	小马驹·红	1	马	1	-1	-1	0	1	红	10000	42|43|44	3400|3300|3300	45	1	60000	20000	2	9	2	9	2	9	2	9	109	115	109	115	109	115	109	115	5	11	3	5	27	48	5	1000	3	10000	11000	10000	11050	10000	11640	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1
43	1	1	1	小马驹·红	1	马	1	-1	-1	0	1	红	10000	42|43|44	3400|3300|3300	45	1	60000	20000	2	9	2	9	2	9	2	9	114	120	114	120	114	120	114	120	5	11	3	5	27	48	5	1000	3	10000	11000	10000	11050	10000	11640	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1
44	1	1	1	小马驹·红	1	马	1	-1	-1	0	1	红	10000	42|43|44	3400|3300|3300	45	1	60000	20000	2	9	2	9	2	9	2	9	119	125	119	125	119	125	119	125	5	11	3	5	27	48	5	1000	3	10000	11000	10000	11050	10000	11640	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1
45	1	0	1	小马驹·红	1	马	1	-1	-1	1	1	红	10000	45	10000	45	1	60000	20000	2	9	2	9	2	9	2	9	124	130	124	130	124	130	124	130	5	11	3	5	27	48	5	1000	3	10000	11000	10000	11050	10000	11640	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1
46	1	0	0	预留坐骑	1	马	1	-1	-1	0	1	黑	10000	2|3|4	3400|3300|3300	5	1	60000	20000	1	1	1	1	1	1	1	1	100	100	100	100	100	100	100	100	5	11	3	5	27	48	5	1000	1	10000	11000	10000	11050	10000	11640	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	416000
47	1	0	0	预留坐骑	1	马	1	-1	-1	0	1	黑	10000	2|3|4	3400|3300|3300	5	1	60000	20000	1	1	1	1	1	1	1	1	100	100	100	100	100	100	100	100	5	11	3	5	27	48	5	1000	1	10000	11000	10000	11050	10000	11640	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	416000
48	1	0	0	预留坐骑	1	马	1	-1	-1	0	1	黑	10000	2|3|4	3400|3300|3300	5	1	60000	20000	1	1	1	1	1	1	1	1	100	100	100	100	100	100	100	100	5	11	3	5	27	48	5	1000	1	10000	11000	10000	11050	10000	11640	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	416000
49	1	0	0	预留坐骑	1	马	1	-1	-1	0	1	黑	10000	2|3|4	3400|3300|3300	5	1	60000	20000	1	1	1	1	1	1	1	1	100	100	100	100	100	100	100	100	5	11	3	5	27	48	5	1000	1	10000	11000	10000	11050	10000	11640	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	416000
50	1	0	0	预留坐骑	1	马	1	-1	-1	0	1	黑	10000	2|3|4	3400|3300|3300	5	1	60000	20000	1	1	1	1	1	1	1	1	100	100	100	100	100	100	100	100	5	11	3	5	27	48	5	1000	1	10000	11000	10000	11050	10000	11640	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	416000
51	1	0	0	小马驹·青	1	马	1	-1	-1	0	1	青	10000	52|53|54	3400|3300|3300	55	1	60000	20000	1	1	1	1	1	1	1	1	100	100	100	100	100	100	100	100	5	11	3	5	27	48	5	1000	6	10000	11000	10000	11050	10000	11640	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	416000
52	1	1	1	小马驹·青	1	马	1	-1	-1	0	1	青	10000	52|53|54	3400|3300|3300	55	1	60000	20000	2	9	2	9	2	9	2	9	109	115	109	115	109	115	109	115	5	11	3	5	27	48	5	1000	6	10000	11000	10000	11050	10000	11640	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1
53	1	1	1	小马驹·青	1	马	1	-1	-1	0	1	青	10000	52|53|54	3400|3300|3300	55	1	60000	20000	2	9	2	9	2	9	2	9	114	120	114	120	114	120	114	120	5	11	3	5	27	48	5	1000	6	10000	11000	10000	11050	10000	11640	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1
54	1	1	1	小马驹·青	1	马	1	-1	-1	0	1	青	10000	52|53|54	3400|3300|3300	55	1	60000	20000	2	9	2	9	2	9	2	9	119	125	119	125	119	125	119	125	5	11	3	5	27	48	5	1000	6	10000	11000	10000	11050	10000	11640	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1
55	1	0	1	小马驹·青	1	马	1	-1	-1	1	1	青	10000	55	10000	55	1	60000	20000	2	9	2	9	2	9	2	9	124	130	124	130	124	130	124	130	5	11	3	5	27	48	5	1000	6	10000	11000	10000	11050	10000	11640	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1
56	1	0	0	预留坐骑	1	马	1	-1	-1	0	1	黑	10000	2|3|4	3400|3300|3300	5	1	60000	20000	1	1	1	1	1	1	1	1	100	100	100	100	100	100	100	100	5	11	3	5	27	48	5	1000	1	10000	11000	10000	11050	10000	11640	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	416000
57	1	0	0	预留坐骑	1	马	1	-1	-1	0	1	黑	10000	2|3|4	3400|3300|3300	5	1	60000	20000	1	1	1	1	1	1	1	1	100	100	100	100	100	100	100	100	5	11	3	5	27	48	5	1000	1	10000	11000	10000	11050	10000	11640	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	416000
58	1	0	0	预留坐骑	1	马	1	-1	-1	0	1	黑	10000	2|3|4	3400|3300|3300	5	1	60000	20000	1	1	1	1	1	1	1	1	100	100	100	100	100	100	100	100	5	11	3	5	27	48	5	1000	1	10000	11000	10000	11050	10000	11640	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	416000
59	1	0	0	预留坐骑	1	马	1	-1	-1	0	1	黑	10000	2|3|4	3400|3300|3300	5	1	60000	20000	1	1	1	1	1	1	1	1	100	100	100	100	100	100	100	100	5	11	3	5	27	48	5	1000	1	10000	11000	10000	11050	10000	11640	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	416000
60	1	0	0	预留坐骑	1	马	1	-1	-1	0	1	黑	10000	2|3|4	3400|3300|3300	5	1	60000	20000	1	1	1	1	1	1	1	1	100	100	100	100	100	100	100	100	5	11	3	5	27	48	5	1000	1	10000	11000	10000	11050	10000	11640	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	416000
61	1	0	0	预留坐骑	1	马	1	-1	-1	0	1	黑	10000	2|3|4	3400|3300|3300	5	1	60000	20000	1	1	1	1	1	1	1	1	100	100	100	100	100	100	100	100	5	11	3	5	27	48	5	1000	1	10000	11000	10000	11050	10000	11640	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	416000
62	1	0	0	预留坐骑	1	马	1	-1	-1	0	1	黑	10000	2|3|4	3400|3300|3300	5	1	60000	20000	1	1	1	1	1	1	1	1	100	100	100	100	100	100	100	100	5	11	3	5	27	48	5	1000	1	10000	11000	10000	11050	10000	11640	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	416000
63	1	0	0	预留坐骑	1	马	1	-1	-1	0	1	黑	10000	2|3|4	3400|3300|3300	5	1	60000	20000	1	1	1	1	1	1	1	1	100	100	100	100	100	100	100	100	5	11	3	5	27	48	5	1000	1	10000	11000	10000	11050	10000	11640	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	416000
64	1	0	0	预留坐骑	1	马	1	-1	-1	0	1	黑	10000	2|3|4	3400|3300|3300	5	1	60000	20000	1	1	1	1	1	1	1	1	100	100	100	100	100	100	100	100	5	11	3	5	27	48	5	1000	1	10000	11000	10000	11050	10000	11640	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	416000
65	1	0	0	预留坐骑	1	马	1	-1	-1	0	1	黑	10000	2|3|4	3400|3300|3300	5	1	60000	20000	1	1	1	1	1	1	1	1	100	100	100	100	100	100	100	100	5	11	3	5	27	48	5	1000	1	10000	11000	10000	11050	10000	11640	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	416000
66	1	0	0	预留坐骑	1	马	1	-1	-1	0	1	黑	10000	2|3|4	3400|3300|3300	5	1	60000	20000	1	1	1	1	1	1	1	1	100	100	100	100	100	100	100	100	5	11	3	5	27	48	5	1000	1	10000	11000	10000	11050	10000	11640	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	416000
