NUM	TEXT	NUM	NUM
11980219	黄金八筒	298	10000
11980220	黄金九筒	299	10000
11980221	黄金一万	301	10000
11980222	黄金二万	302	10000
11980223	黄金三万	303	10000
11980224	黄金四万	304	10000
11980225	黄金五万	305	10000
11980226	黄金六万	306	10000
11980227	黄金七万	307	10000
11980228	黄金八万	308	10000
11980229	黄金九万	309	10000
11980230	黄金东	315	10000
11980231	黄金南	316	10000
11980232	黄金西	317	10000
11980233	黄金北	318	10000
11980234	黄金中	319	10000
11980235	黄金发	320	10000
11980236	黄金白	321	10000
11980237	黄金一条	331	10000
11980238	黄金二条	332	10000
11980239	黄金三条	333	10000
11980240	黄金四条	334	10000
11980241	黄金五条	335	10000
11980242	黄金六条	336	10000
11980243	黄金七条	337	10000
11980244	黄金八条	338	10000
11980245	黄金九条	339	10000
11980246	黄金一筒	341	10000
11980247	黄金二筒	342	10000
11980248	黄金三筒	343	10000
11980249	黄金四筒	344	10000
11980250	黄金五筒	345	10000
11980251	黄金六筒	346	10000
11980252	黄金七筒	347	10000
11980253	黄金八筒	348	10000
11980254	黄金九筒	349	10000
11980255	黄金一万	351	10000
11980256	黄金二万	352	10000
11980257	黄金三万	353	10000
11980258	黄金四万	354	10000
11980259	黄金五万	355	10000
11980260	黄金六万	356	10000
11980261	黄金七万	357	10000
11980262	黄金八万	358	10000
11980263	黄金九万	359	10000
