NUM	NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT
36	20	4	300	1	0	11|11|11|11|11|11|11|11|12	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100
37	20	4	350	1	0	11|11|11|11|11|11|11|11|12	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80
38	20	4	400	1	0	11|11|11|11|11|11|11|11|12	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60
39	20	4	450	1	0	11|11|11|11|11|11|11|11|12	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40
40	20	4	500	1	0	11|11|11|11|11|11|11|11|12	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20
41	20	5	5	1	0	11|11|11|11|11|11|11|11|12	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180
42	20	5	10	1	0	11|11|11|11|11|11|11|11|12	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160
43	20	5	15	1	0	11|11|11|11|11|11|11|11|12	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140
44	20	5	20	1	0	11|11|11|11|11|11|11|11|12	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120
45	20	5	25	1	0	11|11|11|11|11|11|11|11|12	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100
46	20	5	30	1	0	11|11|11|11|11|11|11|11|12	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100
47	20	5	35	1	0	11|11|11|11|11|11|11|11|12	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80
48	20	5	40	1	0	11|11|11|11|11|11|11|11|12	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60
49	20	5	45	1	0	11|11|11|11|11|11|11|11|12	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40
50	20	5	50	1	0	11|11|11|11|11|11|11|11|12	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20
51	20	6	5	1	1	11|11|11|11|11|11|11|11|12	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180
52	20	6	10	1	1	11|11|11|11|11|11|11|11|12	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160
53	20	6	15	1	1	11|11|11|11|11|11|11|11|12	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140
54	20	6	20	1	1	11|11|11|11|11|11|11|11|12	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120
55	20	6	25	1	1	11|11|11|11|11|11|11|11|12	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100
56	20	6	30	1	1	11|11|11|11|11|11|11|11|12	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100
57	20	6	35	1	1	11|11|11|11|11|11|11|11|12	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80
58	20	6	40	1	1	11|11|11|11|11|11|11|11|12	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60
59	20	6	45	1	1	11|11|11|11|11|11|11|11|12	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40
60	20	6	50	1	1	11|11|11|11|11|11|11|11|12	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20
61	20	10	10	1	0	11|11|11|11|11|11|11|11|12	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180
62	20	10	20	1	0	11|11|11|11|11|11|11|11|12	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160
63	20	10	30	1	0	11|11|11|11|11|11|11|11|12	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140
64	20	10	40	1	0	11|11|11|11|11|11|11|11|12	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120
65	20	10	50	1	0	11|11|11|11|11|11|11|11|12	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100
66	20	10	60	1	0	11|11|11|11|11|11|11|11|12	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100
67	20	10	70	1	0	11|11|11|11|11|11|11|11|12	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80
68	20	10	80	1	0	11|11|11|11|11|11|11|11|12	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60
69	20	10	90	1	0	11|11|11|11|11|11|11|11|12	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40
70	20	10	100	1	0	11|11|11|11|11|11|11|11|12	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20
71	20	15	5	1	0	11|11|11|11|11|11|11|11|12	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180
72	20	15	10	1	0	11|11|11|11|11|11|11|11|12	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160
73	20	15	15	1	0	11|11|11|11|11|11|11|11|12	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140
74	20	15	20	1	0	11|11|11|11|11|11|11|11|12	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120
75	20	15	25	1	0	11|11|11|11|11|11|11|11|12	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100
76	20	15	30	1	0	11|11|11|11|11|11|11|11|12	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100
77	20	15	35	1	0	11|11|11|11|11|11|11|11|12	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80
78	20	15	40	1	0	11|11|11|11|11|11|11|11|12	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60
79	20	15	45	1	0	11|11|11|11|11|11|11|11|12	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40
80	20	15	50	1	0	11|11|11|11|11|11|11|11|12	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20
81	20	17	5	1	0	11|11|11|11|11|11|11|11|12	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180
82	20	17	6	1	0	11|11|11|11|11|11|11|11|12	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160
83	20	17	7	1	0	11|11|11|11|11|11|11|11|12	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140
84	20	17	8	1	0	11|11|11|11|11|11|11|11|12	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120
85	20	17	9	1	0	11|11|11|11|11|11|11|11|12	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100
86	20	17	10	1	0	11|11|11|11|11|11|11|11|12	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100
87	20	17	11	1	0	11|11|11|11|11|11|11|11|12	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80
88	20	17	12	1	0	11|11|11|11|11|11|11|11|12	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60
89	20	17	13	1	0	11|11|11|11|11|11|11|11|12	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40
90	20	17	14	1	0	11|11|11|11|11|11|11|11|12	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20
91	20	102	10000	1	0	11|11|11|11|11|11|11|11|12	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180
92	20	102	20000	1	0	11|11|11|11|11|11|11|11|12	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160
93	20	102	30000	1	0	11|11|11|11|11|11|11|11|12	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140
94	20	102	40000	1	0	11|11|11|11|11|11|11|11|12	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120
95	20	102	50000	1	0	11|11|11|11|11|11|11|11|12	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100
96	20	102	60000	1	0	11|11|11|11|11|11|11|11|12	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100
97	20	102	70000	1	0	11|11|11|11|11|11|11|11|12	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80
98	20	102	80000	1	0	11|11|11|11|11|11|11|11|12	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60
99	20	102	90000	1	0	11|11|11|11|11|11|11|11|12	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40
100	20	102	100000	1	0	11|11|11|11|11|11|11|11|12	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20
101	20	103	1	1	0	11|11|11|11|11|11|11|11|12	990|990|990	990|990|990	990|990|990	990|990|990	990|990|990	990|990|990	990|990|990	990|990|990	990|990|990	990|990|990
102	1	104	45011031	1	0	3|5|7|9|11|13|15|17|20	1000|0|0	1000|0|0	1000|0|0	1000|0|0	1000|0|0	500|0|0	500|0|0	500|0|0	500|0|0	500|0|0
103	1	104	45011261	1	0	3|5|7|9|11|13|15|17|20	1000|0|0	1000|0|0	1000|0|0	1000|0|0	1000|0|0	500|0|0	500|0|0	500|0|0	500|0|0	500|0|0
104	1	104	45011496	1	0	3|5|7|9|11|13|15|17|20	1000|0|0	1000|0|0	1000|0|0	1000|0|0	1000|0|0	500|0|0	500|0|0	500|0|0	500|0|0	500|0|0
105	1	104	45011746	1	0	3|5|7|9|11|13|15|17|20	1000|0|0	1000|0|0	1000|0|0	1000|0|0	1000|0|0	500|0|0	500|0|0	500|0|0	500|0|0	500|0|0
106	1	104	45011971	1	0	3|5|7|9|11|13|15|17|20	1000|0|0	1000|0|0	1000|0|0	1000|0|0	1000|0|0	500|0|0	500|0|0	500|0|0	500|0|0	500|0|0
107	1	104	45012211	1	0	3|5|7|9|11|13|15|17|20	1000|0|0	1000|0|0	1000|0|0	1000|0|0	1000|0|0	500|0|0	500|0|0	500|0|0	500|0|0	500|0|0
108	1	104	45012441	1	0	3|5|7|9|11|13|15|17|20	1000|0|0	1000|0|0	1000|0|0	1000|0|0	1000|0|0	500|0|0	500|0|0	500|0|0	500|0|0	500|0|0
109	1	104	45012701	1	0	3|5|7|9|11|13|15|17|20	1000|0|0	1000|0|0	1000|0|0	1000|0|0	1000|0|0	500|0|0	500|0|0	500|0|0	500|0|0	500|0|0
110	1	104	45012706	1	0	3|5|7|9|11|13|15|17|20	1000|0|0	1000|0|0	1000|0|0	1000|0|0	1000|0|0	500|0|0	500|0|0	500|0|0	500|0|0	500|0|0
111	1	104	45012916	1	0	3|5|7|9|11|13|15|17|20	1000|0|0	1000|0|0	1000|0|0	1000|0|0	1000|0|0	500|0|0	500|0|0	500|0|0	500|0|0	500|0|0
112	1	104	45012921	1	0	3|5|7|9|11|13|15|17|20	1000|0|0	1000|0|0	1000|0|0	1000|0|0	1000|0|0	500|0|0	500|0|0	500|0|0	500|0|0	500|0|0
113	1	104	45013151	1	0	3|5|7|9|11|13|15|17|20	1000|0|0	1000|0|0	1000|0|0	1000|0|0	1000|0|0	500|0|0	500|0|0	500|0|0	500|0|0	500|0|0
114	1	104	45013156	1	0	3|5|7|9|11|13|15|17|20	1000|0|0	1000|0|0	1000|0|0	1000|0|0	1000|0|0	500|0|0	500|0|0	500|0|0	500|0|0	500|0|0
115	1	104	45011061	1	0	3|5|7|9|11|13|15|17|20	500|1000|0	500|1000|0	500|1000|0	500|1000|0	500|1000|0	1000|500|0	1000|500|0	1000|500|0	1000|500|0	1000|500|0
116	1	104	45011291	1	0	3|5|7|9|11|13|15|17|20	500|1000|0	500|1000|0	500|1000|0	500|1000|0	500|1000|0	1000|500|0	1000|500|0	1000|500|0	1000|500|0	1000|500|0
117	1	104	45011526	1	0	3|5|7|9|11|13|15|17|20	500|1000|0	500|1000|0	500|1000|0	500|1000|0	500|1000|0	1000|500|0	1000|500|0	1000|500|0	1000|500|0	1000|500|0
118	1	104	45011776	1	0	3|5|7|9|11|13|15|17|20	500|1000|0	500|1000|0	500|1000|0	500|1000|0	500|1000|0	1000|500|0	1000|500|0	1000|500|0	1000|500|0	1000|500|0
119	1	104	45012001	1	0	3|5|7|9|11|13|15|17|20	500|1000|0	500|1000|0	500|1000|0	500|1000|0	500|1000|0	1000|500|0	1000|500|0	1000|500|0	1000|500|0	1000|500|0
120	1	104	45012006	1	0	3|5|7|9|11|13|15|17|20	500|1000|0	500|1000|0	500|1000|0	500|1000|0	500|1000|0	1000|500|0	1000|500|0	1000|500|0	1000|500|0	1000|500|0
121	1	104	45012241	1	0	3|5|7|9|11|13|15|17|20	500|1000|0	500|1000|0	500|1000|0	500|1000|0	500|1000|0	1000|500|0	1000|500|0	1000|500|0	1000|500|0	1000|500|0
122	1	104	45012471	1	0	3|5|7|9|11|13|15|17|20	500|1000|0	500|1000|0	500|1000|0	500|1000|0	500|1000|0	1000|500|0	1000|500|0	1000|500|0	1000|500|0	1000|500|0
123	1	104	45012736	1	0	3|5|7|9|11|13|15|17|20	500|1000|0	500|1000|0	500|1000|0	500|1000|0	500|1000|0	1000|500|0	1000|500|0	1000|500|0	1000|500|0	1000|500|0
124	1	104	45012951	1	0	3|5|7|9|11|13|15|17|20	500|1000|0	500|1000|0	500|1000|0	500|1000|0	500|1000|0	1000|500|0	1000|500|0	1000|500|0	1000|500|0	1000|500|0
125	1	104	45013186	1	0	3|5|7|9|11|13|15|17|20	500|1000|0	500|1000|0	500|1000|0	500|1000|0	500|1000|0	1000|500|0	1000|500|0	1000|500|0	1000|500|0	1000|500|0
126	1	104	45013336	1	0	3|5|7|9|11|13|15|17|20	500|1000|0	500|1000|0	500|1000|0	500|1000|0	500|1000|0	1000|500|0	1000|500|0	1000|500|0	1000|500|0	1000|500|0
127	1	104	45013341	1	0	3|5|7|9|11|13|15|17|20	500|1000|0	500|1000|0	500|1000|0	500|1000|0	500|1000|0	1000|500|0	1000|500|0	1000|500|0	1000|500|0	1000|500|0
128	1	104	45011106	1	0	3|5|7|9|11|13|15|17|20	0|500|1000	0|500|1000	0|500|1000	0|500|1000	0|500|1000	0|1000|0	0|1000|0	0|1000|0	0|1000|0	0|1000|0
129	1	104	45011331	1	0	3|5|7|9|11|13|15|17|20	0|500|1000	0|500|1000	0|500|1000	0|500|1000	0|500|1000	0|1000|0	0|1000|0	0|1000|0	0|1000|0	0|1000|0
130	1	104	45011336	1	0	3|5|7|9|11|13|15|17|20	0|500|1000	0|500|1000	0|500|1000	0|500|1000	0|500|1000	0|1000|0	0|1000|0	0|1000|0	0|1000|0	0|1000|0
131	1	104	45011576	1	0	3|5|7|9|11|13|15|17|20	0|500|1000	0|500|1000	0|500|1000	0|500|1000	0|500|1000	0|1000|0	0|1000|0	0|1000|0	0|1000|0	0|1000|0
132	1	104	45011581	1	0	3|5|7|9|11|13|15|17|20	0|500|1000	0|500|1000	0|500|1000	0|500|1000	0|500|1000	0|1000|0	0|1000|0	0|1000|0	0|1000|0	0|1000|0
133	1	104	45011811	1	0	3|5|7|9|11|13|15|17|20	0|500|1000	0|500|1000	0|500|1000	0|500|1000	0|500|1000	0|1000|0	0|1000|0	0|1000|0	0|1000|0	0|1000|0
134	1	104	45012051	1	0	3|5|7|9|11|13|15|17|20	0|500|1000	0|500|1000	0|500|1000	0|500|1000	0|500|1000	0|1000|0	0|1000|0	0|1000|0	0|1000|0	0|1000|0
135	1	104	45012281	1	0	3|5|7|9|11|13|15|17|20	0|500|1000	0|500|1000	0|500|1000	0|500|1000	0|500|1000	0|1000|0	0|1000|0	0|1000|0	0|1000|0	0|1000|0
136	1	104	45012511	1	0	3|5|7|9|11|13|15|17|20	0|500|1000	0|500|1000	0|500|1000	0|500|1000	0|500|1000	0|1000|0	0|1000|0	0|1000|0	0|1000|0	0|1000|0
137	1	104	45012766	1	0	3|5|7|9|11|13|15|17|20	0|500|1000	0|500|1000	0|500|1000	0|500|1000	0|500|1000	0|1000|0	0|1000|0	0|1000|0	0|1000|0	0|1000|0
138	1	104	45012981	1	0	3|5|7|9|11|13|15|17|20	0|500|1000	0|500|1000	0|500|1000	0|500|1000	0|500|1000	0|1000|0	0|1000|0	0|1000|0	0|1000|0	0|1000|0
139	1	104	45012986	1	0	3|5|7|9|11|13|15|17|20	0|500|1000	0|500|1000	0|500|1000	0|500|1000	0|500|1000	0|1000|0	0|1000|0	0|1000|0	0|1000|0	0|1000|0
140	1	104	45013216	1	0	3|5|7|9|11|13|15|17|20	0|500|1000	0|500|1000	0|500|1000	0|500|1000	0|500|1000	0|1000|0	0|1000|0	0|1000|0	0|1000|0	0|1000|0
141	1	104	45011141	1	0	3|5|7|9|11|13|15|17|20	0|0|500	0|0|500	0|0|500	0|0|500	0|0|500	0|0|1000	0|0|1000	0|0|1000	0|0|1000	0|0|1000
142	1	104	45011146	1	0	3|5|7|9|11|13|15|17|20	0|0|500	0|0|500	0|0|500	0|0|500	0|0|500	0|0|1000	0|0|1000	0|0|1000	0|0|1000	0|0|1000
143	1	104	45011371	1	0	3|5|7|9|11|13|15|17|20	0|0|500	0|0|500	0|0|500	0|0|500	0|0|500	0|0|1000	0|0|1000	0|0|1000	0|0|1000	0|0|1000
144	1	104	45011376	1	0	3|5|7|9|11|13|15|17|20	0|0|500	0|0|500	0|0|500	0|0|500	0|0|500	0|0|1000	0|0|1000	0|0|1000	0|0|1000	0|0|1000
145	1	104	45011616	1	0	3|5|7|9|11|13|15|17|20	0|0|500	0|0|500	0|0|500	0|0|500	0|0|500	0|0|1000	0|0|1000	0|0|1000	0|0|1000	0|0|1000
