NUM	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	NUM
18	中疾风丹	12020012	1	1	3	11020007	4	11990203	1	-1	-1	-1	-1	30	0	-1	-1	3	100	-1		恢复药水	0
19	中通络丹	12020013	1	1	3	11020007	4	11990203	1	-1	-1	-1	-1	30	0	-1	-1	3	100	-1		恢复药水	0
20	中威灵丹	12020014	1	1	3	11020007	4	11990203	1	-1	-1	-1	-1	30	0	-1	-1	3	100	-1		恢复药水	0
21	中玄冥丹	12020015	1	1	3	11020007	4	11990203	1	-1	-1	-1	-1	30	0	-1	-1	3	100	-1		恢复药水	0
22	中理气丹	12020016	1	1	3	11020007	4	11990203	1	-1	-1	-1	-1	30	0	-1	-1	3	100	-1		恢复药水	0
23	回阳救逆丸	12041041	1	1	4	11020006	12	11990204	1	11020501	1	-1	-1	40	0	-1	-1	3	100	-1		增强药水	0
24	中神力丸	12041012	1	1	4	11020006	12	11990204	1	11020501	1	-1	-1	40	0	-1	-1	3	100	-1		增强药水	0
25	中仙火丸	12041032	1	1	4	11020006	12	11990204	1	11020501	1	-1	-1	40	0	-1	-1	3	100	-1		增强药水	0
26	中魔道丸	12041022	1	1	4	11020006	12	11990204	1	11020501	1	-1	-1	40	0	-1	-1	3	100	-1		增强药水	0
27	中神甲丸	12041061	1	1	4	11020007	12	11990204	1	11020501	1	-1	-1	40	0	-1	-1	3	100	-1		增强药水	0
28	中神运丸	12041081	1	1	4	11020007	12	11990204	1	11020501	1	-1	-1	40	0	-1	-1	3	100	-1		增强药水	0
29	中神护丸	12041071	1	1	4	11020007	12	11990204	1	11020501	1	-1	-1	40	0	-1	-1	3	100	-1		增强药水	0
30	桂苓甘露散	12010202	1	1	5	11020010	5	11990205	1	11020501	1	-1	-1	50	0	-1	-1	3	100	-1		恢复药水	0
31	云灵五菌汤	12010302	1	1	5	11020010	5	11990205	1	11020501	1	-1	-1	50	0	-1	-1	3	100	-1		恢复药水	0
32	大怒气丹	12020021	1	1	5	11020011	5	11990205	1	11020501	1	-1	-1	50	0	-1	-1	3	100	-1		恢复药水	0
33	大疾风丹	12020022	1	1	5	11020011	5	11990205	1	11020501	1	-1	-1	50	0	-1	-1	3	100	-1		恢复药水	0
34	大通络丹	12020023	1	1	5	11020011	5	11990205	1	11020501	1	-1	-1	50	0	-1	-1	3	100	-1		恢复药水	0
35	大威灵丹	12020024	1	1	5	11020011	5	11990205	1	11020501	1	-1	-1	50	0	-1	-1	3	100	-1		恢复药水	0
36	大玄冥丹	12020025	1	1	5	11020011	5	11990205	1	11020501	1	-1	-1	50	0	-1	-1	3	100	-1		恢复药水	0
37	大理气丹	12020026	1	1	5	11020011	5	11990205	1	11020501	1	-1	-1	50	0	-1	-1	3	100	-1		恢复药水	0
38	参灵正气丸	12041042	1	1	6	11020010	15	11990206	1	11020502	1	-1	-1	60	0	-1	-1	3	100	-1		增强药水	0
39	大神力丸	12041013	1	1	6	11020011	15	11990206	1	11020502	1	-1	-1	60	0	-1	-1	3	100	-1		增强药水	0
40	大仙火丸	12041033	1	1	6	11020011	15	11990206	1	11020502	1	-1	-1	60	0	-1	-1	3	100	-1		增强药水	0
41	大魔道丸	12041023	1	1	6	11020011	15	11990206	1	11020502	1	-1	-1	60	0	-1	-1	3	100	-1		增强药水	0
42	大神甲丸	12041062	1	1	6	11020010	15	11990206	1	11020502	1	-1	-1	60	0	-1	-1	3	100	-1		增强药水	0
43	大神运丸	12041082	1	1	6	11020010	15	11990206	1	11020502	1	-1	-1	60	0	-1	-1	3	100	-1		增强药水	0
44	大神护丸	12041072	1	1	6	11020010	15	11990206	1	11020502	1	-1	-1	60	0	-1	-1	3	100	-1		增强药水	0
45	仙方活命饮	12010203	1	1	7	11020014	6	11990207	1	11020502	1	-1	-1	70	0	-1	-1	3	100	-1		恢复药水	0
46	参茸还魂膏	12010303	1	1	7	11020014	6	11990207	1	11020502	1	-1	-1	70	0	-1	-1	3	100	-1		恢复药水	0
47	玄参怒气丹	12020031	1	1	7	11020015	6	11990207	1	11020502	1	12020001	1	70	0	-1	-1	3	100	-1		恢复药水	0
48	水玉疾风丹	12020032	1	1	7	11020015	6	11990207	1	11020502	1	12020002	1	70	0	-1	-1	3	100	-1		恢复药水	0
49	麝香通络丹	12020033	1	1	7	11020015	6	11990207	1	11020502	1	12020003	1	70	0	-1	-1	3	100	-1		恢复药水	0
50	遂火威灵丹	12020034	1	1	7	11020015	6	11990207	1	11020502	1	12020004	1	70	0	-1	-1	3	100	-1		恢复药水	0
51	昊天玄冥丹	12020035	1	1	7	11020015	6	11990207	1	11020502	1	12020005	1	70	0	-1	-1	3	100	-1		恢复药水	0
52	神农理气丹	12020036	1	1	7	11020015	6	11990207	1	11020502	1	12020006	1	70	0	-1	-1	3	100	-1		恢复药水	0
53	初级黄刚玉	14030001	1	2	1	11030001	9	11030601	1	-1	-1	-1	-1	30	0	-1	-1	9	100	930207		黄宝石	0
54	初级黄锆石	14030006	1	2	1	11030001	9	11030601	1	-1	-1	-1	-1	30	0	-1	-1	9	100	-1		黄宝石	0
55	初级黄琉璃	14030011	1	2	1	11030001	9	11030601	1	-1	-1	-1	-1	30	0	-1	-1	9	100	-1		黄宝石	0
56	初级红变石	14010001	1	2	2	11030001	27	11030601	1	-1	-1	-1	-1	60	0	-1	-1	9	100	-1		红宝石	0
57	初级红琥珀	14010006	1	2	2	11030001	27	11030601	1	-1	-1	-1	-1	60	0	-1	-1	9	100	-1		红宝石	0
58	初级红锆石	14010011	1	2	2	11030001	27	11030601	1	-1	-1	-1	-1	60	0	-1	-1	9	100	-1		红宝石	0
59	赤铜钻	11000100	1	2	1	11030001	9	11030632	1	-1	-1	-1	-1	30	0	-1	-1	9	100	-1		打孔道具	0
60	初级蓝玛瑙	14040001	1	2	2	11030001	27	11030601	1	-1	-1	-1	-1	60	0	-1	-1	9	100	-1		蓝宝石	0
61	初级绿柱石	14020001	1	2	1	11030001	9	11030601	1	-1	-1	-1	-1	30	0	-1	-1	9	100	-1		绿宝石	0
62	初级绿晶石	14020006	1	2	1	11030001	9	11030601	1	-1	-1	-1	-1	30	0	-1	-1	9	100	-1		绿宝石	0
63	初级绿碧玺	14020011	1	2	1	11030001	9	11030601	1	-1	-1	-1	-1	30	0	-1	-1	9	100	-1		绿宝石	0
64	6格包	19010001	1	2	2	11030001	100	11030601	1	-1	-1	-1	-1	60	0	-1	-1	9	100	-1		背包	0
65	中级黄刚玉	14030002	1	2	3	11030003	12	11030602	1	11030501	2	-1	-1	90	0	-1	-1	9	100	-1		黄宝石	0
66	中级黄锆石	14030007	1	2	3	11030003	12	11030602	1	11030501	2	-1	-1	90	0	-1	-1	9	100	-1		黄宝石	0
67	中级黄琉璃	14030012	1	2	3	11030003	12	11030602	1	11030501	2	-1	-1	90	0	-1	-1	9	100	-1		黄宝石	0
68	中级红变石	14010002	1	2	4	11030003	36	11030602	1	11030501	3	-1	-1	120	0	-1	-1	9	100	-1		红宝石	0
69	中级红琥珀	14010007	1	2	4	11030003	36	11030602	1	11030501	3	-1	-1	120	0	-1	-1	9	100	-1		红宝石	0
70	中级红锆石	14010012	1	2	4	11030003	36	11030602	1	11030501	3	-1	-1	120	0	-1	-1	9	100	-1		红宝石	0
71	生铁钻	11000101	1	2	3	11030003	12	11030603	1	11030501	2	-1	-1	90	0	-1	-1	9	100	-1		打孔道具	0
72	中级蓝玛瑙	14040002	1	2	4	11030003	36	11030602	1	11030501	3	-1	-1	120	0	-1	-1	9	100	-1		蓝宝石	0
73	中级绿柱石	14020002	1	2	3	11030003	12	11030602	1	11030501	2	-1	-1	90	0	-1	-1	9	100	-1		绿宝石	0
74	中级绿晶石	14020007	1	2	3	11030003	12	11030602	1	11030501	2	-1	-1	90	0	-1	-1	9	100	-1		绿宝石	0
75	中级绿碧玺	14020012	1	2	3	11030003	12	11030602	1	11030501	2	-1	-1	90	0	-1	-1	9	100	-1		绿宝石	0
76	白玉钻	11000102	1	2	5	11030005	15	11030604	1	11030502	3	-1	-1	150	0	-1	-1	9	100	-1		打孔道具	0
77	12格包	19010002	1	2	4	11030003	200	11030605	1	11030501	10	-1	-1	120	0	-1	-1	9	100	-1		背包	0
78	中级蓝辉石	14040006	1	2	4	11030003	36	11030606	1	11030501	3	-1	-1	120	0	-1	-1	9	100	-1		蓝宝石	0
79	高级金光石	14040011	1	2	5	11030005	15	11030607	1	11030502	3	-1	-1	150	0	-1	-1	9	100	-1		蓝宝石	0
80	高级红龙晶	14010016	1	2	5	11030005	15	11030608	1	11030502	3	-1	-1	150	0	-1	-1	9	100	-1		红宝石	0
81	高级绿龙晶	14020016	1	2	5	11030005	15	11030609	1	11030502	3	-1	-1	150	0	-1	-1	9	100	-1		绿宝石	0
82	高级黄龙晶	14030016	1	2	5	11030005	15	11030610	1	11030502	3	-1	-1	150	0	-1	-1	9	100	-1		黄宝石	0
83	高级蓝龙晶	14040016	1	2	5	11030005	15	11030611	1	11030502	3	-1	-1	150	0	-1	-1	9	100	-1		蓝宝石	0
84	高级红玉髓	14010021	1	2	5	11030005	15	11030612	1	11030502	3	-1	-1	150	0	-1	-1	9	100	-1		红宝石	0
85	高级绿玉髓	14020021	1	2	5	11030005	15	11030613	1	11030502	3	-1	-1	150	0	-1	-1	9	100	-1		绿宝石	0
86	高级黄玉髓	14030021	1	2	5	11030005	15	11030614	1	11030502	3	-1	-1	150	0	-1	-1	9	100	-1		黄宝石	0
87	高级蓝玉髓	14040021	1	2	5	11030005	15	11030615	1	11030502	3	-1	-1	150	0	-1	-1	9	100	-1		蓝宝石	0
88	高级红猫眼	14010026	1	2	5	11030005	15	11030616	1	11030502	3	-1	-1	150	0	-1	-1	9	100	-1		红宝石	0
89	高级绿猫眼	14020026	1	2	5	11030005	15	11030617	1	11030502	3	-1	-1	150	0	-1	-1	9	100	-1		绿宝石	0
90	高级黄猫眼	14030026	1	2	5	11030005	15	11030618	1	11030502	3	-1	-1	150	0	-1	-1	9	100	-1		黄宝石	0
91	高级蓝猫眼	14040026	1	2	5	11030005	15	11030619	1	11030502	3	-1	-1	150	0	-1	-1	9	100	-1		蓝宝石	0
92	高级黄刚玉	14030003	1	2	6	11030005	45	11030620	1	11030502	3	-1	-1	180	0	-1	-1	9	100	-1		黄宝石	0
93	高级黄锆石	14030008	1	2	6	11030005	45	11030620	1	11030502	3	-1	-1	180	0	-1	-1	9	100	-1		黄宝石	0
94	高级黄琉璃	14030013	1	2	6	11030005	45	11030620	1	11030502	3	-1	-1	180	0	-1	-1	9	100	-1		黄宝石	0
95	高级红变石	14010003	1	2	6	11030005	45	11030620	1	11030502	3	-1	-1	180	0	-1	-1	9	100	-1		红宝石	0
96	高级红琥珀	14010008	1	2	6	11030005	45	11030620	1	11030502	3	-1	-1	180	0	-1	-1	9	100	-1		红宝石	0
97	高级红锆石	14010013	1	2	6	11030005	45	11030620	1	11030502	3	-1	-1	180	0	-1	-1	9	100	-1		红宝石	0
98	白玉	11000103	1	2	7	11030007	200	11030626	1	11030502	4	-1	-1	210	0	-1	-1	9	100	-1		打孔道具	0
99	高级蓝玛瑙	14040003	1	2	6	11030005	45	11030620	1	11030502	3	-1	-1	180	0	-1	-1	9	100	-1		蓝宝石	0
100	高级绿柱石	14020003	1	2	6	11030005	45	11030620	1	11030502	3	-1	-1	180	0	-1	-1	9	100	-1		绿宝石	0
101	高级绿晶石	14020008	1	2	6	11030005	45	11030620	1	11030502	3	-1	-1	180	0	-1	-1	9	100	-1		绿宝石	0
102	高级绿碧玺	14020013	1	2	6	11030005	45	11030620	1	11030502	3	-1	-1	180	0	-1	-1	9	100	-1		绿宝石	0
103	血玉髓	11000104	1	2	7	11030007	200	11030631	1	11030502	4	-1	-1	210	0	-1	-1	9	100	-1		打孔道具	0
104	鲜花	12110202	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	30	0	-1	-1	3	100	-1		好友道具	0
105	金叶子	12110205	1	1	5	12110202	5	-1	-1	-1	-1	-1	-1	140	0	-1	-1	3	100	-1		好友道具	0
106	铜矿石	11010001	1	2	1	11030301	10	-1	-1	-1	-1	-1	-1	90	0	-1	-1	9	100	-1		熔炼	0
107	莹石矿石	11010002	1	2	2	11030302	10	-1	-1	-1	-1	-1	-1	180	0	-1	-1	9	100	-1		熔炼	0
108	锡矿石	11010003	1	2	3	11030303	10	-1	-1	-1	-1	-1	-1	270	0	-1	-1	9	100	-1		熔炼	0
109	青铜钻	11000110	1	2	1	11030001	9	11030633	1	-1	-1	-1	-1	30	0	-1	-1	9	100	-1		打孔道具	0
110	铸铁钻	11000111	1	2	3	11030003	12	11030634	1	11030501	2	-1	-1	90	0	-1	-1	9	100	-1		打孔道具	0
111	圣徒级黄刚玉	14030004	1	2	7	14030003	5	14030002	5	11030502	12	-1	-1	360	0	-1	-1	9	100	-1		黄宝石	0
112	圣徒级黄锆石	14030009	1	2	7	14030008	5	14030007	5	11030502	12	-1	-1	360	0	-1	-1	9	100	-1		黄宝石	0
113	圣徒级黄琉璃	14030014	1	2	7	14030013	5	14030012	5	11030502	12	-1	-1	360	0	-1	-1	9	100	-1		黄宝石	0
114	圣徒级绿柱石	14020004	1	2	7	14010003	5	14010002	5	11030502	12	-1	-1	360	0	-1	-1	9	100	-1		绿宝石	0
115	圣徒级绿晶石	14020009	1	2	7	14010008	5	14010007	5	11030502	12	-1	-1	360	0	-1	-1	9	100	-1		绿宝石	0
116	圣徒级绿碧玺	14020014	1	2	7	14010013	5	14010012	5	11030502	12	-1	-1	360	0	-1	-1	9	100	-1		绿宝石	0
117	圣徒级蓝玛瑙	14040004	1	2	7	14040003	5	14040002	5	11030502	12	-1	-1	360	0	-1	-1	9	100	-1		蓝宝石	0
118	圣徒级红变石	14010004	1	2	7	14020003	5	14020002	5	11030502	12	-1	-1	360	0	-1	-1	9	100	-1		红宝石	0
119	圣徒级红琥珀	14010009	1	2	7	14020008	5	14020007	5	11030502	12	-1	-1	360	0	-1	-1	9	100	-1		红宝石	0
120	圣徒级红锆石	14010014	1	2	7	14020013	5	14020012	5	11030502	12	-1	-1	360	0	-1	-1	9	100	-1		红宝石	0
121	常乐草	12050000	1	10	1	11990308	1	-1	-1	-1	-1	-1	-1	10	0	-1	-1	3	100	-1		坐骑道具	0
122	一级狂攻	12052471	1	10	1	11030401	9	11990301	1	-1	-1	-1	-1	30	0	-1	-1	9	100	-1		辅攻技能	0
123	一级精确	12052481	1	10	1	11030401	9	11990301	1	-1	-1	-1	-1	30	0	-1	-1	9	100	-1		辅攻技能	0
124	一级精研	12052491	1	10	1	11030401	9	11990301	1	-1	-1	-1	-1	30	0	-1	-1	9	100	-1		辅攻技能	0
125	一级热血	12052531	1	10	1	11030401	9	11990301	1	-1	-1	-1	-1	30	0	-1	-1	9	100	-1		普通技能	0
126	一级淬毒	12052541	1	10	2	11030401	27	11990302	1	-1	-1	-1	-1	60	0	-1	-1	9	100	-1		普通技能	0
127	一级裂甲	12052601	1	10	2	11030401	27	11990302	1	-1	-1	-1	-1	60	0	-1	-1	9	100	-1		普通技能	0
128	一级破兵	12052621	1	10	2	11030401	27	11990302	1	-1	-1	-1	-1	60	0	-1	-1	9	100	-1		普通技能	0
129	一级集中	12052631	1	10	2	11030401	27	11990302	1	-1	-1	-1	-1	60	0	-1	-1	9	100	-1		普通技能	0
130	一级狂暴	12052501	1	10	3	11030402	12	11990303	1	-1	-1	-1	-1	90	0	-1	-1	9	100	-1		普通技能	0
131	二级狂攻	12052472	1	10	3	11030402	12	11990303	1	-1	-1	-1	-1	90	0	-1	-1	9	100	-1		辅攻技能	0
132	二级精确	12052482	1	10	3	11030402	12	11990303	1	-1	-1	-1	-1	90	0	-1	-1	9	100	-1		辅攻技能	0
133	二级精研	12052492	1	10	3	11030402	12	11990303	1	-1	-1	-1	-1	90	0	-1	-1	9	100	-1		辅攻技能	0
134	二级热血	12052532	1	10	3	11030402	12	11990303	1	-1	-1	-1	-1	90	0	-1	-1	9	100	-1		普通技能	0
135	一级冷静	12052651	1	10	4	11030402	36	11990304	1	11030405	1	-1	-1	120	0	-1	-1	9	100	-1		普通技能	0
136	二级淬毒	12052542	1	10	4	11030402	36	11990304	1	11030405	1	-1	-1	120	0	-1	-1	9	100	-1		普通技能	0
137	二级裂甲	12052602	1	10	4	11030402	36	11990304	1	11030405	1	-1	-1	120	0	-1	-1	9	100	-1		普通技能	0
138	二级破兵	12052622	1	10	4	11030402	36	11990304	1	11030405	1	-1	-1	120	0	-1	-1	9	100	-1		普通技能	0
139	二级集中	12052632	1	10	4	11030402	36	11990304	1	11030405	1	-1	-1	120	0	-1	-1	9	100	-1		普通技能	0
140	一级融雪丹	12050090	1	10	4	12050000	4	-1	-1	-1	-1	-1	-1	40	0	-1	-1	3	100	-1		坐骑道具	0
141	极乐草	12050009	1	10	5	12050000	10	-1	-1	-1	-1	-1	-1	50	0	-1	-1	3	100	-1		坐骑道具	0
142	一级免伤	12052511	1	10	5	11030403	15	11990305	1	11030405	1	-1	-1	150	0	-1	-1	9	100	-1		普通技能	0
143	一级灵巧	12052521	1	10	5	11030403	15	11990305	1	11030405	1	-1	-1	150	0	-1	-1	9	100	-1		普通技能	0
144	二级狂暴	12052502	1	10	5	11030403	15	11990305	1	11030405	1	-1	-1	150	0	-1	-1	9	100	-1		普通技能	0
145	三级狂攻	12052473	1	10	5	11030403	15	11990305	1	11030405	1	-1	-1	150	0	-1	-1	9	100	-1		辅攻技能	0
146	三级精确	12052483	1	10	5	11030403	15	11990305	1	11030405	1	-1	-1	150	0	-1	-1	9	100	-1		辅攻技能	0
147	三级精研	12052493	1	10	5	11030403	15	11990305	1	11030405	1	-1	-1	150	0	-1	-1	9	100	-1		辅攻技能	0
148	三级热血	12052533	1	10	5	11030403	15	11990305	1	11030405	1	-1	-1	150	0	-1	-1	9	100	-1		普通技能	0
149	一级盲目	12052611	1	10	6	11030403	45	11990306	1	11030406	1	-1	-1	180	0	-1	-1	9	100	-1		普通技能	0
150	一级无视	12052641	1	10	6	11030403	45	11990306	1	11030406	1	-1	-1	180	0	-1	-1	9	100	-1		普通技能	0
151	二级冷静	12052652	1	10	6	11030403	45	11990306	1	11030406	1	-1	-1	180	0	-1	-1	9	100	-1		普通技能	0
152	三级淬毒	12052543	1	10	6	11030403	45	11990306	1	11030406	1	-1	-1	180	0	-1	-1	9	100	-1		普通技能	0
153	三级裂甲	12052603	1	10	6	11030403	45	11990306	1	11030406	1	-1	-1	180	0	-1	-1	9	100	-1		普通技能	0
154	三级破兵	12052623	1	10	6	11030403	45	11990306	1	11030406	1	-1	-1	180	0	-1	-1	9	100	-1		普通技能	0
155	三级集中	12052633	1	10	6	11030403	45	11990306	1	11030406	1	-1	-1	180	0	-1	-1	9	100	-1		普通技能	0
156	二级融雪丹	12050091	1	10	6	12050090	3	12050000	1	-1	-1	-1	-1	60	0	-1	-1	3	100	-1		坐骑道具	0
157	一级伤筋	12052551	1	10	7	11030404	18	11990307	1	11030406	1	-1	-1	210	0	-1	-1	9	100	-1		控制技能	0
158	一级击晕	12052561	1	10	7	11030404	18	11990307	1	11030406	1	-1	-1	210	0	-1	-1	9	100	-1		控制技能	0
159	一级狂吼	12052571	1	10	7	11030404	18	11990307	1	11030406	1	-1	-1	210	0	-1	-1	9	100	-1		控制技能	0
160	一级沉寂	12052581	1	10	7	11030404	18	11990307	1	11030406	1	-1	-1	210	0	-1	-1	9	100	-1		控制技能	0
161	一级定身	12052591	1	10	7	11030404	18	11990307	1	11030406	1	-1	-1	210	0	-1	-1	9	100	-1		控制技能	0
162	二级免伤	12052512	1	10	7	11030404	18	11990307	1	11030406	1	-1	-1	210	0	-1	-1	9	100	-1		普通技能	0
163	二级灵巧	12052522	1	10	7	11030404	18	11990307	1	11030406	1	-1	-1	210	0	-1	-1	9	100	-1		普通技能	0
164	三级狂暴	12052503	1	10	7	11030404	18	11990307	1	11030406	1	-1	-1	210	0	-1	-1	9	100	-1		普通技能	0
165	三级融雪丹	12050092	1	10	7	12050091	1	12050009	1	-1	-1	-1	-1	70	0	-1	-1	3	100	-1		坐骑道具	0
166	四级狂攻	12052474	1	10	7	11030404	18	11990307	1	11030406	1	-1	-1	210	0	-1	-1	9	100	-1		辅攻技能	0
167	四级精确	12052484	1	10	7	11030404	18	11990307	1	11030406	1	-1	-1	210	0	-1	-1	9	100	-1		辅攻技能	0
168	四级精研	12052494	1	10	7	11030404	18	11990307	1	11030406	1	-1	-1	210	0	-1	-1	9	100	-1		辅攻技能	0
169	四级热血	12052534	1	10	7	11030404	18	11990307	1	11030406	1	-1	-1	210	0	-1	-1	9	100	-1		普通技能	0
170	水木精华	11020502	1	1	6	11020501	2	-1	-1	-1	-1	-1	-1	60	0	-1	-1	3	100	-1		合成材料	0
171	黑曜石	11030502	1	2	5	11030501	2	-1	-1	-1	-1	-1	-1	150	0	-1	-1	9	100	-1		合成材料	0
172	七步封喉	11030406	1	10	6	11030405	2	-1	-1	-1	-1	-1	-1	180	0	-1	-1	9	100	-1		合成材料	0
173	一级猛击	12052121	1	10	1	11030401	9	11990301	1	-1	-1	-1	-1	30	0	-1	-1	9	100	-1		攻击技能	0
174	一级连环	12052131	1	10	1	11030401	9	11990301	1	-1	-1	-1	-1	30	0	-1	-1	9	100	-1		攻击技能	0
175	一级偷袭	12052141	1	10	1	11030401	9	11990301	1	-1	-1	-1	-1	30	0	-1	-1	9	100	-1		攻击技能	0
176	一级回复	12052161	1	10	3	11030402	12	11990303	1	-1	-1	-1	-1	90	0	-1	-1	9	100	-1		回复技能	0
177	一级怒气	12052661	1	10	3	11030402	12	11990303	1	-1	-1	-1	-1	90	0	-1	-1	9	100	-1		回魔技能	0
178	一级精力	12052671	1	10	3	11030402	12	11990303	1	-1	-1	-1	-1	90	0	-1	-1	9	100	-1		回魔技能	0
179	一级箭囊	12052681	1	10	3	11030402	12	11990303	1	-1	-1	-1	-1	90	0	-1	-1	9	100	-1		回魔技能	0
180	一级弹药	12052691	1	10	3	11030402	12	11990303	1	-1	-1	-1	-1	90	0	-1	-1	9	100	-1		回魔技能	0
181	一级法力	12052701	1	10	3	11030402	12	11990303	1	-1	-1	-1	-1	90	0	-1	-1	9	100	-1		回魔技能	0
182	一级圣力	12052711	1	10	3	11030402	12	11990303	1	-1	-1	-1	-1	90	0	-1	-1	9	100	-1		回魔技能	0
183	一级乱战	12052091	1	10	5	11030403	15	11990305	1	11030405	1	-1	-1	150	0	-1	-1	9	100	-1		攻击技能	0
184	一级破军	12052101	1	10	5	11030403	15	11990305	1	11030405	1	-1	-1	150	0	-1	-1	9	100	-1		攻击技能	0
185	一级魔灭	12052111	1	10	5	11030403	15	11990305	1	11030405	1	-1	-1	150	0	-1	-1	9	100	-1		攻击技能	0
186	乾阳护甲丸	12041043	1	1	8	11020014	18	11990207	1	11020502	1	12041041	1	80	0	-1	-1	3	100	-1		增强药水	0
187	四象神力丸	12041014	1	1	8	11020014	18	11990207	1	11020502	1	12041012	1	80	0	-1	-1	3	100	-1		增强药水	0
188	四象仙火丸	12041034	1	1	8	11020014	18	11990207	1	11020502	1	12041032	1	80	0	-1	-1	3	100	-1		增强药水	0
189	四象魔道丸	12041024	1	1	8	11020014	18	11990207	1	11020502	1	12041022	1	80	0	-1	-1	3	100	-1		增强药水	0
190	四象器甲丸	12041063	1	1	8	11020015	18	11990207	1	11020502	1	12041061	1	80	0	-1	-1	3	100	-1		增强药水	0
191	四象气运丸	12041083	1	1	8	11020015	18	11990207	1	11020502	1	12041081	1	80	0	-1	-1	3	100	-1		增强药水	0
192	四象神护丸	12041073	1	1	8	11020015	18	11990207	1	11020502	1	12041071	1	80	0	-1	-1	3	100	-1		增强药水	0
193	圣徒级金光石	14040011	1	2	7	11030007	18	11030607	1	11030502	2	-1	-1	210	0	-1	-1	9	100	-1		蓝宝石	0
194	圣徒级蓝辉石	14040007	1	2	7	11030007	18	14040006	1	11030502	2	-1	-1	210	0	-1	-1	9	100	-1		蓝宝石	0
195	圣徒级红龙晶	14010017	1	2	8	11030007	54	14010016	1	11030502	2	-1	-1	240	0	-1	-1	9	100	-1		红宝石	0
196	圣徒级绿龙晶	14020017	1	2	8	11030007	54	14020016	1	11030502	2	-1	-1	240	0	-1	-1	9	100	-1		绿宝石	0
197	圣徒级黄龙晶	14030017	1	2	8	11030007	54	14030016	1	11030502	2	-1	-1	240	0	-1	-1	9	100	-1		黄宝石	0
198	圣徒级蓝龙晶	14040017	1	2	8	11030007	54	14040016	1	11030502	2	-1	-1	240	0	-1	-1	9	100	-1		蓝宝石	0
199	圣徒级红玉髓	14010022	1	2	8	11030007	54	14010021	1	11030502	2	-1	-1	240	0	-1	-1	9	100	-1		红宝石	0
