NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
30011024	30011025	12271410	21	11000356	28	11000357	7	-1	-1
30011025	30011026	12271410	32	11000356	56	11000357	12	-1	-1
30011027	30011028	12271410	6	11000356	8	11000357	2	-1	-1
30011028	30011029	12271410	12	11000356	16	11000357	4	-1	-1
30011029	30011030	12271410	21	11000356	28	11000357	7	-1	-1
30011030	30011031	12271410	32	11000356	56	11000357	12	-1	-1
30011032	30011033	12271410	6	11000356	8	11000357	2	-1	-1
30011033	30011034	12271410	12	11000356	16	11000357	4	-1	-1
30011034	30011035	12271410	21	11000356	28	11000357	7	-1	-1
30011035	30011036	12271410	32	11000356	56	11000357	12	-1	-1
30021002	30021003	12271410	6	11000356	8	11000357	2	-1	-1
30021003	30021004	12271410	12	11000356	16	11000357	4	-1	-1
30021004	30021005	12271410	21	11000356	28	11000357	7	-1	-1
30021005	30021006	12271410	32	11000356	56	11000357	12	-1	-1
30021007	30021008	12271410	6	11000356	8	11000357	2	-1	-1
30021008	30021009	12271410	12	11000356	16	11000357	4	-1	-1
30021009	30021010	12271410	21	11000356	28	11000357	7	-1	-1
30021010	30021011	12271410	32	11000356	56	11000357	12	-1	-1
30021012	30021013	12271410	6	11000356	8	11000357	2	-1	-1
30021013	30021014	12271410	12	11000356	16	11000357	4	-1	-1
30021014	30021015	12271410	21	11000356	28	11000357	7	-1	-1
30021015	30021016	12271410	32	11000356	56	11000357	12	-1	-1
30021022	30021023	12271410	6	11000356	8	11000357	2	-1	-1
30021023	30021024	12271410	12	11000356	16	11000357	4	-1	-1
30021024	30021025	12271410	21	11000356	28	11000357	7	-1	-1
30021025	30021026	12271410	32	11000356	56	11000357	12	-1	-1
30021027	30021028	12271410	6	11000356	8	11000357	2	-1	-1
30021028	30021029	12271410	12	11000356	16	11000357	4	-1	-1
30021029	30021030	12271410	21	11000356	28	11000357	7	-1	-1
30021030	30021031	12271410	32	11000356	56	11000357	12	-1	-1
30021032	30021033	12271410	6	11000356	8	11000357	2	-1	-1
30021033	30021034	12271410	12	11000356	16	11000357	4	-1	-1
30021034	30021035	12271410	21	11000356	28	11000357	7	-1	-1
30021035	30021036	12271410	32	11000356	56	11000357	12	-1	-1
30031002	30031003	12271410	6	11000356	8	11000357	2	-1	-1
30031003	30031004	12271410	12	11000356	16	11000357	4	-1	-1
30031004	30031005	12271410	21	11000356	28	11000357	7	-1	-1
30031005	30031006	12271410	32	11000356	56	11000357	12	-1	-1
30031007	30031008	12271410	6	11000356	8	11000357	2	-1	-1
30031008	30031009	12271410	12	11000356	16	11000357	4	-1	-1
30031009	30031010	12271410	21	11000356	28	11000357	7	-1	-1
30031010	30031011	12271410	32	11000356	56	11000357	12	-1	-1
30031012	30031013	12271410	6	11000356	8	11000357	2	-1	-1
30031013	30031014	12271410	12	11000356	16	11000357	4	-1	-1
30031014	30031015	12271410	21	11000356	28	11000357	7	-1	-1
30031015	30031016	12271410	32	11000356	56	11000357	12	-1	-1
30031022	30031023	12271410	6	11000356	8	11000357	2	-1	-1
30031023	30031024	12271410	12	11000356	16	11000357	4	-1	-1
30031024	30031025	12271410	21	11000356	28	11000357	7	-1	-1
30031025	30031026	12271410	32	11000356	56	11000357	12	-1	-1
30031027	30031028	12271410	6	11000356	8	11000357	2	-1	-1
30031028	30031029	12271410	12	11000356	16	11000357	4	-1	-1
30031029	30031030	12271410	21	11000356	28	11000357	7	-1	-1
30031030	30031031	12271410	32	11000356	56	11000357	12	-1	-1
30031032	30031033	12271410	6	11000356	8	11000357	2	-1	-1
30031033	30031034	12271410	12	11000356	16	11000357	4	-1	-1
30031034	30031035	12271410	21	11000356	28	11000357	7	-1	-1
30031035	30031036	12271410	32	11000356	56	11000357	12	-1	-1
30061002	30061003	12271410	6	11000356	8	11000357	2	-1	-1
30061003	30061004	12271410	12	11000356	16	11000357	4	-1	-1
30061004	30061005	12271410	21	11000356	28	11000357	7	-1	-1
30061005	30061006	12271410	32	11000356	56	11000357	12	-1	-1
30061007	30061008	12271410	6	11000356	8	11000357	2	-1	-1
30061008	30061009	12271410	12	11000356	16	11000357	4	-1	-1
30061009	30061010	12271410	21	11000356	28	11000357	7	-1	-1
30061010	30061011	12271410	32	11000356	56	11000357	12	-1	-1
30061012	30061013	12271410	6	11000356	8	11000357	2	-1	-1
30061013	30061014	12271410	12	11000356	16	11000357	4	-1	-1
30061014	30061015	12271410	21	11000356	28	11000357	7	-1	-1
30061015	30061016	12271410	32	11000356	56	11000357	12	-1	-1
30061022	30061023	12271410	6	11000356	8	11000357	2	-1	-1
30061023	30061024	12271410	12	11000356	16	11000357	4	-1	-1
30061024	30061025	12271410	21	11000356	28	11000357	7	-1	-1
30061025	30061026	12271410	32	11000356	56	11000357	12	-1	-1
30061027	30061028	12271410	6	11000356	8	11000357	2	-1	-1
30061028	30061029	12271410	12	11000356	16	11000357	4	-1	-1
30061029	30061030	12271410	21	11000356	28	11000357	7	-1	-1
30061030	30061031	12271410	32	11000356	56	11000357	12	-1	-1
30061032	30061033	12271410	6	11000356	8	11000357	2	-1	-1
30061033	30061034	12271410	12	11000356	16	11000357	4	-1	-1
30061034	30061035	12271410	21	11000356	28	11000357	7	-1	-1
30061035	30061036	12271410	32	11000356	56	11000357	12	-1	-1
30071002	30071003	12271410	6	11000356	8	11000357	2	-1	-1
30071003	30071004	12271410	12	11000356	16	11000357	4	-1	-1
30071004	30071005	12271410	21	11000356	28	11000357	7	-1	-1
30071005	30071006	12271410	32	11000356	56	11000357	12	-1	-1
30071007	30071008	12271410	6	11000356	8	11000357	2	-1	-1
30071008	30071009	12271410	12	11000356	16	11000357	4	-1	-1
30071009	30071010	12271410	21	11000356	28	11000357	7	-1	-1
30071010	30071011	12271410	32	11000356	56	11000357	12	-1	-1
30071012	30071013	12271410	6	11000356	8	11000357	2	-1	-1
30071013	30071014	12271410	12	11000356	16	11000357	4	-1	-1
30071014	30071015	12271410	21	11000356	28	11000357	7	-1	-1
30071015	30071016	12271410	32	11000356	56	11000357	12	-1	-1
30071022	30071023	12271410	6	11000356	8	11000357	2	-1	-1
30071023	30071024	12271410	12	11000356	16	11000357	4	-1	-1
30071024	30071025	12271410	21	11000356	28	11000357	7	-1	-1
30071025	30071026	12271410	32	11000356	56	11000357	12	-1	-1
30071027	30071028	12271410	6	11000356	8	11000357	2	-1	-1
30071028	30071029	12271410	12	11000356	16	11000357	4	-1	-1
30071029	30071030	12271410	21	11000356	28	11000357	7	-1	-1
30071030	30071031	12271410	32	11000356	56	11000357	12	-1	-1
30071032	30071033	12271410	6	11000356	8	11000357	2	-1	-1
30071033	30071034	12271410	12	11000356	16	11000357	4	-1	-1
30071034	30071035	12271410	21	11000356	28	11000357	7	-1	-1
30071035	30071036	12271410	32	11000356	56	11000357	12	-1	-1
30081002	30081003	12271410	6	11000356	8	11000357	2	-1	-1
30081003	30081004	12271410	12	11000356	16	11000357	4	-1	-1
30081004	30081005	12271410	21	11000356	28	11000357	7	-1	-1
30081005	30081006	12271410	32	11000356	56	11000357	12	-1	-1
30081007	30081008	12271410	6	11000356	8	11000357	2	-1	-1
30081008	30081009	12271410	12	11000356	16	11000357	4	-1	-1
30081009	30081010	12271410	21	11000356	28	11000357	7	-1	-1
30081010	30081011	12271410	32	11000356	56	11000357	12	-1	-1
30081012	30081013	12271410	6	11000356	8	11000357	2	-1	-1
30081013	30081014	12271410	12	11000356	16	11000357	4	-1	-1
30081014	30081015	12271410	21	11000356	28	11000357	7	-1	-1
30081015	30081016	12271410	32	11000356	56	11000357	12	-1	-1
30081022	30081023	12271410	6	11000356	8	11000357	2	-1	-1
30081023	30081024	12271410	12	11000356	16	11000357	4	-1	-1
30081024	30081025	12271410	21	11000356	28	11000357	7	-1	-1
30081025	30081026	12271410	32	11000356	56	11000357	12	-1	-1
30081027	30081028	12271410	6	11000356	8	11000357	2	-1	-1
30081028	30081029	12271410	12	11000356	16	11000357	4	-1	-1
30081029	30081030	12271410	21	11000356	28	11000357	7	-1	-1
30081030	30081031	12271410	32	11000356	56	11000357	12	-1	-1
30081032	30081033	12271410	6	11000356	8	11000357	2	-1	-1
30081033	30081034	12271410	12	11000356	16	11000357	4	-1	-1
30081034	30081035	12271410	21	11000356	28	11000357	7	-1	-1
30081035	30081036	12271410	32	11000356	56	11000357	12	-1	-1
30091002	30091003	12271410	6	11000356	8	11000357	2	-1	-1
30091003	30091004	12271410	12	11000356	16	11000357	4	-1	-1
30091004	30091005	12271410	21	11000356	28	11000357	7	-1	-1
30091005	30091006	12271410	32	11000356	56	11000357	12	-1	-1
30091007	30091008	12271410	6	11000356	8	11000357	2	-1	-1
30091008	30091009	12271410	12	11000356	16	11000357	4	-1	-1
30091009	30091010	12271410	21	11000356	28	11000357	7	-1	-1
30091010	30091011	12271410	32	11000356	56	11000357	12	-1	-1
30091012	30091013	12271410	6	11000356	8	11000357	2	-1	-1
30091013	30091014	12271410	12	11000356	16	11000357	4	-1	-1
30091014	30091015	12271410	21	11000356	28	11000357	7	-1	-1
30091015	30091016	12271410	32	11000356	56	11000357	12	-1	-1
30091022	30091023	12271410	6	11000356	8	11000357	2	-1	-1
30091023	30091024	12271410	12	11000356	16	11000357	4	-1	-1
30091024	30091025	12271410	21	11000356	28	11000357	7	-1	-1
30091025	30091026	12271410	32	11000356	56	11000357	12	-1	-1
30091027	30091028	12271410	6	11000356	8	11000357	2	-1	-1
30091028	30091029	12271410	12	11000356	16	11000357	4	-1	-1
30091029	30091030	12271410	21	11000356	28	11000357	7	-1	-1
30091030	30091031	12271410	32	11000356	56	11000357	12	-1	-1
30091032	30091033	12271410	6	11000356	8	11000357	2	-1	-1
30091033	30091034	12271410	12	11000356	16	11000357	4	-1	-1
30091034	30091035	12271410	21	11000356	28	11000357	7	-1	-1
30091035	30091036	12271410	32	11000356	56	11000357	12	-1	-1
30101002	30101003	12271410	6	11000356	8	11000357	2	-1	-1
30101003	30101004	12271410	12	11000356	16	11000357	4	-1	-1
30101004	30101005	12271410	21	11000356	28	11000357	7	-1	-1
30101005	30101006	12271410	32	11000356	56	11000357	12	-1	-1
30101007	30101008	12271410	6	11000356	8	11000357	2	-1	-1
30101008	30101009	12271410	12	11000356	16	11000357	4	-1	-1
30101009	30101010	12271410	21	11000356	28	11000357	7	-1	-1
30101010	30101011	12271410	32	11000356	56	11000357	12	-1	-1
30101012	30101013	12271410	6	11000356	8	11000357	2	-1	-1
30101013	30101014	12271410	12	11000356	16	11000357	4	-1	-1
30101014	30101015	12271410	21	11000356	28	11000357	7	-1	-1
30101015	30101016	12271410	32	11000356	56	11000357	12	-1	-1
30111002	30111003	12271410	6	11000356	8	11000357	2	-1	-1
30111003	30111004	12271410	12	11000356	16	11000357	4	-1	-1
30111004	30111005	12271410	21	11000356	28	11000357	7	-1	-1
30111005	30111006	12271410	32	11000356	56	11000357	12	-1	-1
30111007	30111008	12271410	6	11000356	8	11000357	2	-1	-1
30111008	30111009	12271410	12	11000356	16	11000357	4	-1	-1
30111009	30111010	12271410	21	11000356	28	11000357	7	-1	-1
30111010	30111011	12271410	32	11000356	56	11000357	12	-1	-1
30111012	30111013	12271410	6	11000356	8	11000357	2	-1	-1
30111013	30111014	12271410	12	11000356	16	11000357	4	-1	-1
30111014	30111015	12271410	21	11000356	28	11000357	7	-1	-1
30111015	30111016	12271410	32	11000356	56	11000357	12	-1	-1
30121002	30121003	12271410	6	11000356	8	11000357	2	-1	-1
30121003	30121004	12271410	12	11000356	16	11000357	4	-1	-1
30121004	30121005	12271410	21	11000356	28	11000357	7	-1	-1
30121005	30121006	12271410	32	11000356	56	11000357	12	-1	-1
30121007	30121008	12271410	6	11000356	8	11000357	2	-1	-1
30121008	30121009	12271410	12	11000356	16	11000357	4	-1	-1
30121009	30121010	12271410	21	11000356	28	11000357	7	-1	-1
30121010	30121011	12271410	32	11000356	56	11000357	12	-1	-1
30121012	30121013	12271410	6	11000356	8	11000357	2	-1	-1
30121013	30121014	12271410	12	11000356	16	11000357	4	-1	-1
30121014	30121015	12271410	21	11000356	28	11000357	7	-1	-1
30121015	30121016	12271410	32	11000356	56	11000357	12	-1	-1
30131002	30131003	12271410	6	11000356	8	11000357	2	-1	-1
30131003	30131004	12271410	12	11000356	16	11000357	4	-1	-1
30131004	30131005	12271410	21	11000356	28	11000357	7	-1	-1
30131005	30131006	12271410	32	11000356	56	11000357	12	-1	-1
30131007	30131008	12271410	6	11000356	8	11000357	2	-1	-1
30131008	30131009	12271410	12	11000356	16	11000357	4	-1	-1
30131009	30131010	12271410	21	11000356	28	11000357	7	-1	-1
30131010	30131011	12271410	32	11000356	56	11000357	12	-1	-1
30131012	30131013	12271410	6	11000356	8	11000357	2	-1	-1
30131013	30131014	12271410	12	11000356	16	11000357	4	-1	-1
30131014	30131015	12271410	21	11000356	28	11000357	7	-1	-1
30131015	30131016	12271410	32	11000356	56	11000357	12	-1	-1
