NUM	NUM	TEXT	NUM	NUM	TEXT	NUM	TEXT	NUM	NUM	NUM	NUM	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	NUM	NUM	NUM	TEXT	NUM
18	18	领地·基辅公国	256	256	juqing_jifugongguo.scb	118	juqing_jifugongguoscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0	1|2|3	8
19	19	领地·波兰王国	256	256	juqing_bolanwangguo.scb	118	juqing_bolanwangguoscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0	1|2|3	8
20	20	领地·匈牙利	256	256	juqing_xiongyaliwangguo.scb	122	juqing_xiongyaliwangguoscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0	1|2|3	8
21	21	领地·神圣罗马	256	256	juqing_shenshengluomadiguo.scb	122	juqing_shenshengluomadiguoscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0	1|2|3	8
22	22	领地·拜占庭	256	256	juqing_baizhantingdiguo.scb	122	juqing_baizhantingdiguoscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0	1|2|3	8
23	23	领地·大马士革	256	256	juqing_damashige.scb	105	juqing_damashigescene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0	1|2|3	8
24	24	领地·耶路撒冷	256	256	juqing_yelusaleng.scb	105	juqing_yelusalengscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0	1|2|3	8
25	25	领地·西奈半岛	256	256	juqing_xinaibandao.scb	105	juqing_xinaibandaoscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0	1|2|3	8
26	26	领地·对马岛	256	256	juqing_duimadao.scb	110	juqing_duimadaoscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0	1|2|3	8
27	27	领地·福冈	256	256	juqing_fugang.scb	110	juqing_fugangscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0	1|2|3	8
28	28	test	256	256	zhanchang_liurenzhanchang.scb	-1	zhanchang_liurenzhanchangscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0	1|2|3	1
29	29	领地·九州岛	256	256	juqing_jiuzhoudao.scb	110	juqing_jiuzhoudaoscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0	1|2|3	8
30	30	test	64	64	test.scb	180	testscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0	1|2|3	8
31	31	领地·缅甸	256	256	test.scb	130	testscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0	1|2|3	8
32	32	领地·印度河	256	256	test.scb	130	testscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0	1|2|3	8
33	33	领地·婆罗洲	256	256	yewai_poluozhou.scb	119	yewai_poluozhouscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0	1|2|3	8
34	34	领地·爪哇岛	256	256	test.scb	119	testscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0	1|2|3	8
35	35	领地·苏门答腊	256	256	test.scb	119	testscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0	1|2|3	8
36	36	大都·南	256	256	city_dadunanjiao.scb	174	city_dadunanjiaoscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	1	1|2|3	5
37	37	大都·东	256	256	city_dadudongjiao.scb	174	city_dadudongjiaoscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	1	1|2|3	5
38	38	大都·西	256	256	city_daduxijiao.scb	174	city_daduxijiaoscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	1	1|2|3	5
39	39	天上人间·麒麟	256	256	city_goulanyuan.scb	176	city_goulanyuanscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	1	1|2|3	5
40	40	天上人间·梦聊	256	256	fuben_daguanyuan.scb	175	fuben_daguanyuanscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	1	1|2|3	5
41	41	大都·皇城	128	128	city_huanggong.scb	181	city_huanggongscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	1	1|2|3	1
42	42	大都·大都密室	64	64	migong_loulanshinei01.scb	135	migong_loulanshinei01scene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	3
43	43	大都·大都民居	64	64	migong_loulanshinei02.scb	135	migong_loulanshinei02scene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	3
44	44	大都·后花园	512	512	city_huanggongmidao.scb	181	city_huanggongmidaoscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0	1|2|3	5
45	45	地下粮仓一层	128	128	migong_dadumigong1.scb	100	migong_dadumigong1scene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0	1|2|3	1
46	46	地下粮仓二层	128	128	migong_dadumigong2.scb	100	migong_dadumigong2scene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0	1|2|3	1
47	47	地下粮仓三层	128	128	migong_dadumigong3.scb	100	migong_dadumigong3scene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0	1|2|3	1
48	48	地下粮仓四层	128	128	migong_dadumigong4.scb	100	migong_dadumigong4scene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0	1|2|3	1
49	49	地下粮仓五层	128	128	migong_dadumigong5.scb	100	migong_dadumigong5scene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0	1|2|3	1
50	50	王国·楼兰王城	512	512	city_cheng3wangcheng.scb	2579	city_cheng3wangchengscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
51	51	边塞·楼兰边塞	512	512	city_cheng3bianjing.scb	129	city_cheng3bianjingscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	4
52	52	罕难河剧场	256	256	juqing_hannanhecaoyuan.scb	169	juqing_hannanhecaoyuanscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	4|5|6	1
53	53	乞颜部剧场	256	256	juqing_qiyanbu.scb	172	juqing_qiyanbuscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	4|5|6	1
54	54	克烈部剧场	256	256	juqing_keliebu.scb	166	juqing_keliebuscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	4|5|6	1
55	55	塔塔尔部剧场	256	256	juqing_tataerbu.scb	168	juqing_tataerbuscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	4|5|6	1
56	56	乃蛮部剧场	256	256	juqing_naimanbu.scb	171	juqing_naimanbuscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	4|5|6	1
57	57	居庸关剧场	256	256	juqing_juyongguan.scb	164	juqing_juyongguanscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	4|5|6	1
58	58	边塞·楼兰密屋	64	64	migong_minju01.scb	180	migong_minju01scene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	3
59	59	边塞·楼兰密室	64	64	migong_minju02.scb	180	migong_minju02scene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	3
60	60	边塞·楼兰小屋	64	64	migong_minju01.scb	180	migong_minju01scene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	3
61	61	边塞·楼兰民居	64	64	migong_minju02.scb	180	migong_minju02scene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	3
62	62	王国·王国密室	64	64	migong_loulanshinei01.scb	135	migong_loulanshinei01scene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	3
63	63	王国·王国小屋	64	64	migong_loulanshinei02.scb	135	migong_loulanshinei02scene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	3
64	64	九咒山坳	128	128	midong_jiuzhoushanao.scb	122	midong_jiuzhoushanaoscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
65	65	test	64	64	test.scb	161	testscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
66	66	test	64	64	test.scb	161	testscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
67	67	楼兰丝绸古道	256	256	city_loulansichougudao.scb	180	city_loulansichougudaoscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0	1|2|3	4
68	68	test	64	64	test.scb	180	testscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
69	69	test	64	64	test.scb	161	testscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
70	70	楼兰王宫	128	128	city_cheng3wanggong.scb	284	city_cheng3wanggongscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
71	71	test	64	64	test.scb	161	testscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
72	72	test	64	64	test.scb	161	testscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
73	73	test	64	64	test.scb	161	testscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
74	74	test	64	64	test.scb	161	testscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
75	75	test	64	64	test.scb	162	testscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
76	76	边塞·楼兰暗道	64	64	migong_xiashuidao01.scb	115	migong_xiashuidao01scene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	4
77	77	test	64	64	test.scb	161	testscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
78	78	test	64	64	test.scb	161	testscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
79	79	圣山地宫	128	128	migong_shengshan.scb	140	migong_shengshanscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
80	80	test	64	64	test.scb	161	testscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
81	81	test	64	64	test.scb	161	testscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
82	82	test	64	64	test.scb	161	testscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
83	83	圣山地宫	128	128	migong_shengshan.scb	140	migong_shengshanscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
84	84	圣山地宫	128	128	migong_shengshan.scb	140	migong_shengshanscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
85	85	圣山地宫	128	128	migong_shengshan.scb	140	migong_shengshanscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
86	86	王国·楼兰古道	256	256	yewai_conglinggudao.scb	113	yewai_conglinggudaoscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	2
87	87	王国·哲别村	512	512	city_xinshoucun.scb	144	city_xinshoucunscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	2
88	88	test	64	64	test.scb	155	testscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
89	89	王国·楼兰马场	256	256	yewai_conglingcaochang.scb	283	yewai_conglingcaochangscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
90	90	东瀛岛	256	256	migong_dongyingdao.scb	155	migong_dongyingdaoscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
91	91	轮回之地	128	128	fuben_lunhuitai.scb	100	fuben_lunhuitaiscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	7|7|7	1
92	92	跨服双人战场	256	256	zhanchang_shuangrenzhanchang.scb	129	zhanchang_shuangrenzhanchangscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	7	4	0	1|2|3	1
93	93	跨服双人战场	256	256	zhanchang_shuangrenzhanchang.scb	129	zhanchang_shuangrenzhanchangscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	7	4	0	1|2|3	1
94	94	大乱斗战场	256	256	zhanchang_shuangrenzhanchang.scb	129	zhanchang_shuangrenzhanchangscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	7	4	0	1|2|3	1
95	95	圣山地宫	128	128	migong_shengshan.scb	140	migong_shengshanscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_miwuzhen	0	0	0	1|2|3	1
96	96	圣山地宫	128	128	migong_shengshan.scb	140	migong_shengshanscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
97	97	圣山地宫	128	128	migong_shengshan.scb	140	migong_shengshanscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
98	98	王国草原罕难河	256	256	juqing_hannanhecaoyuan.scb	112	juqing_hannanhecaoyuanscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
99	99	王国草原乞颜部	256	256	juqing_qiyanbu.scb	121	juqing_qiyanbuscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
100	100	王国草原塔塔尔	256	256	juqing_tataerbu.scb	121	juqing_tataerbuscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
101	101	王国草原克烈部	256	256	juqing_keliebu.scb	121	juqing_keliebuscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
102	102	王国草原乃蛮部	256	256	juqing_naimanbu.scb	112	juqing_naimanbuscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
103	103	王国草原居庸关	256	256	juqing_juyongguan.scb	112	juqing_juyongguanscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
104	104	王国迷宫一层	256	256	migong_loulanmigong1.scb	100	migong_loulanmigong1scene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
105	105	王国迷宫二层	256	256	migong_loulanmigong2.scb	100	migong_loulanmigong2scene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
106	106	王国迷宫三层	256	256	migong_loulanmigong3.scb	100	migong_loulanmigong3scene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
107	107	王国迷宫四层	256	256	migong_loulanmigong4.scb	100	migong_loulanmigong4scene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
108	108	王国迷宫五层	256	256	migong_loulanmigong5.scb	100	migong_loulanmigong5scene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
109	109	王国迷宫六层	256	256	migong_loulanmigong6.scb	100	migong_loulanmigong6scene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
110	110	王国迷宫七层	256	256	migong_loulanmigong7.scb	100	migong_loulanmigong7scene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
111	111	王国迷宫八层	256	256	migong_loulanmigong8.scb	100	migong_loulanmigong8scene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
112	112	圣山地宫	128	128	migong_shengshan.scb	140	migong_shengshanscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
113	113	圣山地宫	128	128	migong_shengshan.scb	140	migong_shengshanscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
114	114	圣山地宫	128	128	migong_shengshan.scb	140	migong_shengshanscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
115	115	圣山地宫	128	128	migong_shengshan.scb	140	migong_shengshanscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
116	116	圣山地宫	128	128	migong_shengshan.scb	140	migong_shengshanscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	0	0	1|2|3	1
