NUM	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT
8331	yh_meiguizhiyue_01	玫瑰独钟.mp3	人物头部绑定点			玫瑰之约
8332	yh_qingyouduzhong_01	玫瑰独钟.mp3	人物头部绑定点			情有独钟
8333	yh_wudi_01	无敌笑脸.mp3	人物头部绑定点			无敌
8334	yh_xiaolian_01	无敌笑脸.mp3	人物头部绑定点			笑脸
8335	yh_zhan_01	战斗战神.mp3	人物头部绑定点			战斗
8336	yh_zhang_01	斩.mp3	人物头部绑定点			斩
8337	yh_zhanshen_01	战斗战神.mp3	人物头部绑定点			战神
8338	yh_shuzi_01	数字.mp3	人物脚部绑定点			数字1
8339	yh_shuzi_02	数字.mp3	人物脚部绑定点			数字2
8340	yh_shuzi_03	数字.mp3	人物脚部绑定点			数字3
8341	yh_shuzi_04	数字.mp3	人物脚部绑定点			数字4
8342	yh_shuzi_05	数字.mp3	人物脚部绑定点			数字5
8343	yh_shuzi_06	数字.mp3	人物脚部绑定点			数字6
8344	yh_shuzi_07	数字.mp3	人物脚部绑定点			数字7
8345	yh_shuzi_08	数字.mp3	人物脚部绑定点			数字8
8346	yh_shuzi_09	数字.mp3	人物脚部绑定点			数字9
8347	yh_shuzi_10	数字.mp3	人物脚部绑定点			数字10
8348	yh_ciling_01	爱情誓言.mp3	人物头部绑定点			刺陵
8349	yh_圣诞快乐_01	玫瑰独钟.mp3	人物头部绑定点			圣诞快乐_01
8350	yh_圣诞快乐_02	玫瑰独钟.mp3	人物头部绑定点			圣诞快乐_02
8351	ui_雪人_01		人物脚部绑定点			雪人
8352	ui_跑商_01		人物头部绑定点			跑商特效
8357	yh_2010sbh_01	爱情誓言.mp3	人物头部绑定点			世博会烟花01
8358	yh_2010sbh_02	爱情誓言.mp3	人物头部绑定点			世博会烟花02
#						
8728	物品情人男戒指_01		人物身体受击点			男戒指buff
8729	物品情人女戒指_01		人物身体受击点			女戒指buff
8730	触发骑射_夺命索_01	状态_燃烧_02.ogg	人物脚部绑定点			陷阱
