NUM	TEXT	TEXT	TEXT	NUM	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	TEXT
41	文官武将	set:khan3_item_2 image:khan3_item_2_2		2	45012258|45011078	158	160	28	22	470	2	38	-1	-1	-1	-1	-1	-1	75	1	set:khan3_item_2_hui image:khan3_item_2_hui_2
42	金之二皇	set:khan3_item_2 image:khan3_item_2_1		2	45012529|45012303	161	163	38	22	630	0	51	-1	-1	-1	-1	-1	-1	75	1	set:khan3_item_2_hui image:khan3_item_2_hui_1
43	源氏三雄	set:khan3_item_2 image:khan3_item_2_2		3	45012969|45011548|45012487	336	339	43	22	710	14	28	8	28	-1	-1	-1	-1	75	1	set:khan3_item_2_hui image:khan3_item_2_hui_2
44	克烈部族	set:khan3_item_2 image:khan3_item_2_4		2	45013053|45012823	167	169	32	22	530	50	2	-1	-1	-1	-1	-1	-1	85	1	set:khan3_item_2_hui image:khan3_item_2_hui_4
45	罕难河的长者	set:khan3_item_2 image:khan3_item_2_8		2	45013329|45012869	191	193	57	22	950	241	8	-1	-1	-1	-1	-1	-1	85	1	set:khan3_item_2_hui image:khan3_item_2_hui_8
46	草原三马匪	set:khan3_item_2 image:khan3_item_2_8		3	45013137|45013142|45013147	364	367	11	22	170	8	7	51	1	-1	-1	-1	-1	85	1	set:khan3_item_2_hui image:khan3_item_2_hui_8
47	两位国王	set:khan3_item_2 image:khan3_item_2_4		2	45011768|45012493	170	172	32	22	530	53	2	-1	-1	-1	-1	-1	-1	85	1	set:khan3_item_2_hui image:khan3_item_2_hui_4
48	帝王的统治	set:khan3_item_2 image:khan3_item_2_4		2	45011604|45011832	173	175	32	22	530	97	2	-1	-1	-1	-1	-1	-1	85	1	set:khan3_item_2_hui image:khan3_item_2_hui_4
49	父子双雄二	set:khan3_item_2 image:khan3_item_2_4		2	45012654|45011213	176	178	43	22	710	50	3	-1	-1	-1	-1	-1	-1	85	1	set:khan3_item_2_hui image:khan3_item_2_hui_4
50	帝世父子	set:khan3_item_2 image:khan3_item_2_8		2	45012309|45012538	179	181	43	22	710	51	3	-1	-1	-1	-1	-1	-1	85	1	set:khan3_item_2_hui image:khan3_item_2_hui_8
51	父子双雄三	set:khan3_item_2 image:khan3_item_2_4		2	45011799|45011083	182	184	43	22	710	53	3	-1	-1	-1	-1	-1	-1	85	1	set:khan3_item_2_hui image:khan3_item_2_hui_4
52	皇家之心	set:khan3_item_2 image:khan3_item_2_8		2	45011449|45011693	185	187	43	22	710	54	3	-1	-1	-1	-1	-1	-1	85	1	set:khan3_item_2_hui image:khan3_item_2_hui_8
53	吐番三僧	set:khan3_item_2 image:khan3_item_2_8		3	45011993|45012233|45012463	368	371	32	22	530	8	21	54	2	-1	-1	-1	-1	85	1	set:khan3_item_2_hui image:khan3_item_2_hui_8
54	勇猛三人众	set:khan3_item_2 image:khan3_item_2_4		3	45013209|45012758|45012972	372	375	48	22	800	8	32	53	3	-1	-1	-1	-1	85	1	set:khan3_item_2_hui image:khan3_item_2_hui_4
55	帝国三贵族	set:khan3_item_2 image:khan3_item_2_4		3	45012078|45011132|45011362	376	379	43	22	710	8	29	50	3	-1	-1	-1	-1	85	1	set:khan3_item_2_hui image:khan3_item_2_hui_4
56	帝王传承	set:khan3_item_2 image:khan3_item_2_8		2	45011098|45011807	224	226	24	22	400	51	2	8	16	-1	-1	-1	-1	95	1	set:khan3_item_2_hui image:khan3_item_2_hui_8
57	父子同德	set:khan3_item_2 image:khan3_item_2_4		2	45011774|45011522	227	229	36	22	600	53	2	8	24	-1	-1	-1	-1	95	1	set:khan3_item_2_hui image:khan3_item_2_hui_4
58	浪漫佳缘	set:khan3_item_2 image:khan3_item_2_8		2	45011608|45011838	230	232	36	22	600	54	2	8	24	-1	-1	-1	-1	95	1	set:khan3_item_2_hui image:khan3_item_2_hui_8
59	帝王父子	set:khan3_item_2 image:khan3_item_2_8		2	45011369|45011137	233	235	36	22	600	51	2	8	24	-1	-1	-1	-1	95	1	set:khan3_item_2_hui image:khan3_item_2_hui_8
60	帝王之心	set:khan3_item_2 image:khan3_item_2_4		2	45011328|45011098	236	238	36	22	600	53	2	8	24	-1	-1	-1	-1	95	1	set:khan3_item_2_hui image:khan3_item_2_hui_4
61	皇家传承	set:khan3_item_2 image:khan3_item_2_8		2	45012084|45012312	239	241	36	22	600	54	2	8	24	-1	-1	-1	-1	95	1	set:khan3_item_2_hui image:khan3_item_2_hui_8
62	鼎盛帝王	set:khan3_item_2 image:khan3_item_2_4		2	45012604|45011178	242	244	48	22	800	50	3	8	32	-1	-1	-1	-1	95	1	set:khan3_item_2_hui image:khan3_item_2_hui_4
63	花剌王亲	set:khan3_item_2 image:khan3_item_2_4		2	45012509|45013213	245	247	48	22	800	97	3	8	32	-1	-1	-1	-1	95	1	set:khan3_item_2_hui image:khan3_item_2_hui_4
64	阿拉伯魔君	set:khan3_item_2 image:khan3_item_2_4		2	45013337|45013342	874	876	40	22	500	0	35	-1	-1	-1	-1	-1	-1	45	2	set:khan3_item_2_hui image:khan3_item_2_hui_4
65	金王魔君	set:khan3_item_2 image:khan3_item_2_4		3	45013348|45013353|45013358	877	880	60	22	800	2	65	-1	-1	-1	-1	-1	-1	55	2	set:khan3_item_2_hui image:khan3_item_2_hui_4
66	突厥魔君	set:khan3_item_2 image:khan3_item_2_5		3	45013363|45013368|45013373	881	884	60	22	1200	4	80	-1	-1	-1	-1	-1	-1	65	2	set:khan3_item_2_hui image:khan3_item_2_hui_5
67	党项魔君	set:khan3_item_2 image:khan3_item_2_6		3	45013379|45013384|45013389	885	888	60	22	1200	10	80	-1	-1	-1	-1	-1	-1	65	2	set:khan3_item_2_hui image:khan3_item_2_hui_6
68	条顿魔君	set:khan3_item_2 image:khan3_item_2_7		3	45013393|45013398|45013403	889	892	60	22	1400	12	90	50	10	-1	-1	-1	-1	75	2	set:khan3_item_2_hui image:khan3_item_2_hui_7
69	圣殿魔君	set:khan3_item_2 image:khan3_item_2_1		3	45013409|45013414|45013419	893	896	60	22	1400	14	90	50	10	-1	-1	-1	-1	75	2	set:khan3_item_2_hui image:khan3_item_2_hui_1
70	圣域魔君	set:khan3_item_2 image:khan3_item_2_2		3	45013424|45013429|45013434	897	900	60	22	1600	51	10	50	10	117	10	-1	-1	85	2	set:khan3_item_2_hui image:khan3_item_2_hui_2
71	草原魔君	set:khan3_item_2 image:khan3_item_2_9		4	45013440|45013445|45013450|45013455	901	905	80	22	2100	54	14	50	10	118	12	-1	-1	85	2	set:khan3_item_2_hui image:khan3_item_2_hui_9
72	幕府魔君	set:khan3_item_2 image:khan3_item_2_3		4	45013459|45013464|45013469|45013474	906	910	80	22	4000	53	16	50	15	252	3	-1	-1	95	2	set:khan3_item_2_hui image:khan3_item_2_hui_3
73	斯拉夫魔君	set:khan3_item_2 image:khan3_item_2_2		5	45013480|45013485|45013490|45013495|45013500	911	916	100	22	5000	50	20	54	13	251	3	-1	-1	95	2	set:khan3_item_2_hui image:khan3_item_2_hui_2
74	绝代双雄	set:khan3_item_2 image:khan3_item_2_8		2	45012589|45012134	188	190	57	22	950	51	4	-1	-1	-1	-1	-1	-1	85	2	set:khan3_item_2_hui image:khan3_item_2_hui_8
75	母慈子勇	set:khan3_item_2 image:khan3_item_2_8		2	45013274|45012665	194	196	72	22	1100	242	10	-1	-1	-1	-1	-1	-1	85	2	set:khan3_item_2_hui image:khan3_item_2_hui_8
76	母慈子骄	set:khan3_item_2 image:khan3_item_2_4		2	45013274|45011220	197	199	72	22	1100	237	10	-1	-1	-1	-1	-1	-1	85	2	set:khan3_item_2_hui image:khan3_item_2_hui_4
77	母慈子智	set:khan3_item_2 image:khan3_item_2_8		2	45013274|45012405	200	202	72	22	1100	238	10	-1	-1	-1	-1	-1	-1	85	2	set:khan3_item_2_hui image:khan3_item_2_hui_8
78	母慈子孝	set:khan3_item_2 image:khan3_item_2_8		2	45013274|45012885	203	205	72	22	1100	239	10	-1	-1	-1	-1	-1	-1	85	2	set:khan3_item_2_hui image:khan3_item_2_hui_8
79	人中龙凤	set:khan3_item_2 image:khan3_item_2_4		2	45012180|45013274	206	208	72	22	1100	240	10	-1	-1	-1	-1	-1	-1	85	2	set:khan3_item_2_hui image:khan3_item_2_hui_4
80	上阵父子兵	set:khan3_item_2 image:khan3_item_2_4		2	45012664|45012264	212	214	57	22	950	53	4	-1	-1	-1	-1	-1	-1	85	2	set:khan3_item_2_hui image:khan3_item_2_hui_4
81	兄弟情深	set:khan3_item_2 image:khan3_item_2_8		2	45012669|45012654	215	217	57	22	950	54	4	-1	-1	-1	-1	-1	-1	85	2	set:khan3_item_2_hui image:khan3_item_2_hui_8
82	帝王之家一	set:khan3_item_2 image:khan3_item_2_4		2	45012885|45011885	218	220	89	22	1400	50	6	-1	-1	-1	-1	-1	-1	85	2	set:khan3_item_2_hui image:khan3_item_2_hui_4
83	父子雄心	set:khan3_item_2 image:khan3_item_2_4		2	45011219|45012399	248	250	64	22	1000	237	9	8	43	-1	-1	-1	-1	95	2	set:khan3_item_2_hui image:khan3_item_2_hui_4
84	天之勇子	set:khan3_item_2 image:khan3_item_2_8		2	45012180|45012664	254	256	80	22	1300	239	11	8	53	-1	-1	-1	-1	95	2	set:khan3_item_2_hui image:khan3_item_2_hui_8
85	天之骄子	set:khan3_item_2 image:khan3_item_2_4		2	45012180|45011219	257	259	80	22	1300	240	11	8	53	-1	-1	-1	-1	95	2	set:khan3_item_2_hui image:khan3_item_2_hui_4
86	异域之王	set:khan3_item_2 image:khan3_item_2_9		3	45012324|45013269|45012799	280	283	57	22	940	4	38	-1	-1	-1	-1	-1	-1	45	2	set:khan3_item_2_hui image:khan3_item_2_hui_9
87	宋末三杰	set:khan3_item_2 image:khan3_item_2_3		3	45012290|45011820|45012995	292	295	69	22	1100	10	46	-1	-1	-1	-1	-1	-1	55	2	set:khan3_item_2_hui image:khan3_item_2_hui_3
88	前锋三将	set:khan3_item_2 image:khan3_item_2_2		3	45013264|45013028|45011853	296	299	52	22	860	14	35	-1	-1	-1	-1	-1	-1	55	2	set:khan3_item_2_hui image:khan3_item_2_hui_2
89	三学者	set:khan3_item_2 image:khan3_item_2_8		3	45011859|45012813|45011382	316	319	52	22	860	238	7	-1	-1	-1	-1	-1	-1	55	2	set:khan3_item_2_hui image:khan3_item_2_hui_8
90	虎父无犬子二	set:khan3_item_2 image:khan3_item_2_8		3	45011434|45012158|45012378	328	331	74	22	1200	117	5	-1	-1	-1	-1	-1	-1	65	2	set:khan3_item_2_hui image:khan3_item_2_hui_8
91	三帝王	set:khan3_item_2 image:khan3_item_2_4		3	45011434|45012158|45012857	332	335	74	22	1200	97	5	-1	-1	-1	-1	-1	-1	65	2	set:khan3_item_2_hui image:khan3_item_2_hui_4
92	王室子孙	set:khan3_item_2 image:khan3_item_2_1		3	45012669|45011788|45012253	340	343	57	22	940	12	38	8	38	-1	-1	-1	-1	75	2	set:khan3_item_2_hui image:khan3_item_2_hui_1
93	威尼斯三佳丽	set:khan3_item_2 image:khan3_item_2_3		3	45011358|45011128|45011828	344	347	57	22	940	10	38	8	38	-1	-1	-1	-1	75	2	set:khan3_item_2_hui image:khan3_item_2_hui_3
94	陈朝三贤	set:khan3_item_2 image:khan3_item_2_6		3	45011169|45012573|45012818	352	355	71	22	1100	20	47	8	47	-1	-1	-1	-1	75	2	set:khan3_item_2_hui image:khan3_item_2_hui_6
95	三公爵	set:khan3_item_2 image:khan3_item_2_9		3	45011443|45012383|45012632	360	363	85	22	1400	6	114	8	57	-1	-1	-1	-1	75	2	set:khan3_item_2_hui image:khan3_item_2_hui_9
96	天伦之乐	set:khan3_item_2 image:khan3_item_2_4		3	45013274|45012664|45012263	384	387	86	22	1400	8	57	97	6	-1	-1	-1	-1	85	2	set:khan3_item_2_hui image:khan3_item_2_hui_4
97	小亚细亚伊人	set:khan3_item_2 image:khan3_item_2_2		3	45012978|45012278|45011323	440	443	54	22	900	14	36	50	4	51	4	-1	-1	95	2	set:khan3_item_2_hui image:khan3_item_2_hui_2
98	金军校尉	set:khan3_item_2 image:khan3_item_2_1		3	45013254|45013019|45012793	444	447	96	22	1600	12	64	50	6	54	6	-1	-1	95	2	set:khan3_item_2_hui image:khan3_item_2_hui_1
99	克烈部三武将	set:khan3_item_2 image:khan3_item_2_3		3	45011402|45011657|45012137	448	451	60	22	1000	10	40	50	4	53	4	-1	-1	95	2	set:khan3_item_2_hui image:khan3_item_2_hui_3
100	乱世佳人	set:khan3_item_2 image:khan3_item_2_9		4	45011339|45011149|45011109|45011583	478	482	61	22	1000	8	40	-1	-1	-1	-1	-1	-1	45	2	set:khan3_item_2_hui image:khan3_item_2_hui_9
101	罗马四娇娃	set:khan3_item_2 image:khan3_item_2_9		4	45011624|45011374|45011149|45011378	483	487	76	22	1200	8	51	-1	-1	-1	-1	-1	-1	45	2	set:khan3_item_2_hui image:khan3_item_2_hui_9
102	波兰佳丽	set:khan3_item_2 image:khan3_item_2_9		4	45011153|45012103|45011628|45012333	493	497	69	22	1100	8	46	-1	-1	-1	-1	-1	-1	55	2	set:khan3_item_2_hui image:khan3_item_2_hui_9
103	孪生四姐妹	set:khan3_item_2 image:khan3_item_2_8		4	45013233|45011123|45012067|45012997	508	512	66	22	1000	8	44	51	4	-1	-1	-1	-1	65	2	set:khan3_item_2_hui image:khan3_item_2_hui_8
104	伊斯兰教徒	set:khan3_item_2 image:khan3_item_2_4		4	45011823|45012063|45011353|45012813	518	522	66	22	1000	8	44	97	4	-1	-1	-1	-1	65	2	set:khan3_item_2_hui image:khan3_item_2_hui_4
105	北条世家	set:khan3_item_2 image:khan3_item_2_4		4	45013044|45011389|45011634|45011304	523	527	88	22	1400	8	58	237	6	-1	-1	-1	-1	65	2	set:khan3_item_2_hui image:khan3_item_2_hui_4
106	异域金兰	set:khan3_item_2 image:khan3_item_2_3		4	45011558|45011803|45011092|45012037	553	557	64	22	1000	10	43	53	4	-1	-1	-1	-1	85	2	set:khan3_item_2_hui image:khan3_item_2_hui_3
107	挪威四贞贤	set:khan3_item_2 image:khan3_item_2_2		4	45011568|45012043|45012048|45012273	588	592	72	22	1200	12	48	26	10	-1	-1	-1	-1	95	2	set:khan3_item_2_hui image:khan3_item_2_hui_2
108	南宋五艺	set:khan3_item_2 image:khan3_item_2_8		5	45012954|45012739|45013189|45012003|45011063	633	638	57	22	940	54	4	-1	-1	-1	-1	-1	-1	45	2	set:khan3_item_2_hui image:khan3_item_2_hui_8
109	五大恶人	set:khan3_item_2 image:khan3_item_2_4		5	45011814|45013219|45012284|45011334|45012989	639	644	76	22	1200	50	5	-1	-1	-1	-1	-1	-1	45	2	set:khan3_item_2_hui image:khan3_item_2_hui_4
110	吉卜赛族	set:khan3_item_2 image:khan3_item_2_4		5	45012984|45011293|45013073|45013298|45011673	645	650	71	22	1100	53	5	-1	-1	-1	-1	-1	-1	45	2	set:khan3_item_2_hui image:khan3_item_2_hui_4
111	上帝之教徒	set:khan3_item_2 image:khan3_item_2_2		5	45011573|45011099|45011809|45012763|45011103	795	800	90	22	1500	2	120	51	6	29	1	-1	-1	95	2	set:khan3_item_2_hui image:khan3_item_2_hui_2
112	术赤家族一	set:khan3_item_2 image:khan3_item_2_2		5	45012265|45013119|45011319|45012269|45012665	753	758	107	22	1700	2	143	51	7	29	1	-1	-1	85	3	set:khan3_item_2_hui image:khan3_item_2_hui_2
113	术赤家族二	set:khan3_item_2 image:khan3_item_2_3		4	45012665|45013540|45013545|45013550	819	823	240	22	4000	50	10	51	13	-1	-1	-1	-1	95	3	set:khan3_item_2_hui image:khan3_item_2_hui_3
114	察合台家族一	set:khan3_item_2 image:khan3_item_2_3		5	45011220|45013555|45012400|45013560|45011935	824	829	300	22	5000	50	15	0	300	218	2	-1	-1	95	3	set:khan3_item_2_hui image:khan3_item_2_hui_3
115	察合台家族二	set:khan3_item_2 image:khan3_item_2_3		5	45011220|45013565|45013570|45013575|45013580	830	835	300	22	5000	50	15	2	300	224	2	-1	-1	95	3	set:khan3_item_2_hui image:khan3_item_2_hui_3
116	察合台家族三	set:khan3_item_2 image:khan3_item_2_3		5	45011220|45013585|45013590|45013595|45013600	836	841	300	22	5000	50	15	4	300	250	4	-1	-1	95	3	set:khan3_item_2_hui image:khan3_item_2_hui_3
117	窝阔台家族一	set:khan3_item_2 image:khan3_item_2_3		5	45013335|45012174|45011929|45012649|45012404	771	776	215	22	3500	10	143	237	29	115	2	-1	-1	85	3	set:khan3_item_2_hui image:khan3_item_2_hui_3
118	窝阔台家族二	set:khan3_item_2 image:khan3_item_2_3		3	45012404|45012359|45013605	842	845	180	22	3000	50	10	53	13	-1	-1	-1	-1	95	3	set:khan3_item_2_hui image:khan3_item_2_hui_3
119	拖雷家族一	set:khan3_item_2 image:khan3_item_2_2		5	45011884|45012879|45011715|45011229|45012884	801	806	200	22	3300	14	133	240	27	250	5	-1	-1	95	3	set:khan3_item_2_hui image:khan3_item_2_hui_2
120	托雷家族二	set:khan3_item_2 image:khan3_item_2_3		5	45012885|45013610|45013615|45011935|45013620	846	851	300	22	5000	50	15	10	120	97	25	-1	-1	95	3	set:khan3_item_2_hui image:khan3_item_2_hui_3
121	托雷家族三	set:khan3_item_2 image:khan3_item_2_3		4	45012885|45013625|45013675|45013680	852	856	240	22	4000	50	10	54	10	-1	-1	-1	-1	95	3	set:khan3_item_2_hui image:khan3_item_2_hui_3
122	忽必烈家族一	set:khan3_item_2 image:khan3_item_2_3		5	45011715|45013630|45012470|45013635|45013640	857	862	300	22	5000	50	15	12	120	97	25	-1	-1	95	3	set:khan3_item_2_hui image:khan3_item_2_hui_3
123	忽必烈家族二	set:khan3_item_2 image:khan3_item_2_3		5	45011715|45013645|45013650|45013655|45011555	863	868	300	22	5000	50	15	14	120	97	25	-1	-1	95	3	set:khan3_item_2_hui image:khan3_item_2_hui_3
124	忽必烈家族三	set:khan3_item_2 image:khan3_item_2_3		4	45011715|45013660|45013665|45013670	869	873	240	22	4000	50	10	54	10	53	15	-1	-1	95	3	set:khan3_item_2_hui image:khan3_item_2_hui_3
125	铁木真家族	set:khan3_item_2 image:khan3_item_2_3		5	45012180|45012665|45011220|45012405|45012885	813	818	300	22	5000	10	200	237	40	222	2	-1	-1	95	3	set:khan3_item_2_hui image:khan3_item_2_hui_3
126	苍狼家族	set:khan3_item_2 image:khan3_item_2_3		2	45011049|45011989	164	166	51	22	840	4	67	-1	-1	-1	-1	-1	-1	75	3	set:khan3_item_2_hui image:khan3_item_2_hui_3
127	雄鹰家族	set:khan3_item_2 image:khan3_item_2_8		2	45012664|45012499	209	211	57	22	950	51	4	-1	-1	-1	-1	-1	-1	85	3	set:khan3_item_2_hui image:khan3_item_2_hui_8
