NUM	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	CNC	NUM	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	TEXT	NUM	NUM	NUM	NUM
9	陷阱																																		52	STD_IMPACT_052	1	156	156	9	0	0	1	0	0	0	0	0	0	0	-1	0	0	0	-1	0	0		0	0	-1	
10	武士：攻击	物理伤害	40	魔法伤害	0	冰系伤害	0	火系伤害	0	电系伤害	0	毒系伤害	0																						3	STD_IMPACT_003	0	110	-1	10	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1	
11	道士：冰雪弹	物理伤害	0	魔法伤害	50	冰系伤害	0	火系伤害	0	电系伤害	0	毒系伤害	0																						3	STD_IMPACT_003	0	111	-1	11	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1	
12	道士：冰锥	物理伤害	0	魔法伤害	60	冰系伤害	0	火系伤害	0	电系伤害	0	毒系伤害	0																						3	STD_IMPACT_003	0	112	-1	12	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1	
13	道士：霜之哀伤	物理伤害	0	魔法伤害	0	冰系伤害	0	火系伤害	0	电系伤害	0	毒系伤害	0																						3	STD_IMPACT_003	0	113	-1	13	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1	
14	道士：保命环	物理伤害	0	魔法伤害域	15	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																						3	STD_IMPACT_003	0	113	-1	14	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	加外攻	0	0	-1	
15	特技6	物理伤害	0	魔法伤害	0	冰系伤害	0	火系伤害	0	电系伤害	0	毒系伤害	0																						3	STD_IMPACT_003	0	115	-1	15	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1	
16	武士：大地之舞	物理伤害	80	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																						3	STD_IMPACT_003	0	118	-1	16	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	加外攻	0	0	-1	
18	升级特效																																		0	StdImpact000	0	18	-1	18	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1	
19	先知：圣光弹	物理伤害	0	魔法伤害	30	冰系伤害	0	火系伤害	0	电系伤害	0	毒系伤害	0																						3	STD_IMPACT_003	0	119	-1	19	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1	
20	先知：圣光弹dot	子效果1的DataIndex	21	子效果2的DataIndex	-1	子效果3的DataIndex	-1	子效果4的DataIndex	-1	子效果5的DataIndex	-1	子效果6的DataIndex	-1	子效果7的DataIndex	-1	子效果8的DataIndex	-1	子效果9的DataIndex	-1	子效果10的DataIndex	-1	子效果11的DataIndex	-1	子效果12的DataIndex	-1	子效果13的DataIndex	-1	子效果14的DataIndex	-1	子效果15的DataIndex	-1	子效果16的DataIndex	-1		10	StdImpact010	1	1	-1	20	-1	0	1	0	0	0	0	0	0	0	10000	2000	0	0	-1	0	0	韦陀杵HPDOT1	0	0	-1	
21	先知：圣光弹dot伤害	伤害数值	8																																1	STD_IMPACT_001	0	6	-1	21	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	HPDOT1减血	0	0	-1	
22	先知：诅咒dot	子效果1的DataIndex	23	子效果2的DataIndex	25	子效果3的DataIndex	-1	子效果4的DataIndex	-1	子效果5的DataIndex	-1	子效果6的DataIndex	-1	子效果7的DataIndex	-1	子效果8的DataIndex	-1	子效果9的DataIndex	-1	子效果10的DataIndex	-1	子效果11的DataIndex	-1	子效果12的DataIndex	-1	子效果13的DataIndex	-1	子效果14的DataIndex	-1	子效果15的DataIndex	-1	子效果16的DataIndex	-1		10	StdImpact010	1	6	-1	22	-1	0	1	0	0	0	0	0	0	0	10000	2000	0	0	-1	0	0	韦陀杵HPDOT1	0	0	-1	
23	先知：圣光弹dot伤害	伤害数值	12																																1	STD_IMPACT_001	0	6	-1	23	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	HPDOT1减血	0	0	-1	
24	先知：加血	HP修改量	1000	MP修改量	0	Rage修改量	-1	StrikePoint修改量	0				-1		-1		-1																		4	StdImpact004	0	121	-1	24	1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1	
25	先知：诅咒减速	CanAction1标记	-1	CanAction2标记	-1	CanMove	-1	Unbreakable	-1	移动速度修正%	-60	隐身级别修正	0	反隐级别修正	0	变身ID	-1	骑乘ID	-1	受控于标记4	-1	伤害修正(0:修正 -1:不修正)	-1												14	STD_IMPACT_014	1	2	23	25	-1	0	1	0	0	0	0	0	0	0	10000	0	0	0	-1	0	0	无相截指-迟缓	0	0	-1	
100	捉宠特效																																		0	StdImpact000	0	-1	-1	100	1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	捉宠特效	0	0	-1	
101	演示技能	物理攻击修正	0	物理防御修正	10	魔法攻击修正	0	魔法防御修正	0	冰系攻击修正	0	冰系抗性修正	0	火系攻击修正	0	火系抗性修正	0	电系攻击修正	0	电系抗性修正	0	毒系攻击修正	0	毒系抗性修正	0	MAX_HP修正	0	MAX_MP修正	0	MAX_RAGE修正	0	MAX_STRIKE_POINT修正	0		3	STD_IMPACT_011	1	41	41	101	1	0	1	1	0	0	0	0	1	0	60000	0	0	0	-1	0	0	加10物防	0	0	-1	
102	不知道dot	子效果1的DataIndex	23	子效果2的DataIndex	-1	子效果3的DataIndex	-1	子效果4的DataIndex	-1	子效果5的DataIndex	-1	子效果6的DataIndex	-1	子效果7的DataIndex	-1	子效果8的DataIndex	-1	子效果9的DataIndex	-1	子效果10的DataIndex	-1	子效果11的DataIndex	-1	子效果12的DataIndex	-1	子效果13的DataIndex	-1	子效果14的DataIndex	-1	子效果15的DataIndex	-1	子效果16的DataIndex	-1		10	StdImpact010	1	6	-1	102	-1	0	1	0	0	0	0	0	0	0	20000	2000	0	0	-1	0	0	韦陀杵HPDOT1	0	0	-1	
103	药品。立即恢复生命350点	增加HP	9000	增加MP	0	Rage修改量	-1	StrikePoint修改量	0				-1		-1		-1																		4	StdImpact004	0	10	-1	103	1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1	
104	不知道dot	子效果1的DataIndex	-1	子效果2的DataIndex	25	子效果3的DataIndex	-1	子效果4的DataIndex	-1	子效果5的DataIndex	-1	子效果6的DataIndex	-1	子效果7的DataIndex	-1	子效果8的DataIndex	-1	子效果9的DataIndex	-1	子效果10的DataIndex	-1	子效果11的DataIndex	-1	子效果12的DataIndex	-1	子效果13的DataIndex	-1	子效果14的DataIndex	-1	子效果15的DataIndex	-1	子效果16的DataIndex	-1		10	StdImpact010	1	6	-1	104	-1	0	1	0	0	0	0	0	0	0	20000	2000	0	0	-1	0	0	韦陀杵HPDOT1	0	0	-1	
105	上马																																		82	StdImpact082	0	0	-1	105	1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1	
106	驾驶																																		95	StdImpact095	0	0	-1	105	1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1	
107	下车																																		97	StdImpact082	0	0	-1	106	1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1	
311	武士普通攻击的伤害效果	物理伤害	0	魔法伤害	0	冰系伤害	0	火系伤害	0	电系伤害	0	毒系伤害	0																						3	STD_IMPACT_003	0	-1	-1	311	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1	
316	武士普通攻击的怒气效果	概率	100	事件ID	10	impactID	317																												65	STD_IMPACT_003	1	-1	-1	316	-1	0	1	0	0	0	0	0	0	0	-1	0	0	0	-1	0	0		0	0	-1	
317	怒气增加100%（需攻）	生命值的修正值		魔法值的修正值	0	怒气值的修正值	-1	连击点数的修正值					-1		-1		-1																		4	STD_IMPACT_004	0	-1	-1	317	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0				-1	
321	剑侠普通攻击的伤害效果	物理伤害	0	魔法伤害	0	冰系伤害	0	火系伤害	0	电系伤害	0	毒系伤害	0																						3	STD_IMPACT_003	0	-1	-1	321	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1	
331	骑射普通攻击的伤害效果	物理伤害	0	魔法伤害	0	冰系伤害	0	火系伤害	0	电系伤害	0	毒系伤害	0																						3	STD_IMPACT_003	0	-1	-1	331	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1	
341	火枪普通攻击的伤害效果	物理伤害	0	魔法伤害	0	冰系伤害	0	火系伤害	0	电系伤害	0	毒系伤害	0																						3	STD_IMPACT_003	0	-1	-1	341	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1	
351	先知普通攻击的伤害效果	物理伤害	0	魔法伤害	0	冰系伤害	0	火系伤害	0	电系伤害	0	毒系伤害	0																						3	STD_IMPACT_003	0	-1	-1	351	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1	
361	萨满普通攻击的伤害效果	物理伤害	0	魔法伤害	0	冰系伤害	0	火系伤害	0	电系伤害	0	毒系伤害	0																						3	STD_IMPACT_003	0	-1	-1	361	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0		0	0	-1	
362	华丽丽圣诞buff	力量修正修值		耐力修正值		智力修正值		敏捷修正值																											16	STD_IMPACT_003	1	362	362	362	1	1	0	1	0	0	0	0	0	0	600000	0	0	0	-1	0	0				-1	
#	战车技能																																																													
496	无敌	"可否使用任何技能：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	-1	"可否使用门派技能：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	-1	"可否移动：0-无法移动，1-可以移动）, -1无效"	-1	"无敌：0-非无敌，1-无敌）,-1无效"	1	移动速度修正（0为无效）	0	隐身级别修正（0为无效）	0	反隐级别修正（0为无效）	0	变身ID(-1为无效)	-1	骑乘ID(-1为无效)	-1	受控于标记4	-1	伤害修正(0:修正 -1:不修正)	-1												14	STD_IMPACT_0014	1	496	496	496	1	0	1	1	0	0	0	0	0	0	5000	0	0	0	-1	0	0				-1	
497	加速	"可否使用任何技能：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	-1	"可否使用门派技能：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	-1	"可否移动：0-无法移动，1-可以移动）, -1无效"	-1	"无敌：0-非无敌，1-无敌）,-1无效"	-1	移动速度修正（0为无效）	100	隐身级别修正（0为无效）	0	反隐级别修正（0为无效）	0	变身ID(-1为无效)	-1	骑乘ID(-1为无效)	-1	受控于标记4	-1	伤害修正(0:修正 -1:不修正)	-1												14	STD_IMPACT_0014	1	497	497	497	1	0	1	1	0	0	0	0	0	0	10000	0	0	0	-1	0	0				-1	
498	攻击增加		0	近程攻击修正值	1000	近程防御修正值		远程攻击修正值		远程防御修正值		魔法攻击修正值		魔法防御修正值		冰系攻击修正值		冰系抗性修正值		火系攻击修正值		火系抗性修正值		电系攻击修正值		电系抗性修正值		毒系攻击修正值		毒系抗性修正值					12		1	498	498	498	1	0	1	1	0	0	0	0	0	1	1200000	0	0	0	-1	0	0				417000	
499	防御增加		0	近程攻击修正值		近程防御修正值	800	远程攻击修正值		远程防御修正值		魔法攻击修正值		魔法防御修正值		冰系攻击修正值		冰系抗性修正值		火系攻击修正值		火系抗性修正值		电系攻击修正值		电系抗性修正值		毒系攻击修正值		毒系抗性修正值					12		1	499	499	499	1	0	1	1	0	0	0	0	0	1	1200000	0	0	0	-1	0	0				417000	
500	穿甲炮	近程攻击伤害百分比	60	远程攻击伤害百分比		魔法伤害百分比		冰伤害百分比		火伤害百分比		电伤害百分比		毒伤害百分比																					61	STD_IMPACT_003	0	1221	2	1221	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0				-1	
501	冰冻炮	近程攻击伤害百分比	60	远程攻击伤害百分比		魔法伤害百分比		冰伤害百分比		火伤害百分比		电伤害百分比		毒伤害百分比																					61	STD_IMPACT_003	0	1221	2	1221	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0				-1	
502	化学炮	近程攻击伤害百分比	60	远程攻击伤害百分比		魔法伤害百分比		冰伤害百分比		火伤害百分比		电伤害百分比		毒伤害百分比																					61	STD_IMPACT_003	0	1221	2	1221	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0				-1	
503	攻城炮	近程攻击伤害百分比	70	远程攻击伤害百分比		魔法伤害百分比		冰伤害百分比		火伤害百分比		电伤害百分比		毒伤害百分比																					61	STD_IMPACT_003	0	1221	2	1221	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0				-1	
504	冰冻减速	"可否使用任何技能：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	-1	"可否使用门派技能：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	-1	"可否移动：0-无法移动，1-可以移动）, -1无效"	-1	"无敌：0-非无敌，1-无敌）,-1无效"	-1	移动速度修正（0为无效）	-50	隐身级别修正（0为无效）	0	反隐级别修正（0为无效）	0	变身ID(-1为无效)	-1	骑乘ID(-1为无效)	-1	受控于标记4	-1	伤害修正(0:修正 -1:不修正)	-1												14	STD_IMPACT_0014	1	504	504	504	-1	0	1	0	0	0	0	0	0	0	10000	0	0	0	-1	0	0				-1	
505	化学炮DOT	0为按点数修正，1为按百分比修正	0	伤害类型	2	伤害数值	150	自身攻击力计算比重	10	对方防御力计算比重	6																								63	STD_IMPACT_003	1	505	505	505	-1	0	1	0	0	0	0	0	1	0	10000	1000	0	0	-1	0	0				-1	
506	下车眩晕	"可否使用任何技能：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	0	"可否使用门派技能：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	-1	"可否移动：0-无法移动，1-可以移动）, -1无效"	0	"无敌：0-非无敌，1-无敌）,-1无效"	-1	移动速度修正（0为无效）	0	隐身级别修正（0为无效）	0	反隐级别修正（0为无效）	0	变身ID(-1为无效)	-1	骑乘ID(-1为无效)	-1	受控于标记4	-1	伤害修正(0:修正 -1:不修正)	-1												14	STD_IMPACT_014	1	506	23	1440	-1	0	0	0	0	0	0	0	0	0	3000	0	0	0	0	0	0				-1	
507	碎甲炮	近程攻击伤害百分比	60	远程攻击伤害百分比		魔法伤害百分比		冰伤害百分比		火伤害百分比		电伤害百分比		毒伤害百分比																					61	STD_IMPACT_003	0	1221	2	1221	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0				-1	
508	战车碎甲	物理攻击修正值		物理防御修正值	-200	魔法攻击修正值		魔法防御修正值		冰系攻击修正值		冰系抗性修正值		火系攻击修正值		火系抗性修正值		电系攻击修正值		电系抗性修正值		毒系攻击修正值		毒系抗性修正值		MAX_HP修正值		MAX_MP修正值		MAX_RAGE修正值		MAX_STRIKE_POINT修正值			11	STD_IMPACT_003	1	508	508	508	-1	0	1	0	0	0	0	0	0	0	15000	0	0	0	-1	0	0				-1	
#																																																														
600	命中增加	命中修正值	99999	闪避修正值	0	会心修正值																													13	STD_IMPACT_003	1	600	600	600	1	0	1	1	0	0	0	0	0	1	1200000	0	0	0	-1	0	0				417000	
#	战车附魔																																																													
1000	战车附魔	攻击加成	3	防御加成	3	最大生命加成	3	命中加成	2	闪避加成	2	暴击加成	2	减免加成	2	暴击伤害加成	2	暴击伤害减免加成	2	附魔等级(对应ChariotAttribAddition.tab中的index)	1														100	战车附魔buff	1	1000	1000	1000	1	1	0	0	0	0	0	0	0	1	604800000	0	0	0	-1	0	0	战车附魔后将战车属性加成到角色身上			-1	
1001	战车附魔	攻击加成	5	防御加成	5	最大生命加成	5	命中加成	3	闪避加成	4	暴击加成	4	减免加成	4	暴击伤害加成	4	暴击伤害减免加成	4	附魔等级(对应ChariotAttribAddition.tab中的index)	2														100	战车附魔buff	1	1001	1000	1001	1	1	0	0	0	0	0	0	0	1	604800000	0	0	0	-1	0	0	战车附魔后将战车属性加成到角色身上			-1	
1002	战车附魔	攻击加成	9	防御加成	9	最大生命加成	9	命中加成	4	闪避加成	6	暴击加成	5	减免加成	6	暴击伤害加成	6	暴击伤害减免加成	6	附魔等级(对应ChariotAttribAddition.tab中的index)	3														100	战车附魔buff	1	1002	1000	1002	1	1	0	0	0	0	0	0	0	1	604800000	0	0	0	-1	0	0	战车附魔后将战车属性加成到角色身上			-1	
1003	战车附魔	攻击加成	15	防御加成	15	最大生命加成	15	命中加成	5	闪避加成	8	暴击加成	6	减免加成	8	暴击伤害加成	8	暴击伤害减免加成	8	附魔等级(对应ChariotAttribAddition.tab中的index)	4														100	战车附魔buff	1	1003	1000	1003	1	1	0	0	0	0	0	0	0	1	604800000	0	0	0	-1	0	0	战车附魔后将战车属性加成到角色身上			-1	
1004	战车附魔	攻击加成	20	防御加成	20	最大生命加成	20	命中加成	7	闪避加成	10	暴击加成	8	减免加成	10	暴击伤害加成	10	暴击伤害减免加成	10	附魔等级(对应ChariotAttribAddition.tab中的index)	5														100	战车附魔buff	1	1004	1000	1004	1	1	0	0	0	0	0	0	0	1	604800000	0	0	0	-1	0	0	战车附魔后将战车属性加成到角色身上			-1	
#	武士技能																																							#																			0	0	-1	
1210	战车BUFF	"可否使用任何技能：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	-1	"可否使用门派技能：0-无法使用相关技能，1-可以使用相关技能）,-1无效"	-1	"可否移动：0-无法移动，1-可以移动）, -1无效"	-1	"无敌：0-非无敌，1-无敌）,-1无效"	1	移动速度修正（0为无效）	0	隐身级别修正（0为无效）	0	反隐级别修正（0为无效）		变身ID(-1为无效)	-1	骑乘ID(-1为无效)	-1	受控于标记4	-1	伤害修正(0:修正 -1:不修正)	-1												14	STD_IMPACT_0014	1	1210	256	1210	1	0	1	0	0	0	0	0	1	0	-1	0	0	0	-1	0	0				-1	
1211	冲锋斩	场景ID	-1		0		0																												9	STD_IMPACT_001	0	1211	1	1211	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	HPDOT1减血	0	0	-1	
1212	冲锋斩	场景ID	-1		0		0																												9	STD_IMPACT_001	0	1212	1	1212	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	HPDOT1减血	0	0	-1	
1213	冲锋斩	场景ID	-1		0		0																												9	STD_IMPACT_001	0	1213	1	1213	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	HPDOT1减血	0	0	-1	
1214	冲锋斩	场景ID	-1		0		0																												9	STD_IMPACT_001	0	1214	1	1214	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	HPDOT1减血	0	0	-1	
1215	冲锋斩	场景ID	-1		0		0																												9	STD_IMPACT_001	0	1215	1	1215	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	HPDOT1减血	0	0	-1	
1216	冲锋斩	场景ID	-1		0		0																												9	STD_IMPACT_001	0	1216	1	1216	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	HPDOT1减血	0	0	-1	
1217	冲锋斩	场景ID	-1		0		0																												9	STD_IMPACT_001	0	1217	1	1217	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	HPDOT1减血	0	0	-1	
1218	冲锋斩	场景ID	-1		0		0																												9	STD_IMPACT_001	0	1218	1	1218	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	HPDOT1减血	0	0	-1	
1219	冲锋斩	场景ID	-1		0		0																												9	STD_IMPACT_001	0	1219	1	1219	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	HPDOT1减血	0	0	-1	
1220	冲锋斩	场景ID	-1		0		0																												9	STD_IMPACT_001	0	1220	1	1220	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	HPDOT1减血	0	0	-1	
1221	猛击	近程攻击伤害百分比	10	远程攻击伤害百分比		魔法伤害百分比		冰伤害百分比		火伤害百分比		电伤害百分比		毒伤害百分比																					61	STD_IMPACT_003	0	1221	2	1221	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0				-1	
1222	猛击	近程攻击伤害百分比	20	远程攻击伤害百分比		魔法伤害百分比		冰伤害百分比		火伤害百分比		电伤害百分比		毒伤害百分比																					61	STD_IMPACT_003	0	1222	2	1222	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0				-1	
1223	猛击	近程攻击伤害百分比	30	远程攻击伤害百分比		魔法伤害百分比		冰伤害百分比		火伤害百分比		电伤害百分比		毒伤害百分比																					61	STD_IMPACT_003	0	1223	2	1223	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0				-1	
1224	猛击	近程攻击伤害百分比	40	远程攻击伤害百分比		魔法伤害百分比		冰伤害百分比		火伤害百分比		电伤害百分比		毒伤害百分比																					61	STD_IMPACT_003	0	1224	2	1224	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0				-1	
1225	猛击	近程攻击伤害百分比	50	远程攻击伤害百分比		魔法伤害百分比		冰伤害百分比		火伤害百分比		电伤害百分比		毒伤害百分比																					61	STD_IMPACT_003	0	1225	2	1225	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0				-1	
1226	猛击	近程攻击伤害百分比	60	远程攻击伤害百分比		魔法伤害百分比		冰伤害百分比		火伤害百分比		电伤害百分比		毒伤害百分比																					61	STD_IMPACT_003	0	1226	2	1226	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0				-1	
1227	猛击	近程攻击伤害百分比	70	远程攻击伤害百分比		魔法伤害百分比		冰伤害百分比		火伤害百分比		电伤害百分比		毒伤害百分比																					61	STD_IMPACT_003	0	1227	2	1227	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0				-1	
