NUM	NUM	NUM	NUM	TEXT	NUM	TEXT	NUM
45	2	3	1	0|1	2000	2|3	500
46	2	3	2	0|1	5000	2|3	500
47	2	3	3	0|1	10000	2|3	500
48	2	3	4	0|1	20000	2|3	500
49	2	3	5	0|1	50000	2|3	500
50	2	3	6	0|1	100000	2|3	500
51	2	3	7	0|1	200000	2|3	500
52	2	3	8	0|1	300000	2|3	500
53	2	3	9	0|1	400000	2|3	500
54	3	1	1	0|1	300	2|3	100
55	3	1	2	0|1	500	2|3	100
56	3	1	3	0|1	1000	2|3	100
57	3	1	4	0|1	3000	2|3	100
58	3	1	5	0|1	5000	2|3	100
59	3	1	6	0|1	10000	2|3	100
60	3	1	7	0|1	20000	2|3	100
61	3	1	8	0|1	30000	2|3	100
62	3	1	9	0|1	40000	2|3	100
63	3	2	1	0|1	500	2|3	300
64	3	2	2	0|1	1000	2|3	300
65	3	2	3	0|1	3000	2|3	300
66	3	2	4	0|1	5000	2|3	300
67	3	2	5	0|1	10000	2|3	300
68	3	2	6	0|1	30000	2|3	300
69	3	2	7	0|1	50000	2|3	300
70	3	2	8	0|1	75000	2|3	300
71	3	2	9	0|1	100000	2|3	300
72	3	3	1	0|1	2000	2|3	500
73	3	3	2	0|1	5000	2|3	500
74	3	3	3	0|1	10000	2|3	500
75	3	3	4	0|1	20000	2|3	500
76	3	3	5	0|1	50000	2|3	500
77	3	3	6	0|1	100000	2|3	500
78	3	3	7	0|1	200000	2|3	500
79	3	3	8	0|1	300000	2|3	500
80	3	3	9	0|1	400000	2|3	500
81	4	1	1	0|1	300	2|3	100
82	4	1	2	0|1	500	2|3	100
83	4	1	3	0|1	1000	2|3	100
84	4	1	4	0|1	3000	2|3	100
85	4	1	5	0|1	5000	2|3	100
86	4	1	6	0|1	10000	2|3	100
87	4	1	7	0|1	20000	2|3	100
88	4	1	8	0|1	30000	2|3	100
89	4	1	9	0|1	40000	2|3	100
90	4	2	1	0|1	500	2|3	300
91	4	2	2	0|1	1000	2|3	300
92	4	2	3	0|1	3000	2|3	300
93	4	2	4	0|1	5000	2|3	300
94	4	2	5	0|1	10000	2|3	300
95	4	2	6	0|1	30000	2|3	300
96	4	2	7	0|1	50000	2|3	300
97	4	2	8	0|1	75000	2|3	300
98	4	2	9	0|1	100000	2|3	300
99	4	3	1	0|1	2000	2|3	500
100	4	3	2	0|1	5000	2|3	500
101	4	3	3	0|1	10000	2|3	500
102	4	3	4	0|1	20000	2|3	500
103	4	3	5	0|1	50000	2|3	500
104	4	3	6	0|1	100000	2|3	500
105	4	3	7	0|1	200000	2|3	500
106	4	3	8	0|1	300000	2|3	500
107	4	3	9	0|1	400000	2|3	500
108	5	1	1	0|1	300	2|3	100
109	5	1	2	0|1	500	2|3	100
110	5	1	3	0|1	1000	2|3	100
111	5	1	4	0|1	3000	2|3	100
112	5	1	5	0|1	5000	2|3	100
113	5	1	6	0|1	10000	2|3	100
114	5	1	7	0|1	20000	2|3	100
115	5	1	8	0|1	30000	2|3	100
116	5	1	9	0|1	40000	2|3	100
117	5	2	1	0|1	500	2|3	300
118	5	2	2	0|1	1000	2|3	300
119	5	2	3	0|1	3000	2|3	300
120	5	2	4	0|1	5000	2|3	300
121	5	2	5	0|1	10000	2|3	300
122	5	2	6	0|1	30000	2|3	300
123	5	2	7	0|1	50000	2|3	300
124	5	2	8	0|1	75000	2|3	300
125	5	2	9	0|1	100000	2|3	300
126	5	3	1	0|1	2000	2|3	500
127	5	3	2	0|1	5000	2|3	500
128	5	3	3	0|1	10000	2|3	500
129	5	3	4	0|1	20000	2|3	500
130	5	3	5	0|1	50000	2|3	500
131	5	3	6	0|1	100000	2|3	500
132	5	3	7	0|1	200000	2|3	500
133	5	3	8	0|1	300000	2|3	500
134	5	3	9	0|1	400000	2|3	500
135	6	1	1	2	5	2	100
136	6	1	2	2	10	2	100
137	6	1	3	2	20	2	100
138	6	1	4	2	40	2	100
139	6	1	5	2	70	2	100
140	6	1	6	2	100	2	100
141	6	1	7	2	150	2	100
142	6	1	8	2	200	2	100
143	6	1	9	2	400	2	100
144	6	2	1	2	10	2	300
145	6	2	2	2	20	2	300
146	6	2	3	2	50	2	300
147	6	2	4	2	100	2	300
148	6	2	5	2	200	2	300
149	6	2	6	2	600	2	300
150	6	2	7	2	1000	2	300
151	6	2	8	2	1500	2	300
152	6	2	9	2	2000	2	300
153	6	3	1	2	200	2	500
154	6	3	2	2	500	2	500
155	6	3	3	2	1000	2	500
156	6	3	4	2	2000	2	500
157	6	3	5	2	5000	2	500
158	6	3	6	2	8000	2	500
159	6	3	7	2	10000	2	500
160	6	3	8	2	15000	2	500
161	6	3	9	2	20000	2	500
162	7	1	1	2	5	2	100
163	7	1	2	2	10	2	100
164	7	1	3	2	20	2	100
165	7	1	4	2	40	2	100
166	7	1	5	2	70	2	100
167	7	1	6	2	100	2	100
168	7	1	7	2	150	2	100
169	7	1	8	2	200	2	100
170	7	1	9	2	400	2	100
171	7	2	1	2	10	2	300
172	7	2	2	2	20	2	300
173	7	2	3	2	50	2	300
174	7	2	4	2	100	2	300
175	7	2	5	2	200	2	300
176	7	2	6	2	600	2	300
177	7	2	7	2	1000	2	300
178	7	2	8	2	1500	2	300
179	7	2	9	2	2000	2	300
180	7	3	1	2	200	2	500
181	7	3	2	2	500	2	500
182	7	3	3	2	1000	2	500
183	7	3	4	2	2000	2	500
184	7	3	5	2	5000	2	500
185	7	3	6	2	8000	2	500
186	7	3	7	2	10000	2	500
187	7	3	8	2	15000	2	500
188	7	3	9	2	20000	2	500
189	8	1	1	2	5	2	100
190	8	1	2	2	10	2	100
191	8	1	3	2	20	2	100
192	8	1	4	2	40	2	100
193	8	1	5	2	70	2	100
194	8	1	6	2	100	2	100
195	8	1	7	2	150	2	100
196	8	1	8	2	200	2	100
197	8	1	9	2	400	2	100
198	8	2	1	2	10	2	300
199	8	2	2	2	20	2	300
200	8	2	3	2	50	2	300
201	8	2	4	2	100	2	300
202	8	2	5	2	200	2	300
203	8	2	6	2	600	2	300
204	8	2	7	2	1000	2	300
205	8	2	8	2	1500	2	300
206	8	2	9	2	2000	2	300
207	8	3	1	2	200	2	500
208	8	3	2	2	500	2	500
209	8	3	3	2	1000	2	500
210	8	3	4	2	2000	2	500
211	8	3	5	2	5000	2	500
212	8	3	6	2	8000	2	500
213	8	3	7	2	10000	2	500
214	8	3	8	2	15000	2	500
215	8	3	9	2	20000	2	500
216	9	1	1	2	5	2	100
217	9	1	2	2	10	2	100
218	9	1	3	2	20	2	100
219	9	1	4	2	40	2	100
220	9	1	5	2	70	2	100
221	9	1	6	2	100	2	100
222	9	1	7	2	150	2	100
223	9	1	8	2	200	2	100
224	9	1	9	2	400	2	100
225	9	2	1	2	10	2	300
226	9	2	2	2	20	2	300
227	9	2	3	2	50	2	300
228	9	2	4	2	100	2	300
229	9	2	5	2	200	2	300
230	9	2	6	2	600	2	300
231	9	2	7	2	1000	2	300
232	9	2	8	2	1500	2	300
233	9	2	9	2	2000	2	300
234	9	3	1	2	200	2	500
235	9	3	2	2	500	2	500
236	9	3	3	2	1000	2	500
237	9	3	4	2	2000	2	500
238	9	3	5	2	5000	2	500
239	9	3	6	2	8000	2	500
240	9	3	7	2	10000	2	500
241	9	3	8	2	15000	2	500
242	9	3	9	2	20000	2	500
243	10	1	1	2	5	2	100
244	10	1	2	2	10	2	100
245	10	1	3	2	20	2	100
246	10	1	4	2	40	2	100
247	10	1	5	2	70	2	100
248	10	1	6	2	100	2	100
249	10	1	7	2	150	2	100
250	10	1	8	2	200	2	100
251	10	1	9	2	400	2	100
252	10	2	1	2	10	2	300
253	10	2	2	2	20	2	300
254	10	2	3	2	50	2	300
255	10	2	4	2	100	2	300
256	10	2	5	2	200	2	300
257	10	2	6	2	600	2	300
258	10	2	7	2	1000	2	300
259	10	2	8	2	1500	2	300
260	10	2	9	2	2000	2	300
261	10	3	1	2	200	2	500
262	10	3	2	2	500	2	500
263	10	3	3	2	1000	2	500
264	10	3	4	2	2000	2	500
265	10	3	5	2	5000	2	500
266	10	3	6	2	8000	2	500
267	10	3	7	2	10000	2	500
268	10	3	8	2	15000	2	500
269	10	3	9	2	20000	2	500
