NUM	NUM	TEXT	NUM	NUM	FLOAT	FLOAT	FLOAT	TEXT	NUM	NUM	NUM	NUM	TEXT	TEXT	NUM	NUM	NUM	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	CNC	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	TEXT	NUM	NUM	TEXT	TEXT	NUM	NUM	NUM	NUM	NUM	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
10	0	马匹	-1	-1	-1	200	100	set:CJSH_Ma_touxiang_1 image:CJSH_Ma_touxiang_1_11	1004	1	-1	-1	镖车右绑定点	镖车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	10000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	6900	5900	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	-1	-1	-1	-1	-1		0	0	0	-1	-1	-1	-1	-1	3	0	5	25
11	0	粮车	-1	-1	-1	200	100	set:CJSH_Ma_touxiang_2 image:CJSH_Ma_touxiang_2_5	2348	1	1005	1005	镖车右绑定点	镖车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	10000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	6900	5900	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	-1	-1	-1	-1	-1		0	0	0	-1	-1	-1	-1	-1	3	0	5	25
12	0	村民	-1	-1	-1	200	100	set:CJSH_NPC_touxiang_4 image:CJSH_NPC_touxiang_4_10	2085	1	-1	-1	镖车右绑定点	镖车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	10000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	6900	5900	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	-1	-1	-1	-1	-1		0	0	0	-1	-1	-1	-1	-1	3	0	5	25
13	0	矿车	-1	-1	-1	200	100	set:CJSH_Ma_touxiang_2 image:CJSH_Ma_touxiang_2_5	2352	1	1005	1005	镖车右绑定点	镖车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	10000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	6900	5900	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	-1	-1	-1	-1	-1		0	0	0	-1	-1	-1	-1	-1	3	0	5	25
14	0	海货	-1	-1	-1	200	100	set:CJSH_Ma_touxiang_2 image:CJSH_Ma_touxiang_2_5	2353	1	1005	1005	镖车右绑定点	镖车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	10000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	6900	5900	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	-1	-1	-1	-1	-1		0	0	0	-1	-1	-1	-1	-1	3	0	5	25
15	0	朝廷圣物	-1	-1	-1	200	100	set:CJSH_Ma_touxiang_2 image:CJSH_Ma_touxiang_2_5	3078	1	1005	1005	镖车右绑定点	镖车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	10000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	6900	5900	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	-1	-1	-1	-1	-1		0	0	0	-1	-1	-1	-1	-1	3	0	5	25
16	0	马匹	-1	-1	-1	200	100	set:CJSH_Ma_touxiang_1 image:CJSH_Ma_touxiang_1_6	1005	1	-1	-1	镖车右绑定点	镖车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	10000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1500	1500	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	-1	-1	-1	-1	-1		0	0	0	-1	-1	-1	-1	-1	3	0	5	25
17	0	马匹	-1	-1	-1	200	100	set:CJSH_Ma_touxiang_2 image:CJSH_Ma_touxiang_2_9	1006	1	-1	-1	镖车右绑定点	镖车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	10000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1500	1500	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	-1	-1	-1	-1	-1		0	0	0	-1	-1	-1	-1	-1	3	0	5	25
18	0	马匹	-1	-1	-1	200	100	set:CJSH_Ma_touxiang_2 image:CJSH_Ma_touxiang_2_4	1007	1	-1	-1	镖车右绑定点	镖车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	10000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1500	1500	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	-1	-1	-1	-1	-1		0	0	0	-1	-1	-1	-1	-1	3	0	5	25
19	0	马匹	-1	-1	-1	200	100	set:CJSH_Ma_touxiang_2 image:CJSH_Ma_touxiang_2_14	1008	1	-1	-1	镖车右绑定点	镖车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	10000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1500	1500	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	-1	-1	-1	-1	-1		0	0	0	-1	-1	-1	-1	-1	3	0	5	25
20	0	马匹	-1	-1	-1	200	100	set:CJSH_Ma_touxiang_1 image:CJSH_Ma_touxiang_1_5	1009	1	-1	-1	镖车右绑定点	镖车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	10000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1500	1500	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	-1	-1	-1	-1	-1		0	0	0	-1	-1	-1	-1	-1	3	0	5	25
21	0	空马车	-1	-1	-1	200	100	set:CJSH_Ma_touxiang_2 image:CJSH_Ma_touxiang_2_5	2406	1	1005	1005	镖车右绑定点	镖车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	10000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1500	1500	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	-1	-1	-1	-1	-1		0	0	0	-1	-1	-1	-1	-1	3	0	5	25
22	0	空马车	-1	-1	-1	200	100	set:CJSH_Ma_touxiang_2 image:CJSH_Ma_touxiang_2_5	2406	1	1006	1006	镖车右绑定点	镖车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	10000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1500	1500	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	-1	-1	-1	-1	-1		0	0	0	-1	-1	-1	-1	-1	3	0	5	25
23	0	空马车	-1	-1	-1	200	100	set:CJSH_Ma_touxiang_2 image:CJSH_Ma_touxiang_2_5	2406	1	1007	1007	镖车右绑定点	镖车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	10000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1500	1500	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	-1	-1	-1	-1	-1		0	0	0	-1	-1	-1	-1	-1	3	0	5	25
24	0	空马车	-1	-1	-1	200	100	set:CJSH_Ma_touxiang_2 image:CJSH_Ma_touxiang_2_5	2406	1	1008	1008	镖车右绑定点	镖车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	10000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1500	1500	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	-1	-1	-1	-1	-1		0	0	0	-1	-1	-1	-1	-1	3	0	5	25
25	0	空马车	-1	-1	-1	200	100	set:CJSH_Ma_touxiang_2 image:CJSH_Ma_touxiang_2_5	2406	1	1009	1009	镖车右绑定点	镖车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	10000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1500	1500	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	-1	-1	-1	-1	-1		0	0	0	-1	-1	-1	-1	-1	3	0	5	25
26	0	装满货物的马车	-1	-1	-1	200	100	set:CJSH_Ma_touxiang_2 image:CJSH_Ma_touxiang_2_5	2348	1	1005	1005	镖车右绑定点	镖车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	10000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1500	1500	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	-1	-1	-1	-1	-1		0	0	0	-1	-1	-1	-1	-1	3	0	5	25
27	0	装满货物的马车	-1	-1	-1	200	100	set:CJSH_Ma_touxiang_2 image:CJSH_Ma_touxiang_2_5	2352	1	1006	1006	镖车右绑定点	镖车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	10000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1500	1500	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	-1	-1	-1	-1	-1		0	0	0	-1	-1	-1	-1	-1	3	0	5	25
28	0	装满货物的马车	-1	-1	-1	200	100	set:CJSH_Ma_touxiang_2 image:CJSH_Ma_touxiang_2_5	2353	1	1007	1007	镖车右绑定点	镖车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	10000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1500	1500	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	-1	-1	-1	-1	-1		0	0	0	-1	-1	-1	-1	-1	3	0	5	25
29	0	装满货物的马车	-1	-1	-1	200	100	set:CJSH_Ma_touxiang_2 image:CJSH_Ma_touxiang_2_5	2349	1	1008	1008	镖车右绑定点	镖车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	10000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1500	1500	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	-1	-1	-1	-1	-1		0	0	0	-1	-1	-1	-1	-1	3	0	5	25
30	0	装满货物的马车	-1	-1	-1	200	100	set:CJSH_Ma_touxiang_2 image:CJSH_Ma_touxiang_2_5	2350	1	1009	1009	镖车右绑定点	镖车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	10000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1500	1500	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	-1	-1	-1	-1	-1		0	0	0	-1	-1	-1	-1	-1	3	0	5	25
31	1	淘气的小孩	-1	-1	-1	200	100	set:CJSH_NPC_touxiang_14 image:CJSH_NPC_touxiang_14_13	2028	1	-1	-1	人物身体中心点	人物身体中心点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	10000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	2500	2500	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	-1	-1	-1	-1	-1		0	0	0	-1	-1	-1	-1	-1	3	0	5	25
32	1	公车	-1	1	-1	200	100	set:HAN2_Monster_touxiang_3 image:HAN2_Monster_touxiang_3_13	3092	2	-1	-1	镖车右绑定点	镖车左绑定点	10	1	0									坐骑马背部绑定点1	坐骑马背部绑定点2	坐骑马背部绑定点3	坐骑马背部绑定点4	坐骑马背部绑定点5	坐骑马背部绑定点6	坐骑马背部绑定点7	坐骑马背部绑定点8		1	10000	1	2	2	2	2	999999	999999	999999	9999999	100	9999999	0	50	9999999	5	9999999	0	0	0	0	0	0	0	0		400	3600	1200	1200	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	-1	-1	-1	-1	-1		1	8	1	-1	-1	-1	-1	-1	1	0	5	25
33	1	公车	-1	1	-1	200	100	set:HAN2_Monster_touxiang_3 image:HAN2_Monster_touxiang_3_13	3092	2	-1	-1	镖车右绑定点	镖车左绑定点	10	1	0									坐骑马背部绑定点1	坐骑马背部绑定点2	坐骑马背部绑定点3	坐骑马背部绑定点4	坐骑马背部绑定点5	坐骑马背部绑定点6	坐骑马背部绑定点7	坐骑马背部绑定点8		1	10000	1	2	2	2	2	999999	999999	999999	9999999	100	9999999	0	50	9999999	5	9999999	0	0	0	0	0	0	0	0		400	3600	1200	1200	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	-1	-1	-1	-1	-1		1	8	1	-1	-1	-1	-1	-1	1	0	5	25
34	1	公车	-1	1	-1	200	100	set:HAN2_Monster_touxiang_3 image:HAN2_Monster_touxiang_3_13	3092	2	-1	-1	镖车右绑定点	镖车左绑定点	10	1	0									坐骑马背部绑定点1	坐骑马背部绑定点2	坐骑马背部绑定点3	坐骑马背部绑定点4	坐骑马背部绑定点5	坐骑马背部绑定点6	坐骑马背部绑定点7	坐骑马背部绑定点8		1	10000	1	2	2	2	2	999999	999999	999999	9999999	100	9999999	0	50	9999999	5	9999999	0	0	0	0	0	0	0	0		400	3600	1200	1200	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	-1	-1	-1	-1	-1		1	8	1	-1	-1	-1	-1	-1	1	0	5	25
35	0	翼龙飞行器	-1	-1	-1	200	100	set:HAN2_Other_touxiang_3 image:HAN2_Other_touxiang_3_12	2665	1	-1	-1	运输车右绑定点	运输车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	400000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1500	1500	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	11220	-1	-1	-1	-1		0	8	0	14000	-1	-1	-1	-1	0	0	5	25
36	0	翼龙飞行器	-1	-1	-1	200	100	set:HAN2_Other_touxiang_3 image:HAN2_Other_touxiang_3_12	2665	1	-1	-1	运输车右绑定点	运输车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	480000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1500	1500	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	11220	-1	-1	-1	-1		0	8	0	14000	-1	-1	-1	-1	0	0	5	25
37	0	翼龙飞行器	-1	-1	-1	200	100	set:HAN2_Other_touxiang_3 image:HAN2_Other_touxiang_3_12	2665	1	-1	-1	运输车右绑定点	运输车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	640000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1500	1500	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	11220	-1	-1	-1	-1		0	8	0	14000	-1	-1	-1	-1	0	0	5	25
38	0	官府马车	-1	-1	-1	200	100	set:HAN2_Other_touxiang_6 image:HAN2_Other_touxiang_6_3	2350	1	1257	1257	镖车右绑定点	镖车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	400000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1500	2000	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	11220	-1	-1	-1	-1		0	8	0	14000	-1	-1	-1	-1	0	0	5	25
39	0	官府马车	-1	-1	-1	200	100	set:HAN2_Other_touxiang_6 image:HAN2_Other_touxiang_6_3	2350	1	1257	1257	镖车右绑定点	镖车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	480000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1500	2000	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	11220	-1	-1	-1	-1		0	8	0	14000	-1	-1	-1	-1	0	0	5	25
40	0	官府马车	-1	-1	-1	200	100	set:HAN2_Other_touxiang_6 image:HAN2_Other_touxiang_6_3	2350	1	1257	1257	镖车右绑定点	镖车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	640000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1500	2000	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	11220	-1	-1	-1	-1		0	8	0	14000	-1	-1	-1	-1	0	0	5	25
41	0	女香客	-1	-1	-1	200	100	set:CJSH_NPC_touxiang_4 image:CJSH_NPC_touxiang_4_10	2085	1	-1	-1	镖车右绑定点	镖车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	10000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	3500	3500	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	-1	-1	-1	-1	-1		0	0	0	-1	-1	-1	-1	-1	3	0	5	25
42	0	王国战车	-1	-1	-1	200	100	set:HAN2_Other_touxiang_3 image:HAN2_Other_touxiang_3_13	2650	1	-1	-1	镖车右绑定点	镖车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	720000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1500	1500	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	11220	-1	-1	-1	-1		0	8	0	14000	-1	-1	-1	-1	0	0	5	25
43	0	王国战车	-1	-1	-1	200	100	set:HAN2_Other_touxiang_3 image:HAN2_Other_touxiang_3_14	2651	1	-1	-1	镖车右绑定点	镖车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	720000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1500	1500	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	11220	-1	-1	-1	-1		0	8	0	14000	-1	-1	-1	-1	0	0	5	25
44	0	王国战车	-1	-1	-1	200	100	set:HAN2_Other_touxiang_3 image:HAN2_Other_touxiang_3_15	2652	1	-1	-1	镖车右绑定点	镖车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	720000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1500	1500	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	11220	-1	-1	-1	-1		0	8	0	14000	-1	-1	-1	-1	0	0	5	25
45	1	飞行器	-1	1	-1	200	100	set:CJSH_Monster_touxiang_3 image:CJSH_Monster_touxiang_3_13	2427	2	-1	-1			10	1	0									坐骑马背部绑定点									1	10000	1	2	2	2	2	999999	999999	999999	9999999	100	9999999	0	50	9999999	5	9999999	0	0	0	0	0	0	0	0		400	3600	10000	10000	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	-1	-1	-1	-1	-1		1	8	1	-1	-1	-1	-1	-1	1	0	5	25
46	0	战车	-1	-1	-1	200	100	set:HAN2_Other_touxiang_7 image:HAN2_Other_touxiang_7_8	4377	1	-1	-1	镖车右绑定点	镖车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	720000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	5500	5500	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	11220	-1	-1	-1	-1		0	8	0	14000	-1	-1	-1	-1	0	0	5	25
47	1	寒玉矿车	-1	-1	-1	200	100	set:HAN2_Other_touxiang_6 image:HAN2_Other_touxiang_6_3	2815	1	1005	1005	镖车右绑定点	镖车左绑定点	10	1	0																		1	10000	10	2	2	2	2	2	2	2	640000	100	0	0	50	1	5	0	0	0	0	0	0	0	0	0		400	3600	1500	1500	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	11220	-1	-1	-1	-1		0	8	0	14000	-1	-1	-1	-1	0	0	5	25
48	1	天运寒玉车	-1	-1	-1	200	100	set:CJSH_Monster_touxiang_14 image:CJSH_Monster_touxiang_14_15	2651	1	-1	-1	镖车右绑定点	镖车左绑定点	10	1	0																		1	10000	10	2	2	2	2	250	250	250	4413120	100	0	0	135	70	40	40	0	0	0	0	0	0	0	0		400	3600	1500	1500	100	-1	-1	0	-1	5	0	-1	-1	20	0	-1	0	-1		-1		l	11220	-1	-1	-1	-1		0	8	0	14000	-1	-1	-1	-1	0	0	5	25
