NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	TEXT	TEXT
138	掌门牌：清一色喜相逢	1	-1	-1	-1	-1	-1	163	10	50	10	-1	-1	-1	-1	10310038	符文效果01_紫01	人物右肩绑定点	符文效果01_紫01	人物左肩绑定点
139	掌门牌：清一色花牌	1	-1	-1	-1	-1	-1	163	10	51	10	-1	-1	-1	-1	10310039	符文效果01_紫01	人物右肩绑定点	符文效果01_紫01	人物左肩绑定点
140	小四喜(30天)	-1	98	98	98	98	96	163	17	-1	-1	-1	-1	-1	-1	10310040	符文效果01_蓝01	人物右肩绑定点	符文效果01_蓝01	人物左肩绑定点
141	小四喜(60天)	-1	98	98	98	98	96	163	17	-1	-1	-1	-1	-1	-1	10310041	符文效果01_蓝01	人物右肩绑定点	符文效果01_蓝01	人物左肩绑定点
142	掌门牌：小四喜·天尊(永不磨损)	-1	98	98	98	98	96	163	17	53	10	-1	-1	-1	-1	10310042	符文效果01_蓝01	人物右肩绑定点	符文效果01_蓝01	人物左肩绑定点
143	掌门牌：小四喜·武圣(永不磨损)	-1	98	98	98	98	96	163	17	53	15	-1	-1	-1	-1	10310043	符文效果01_蓝01	人物右肩绑定点	符文效果01_蓝01	人物左肩绑定点
144	掌门牌：小四喜·战神(永不磨损)	-1	98	98	98	98	96	163	17	53	20	-1	-1	-1	-1	10310044	符文效果01_蓝01	人物右肩绑定点	符文效果01_蓝01	人物左肩绑定点
145	小四喜：破军(永不磨损)	-1	98	98	98	98	96	163	17	8	100	22	2000	53	10	10310045	符文效果01_蓝01	人物右肩绑定点	符文效果01_蓝01	人物左肩绑定点
146	小四喜：铁壁(永不磨损)	-1	98	98	98	98	96	163	17	8	100	22	2000	54	10	10310046	符文效果01_蓝01	人物右肩绑定点	符文效果01_蓝01	人物左肩绑定点
147	小四喜：贪狼(永不磨损)	-1	98	98	98	98	96	163	17	8	100	22	2000	50	10	10310047	符文效果01_蓝01	人物右肩绑定点	符文效果01_蓝01	人物左肩绑定点
148	小四喜：紫微(永不磨损)	-1	98	98	98	98	96	163	17	8	100	22	2000	51	10	10310048	符文效果01_蓝01	人物右肩绑定点	符文效果01_蓝01	人物左肩绑定点
149	小四喜：北斗(永不磨损)	-1	98	98	98	98	96	163	17	8	100	22	2000	-1	-1	10310049	符文效果01_蓝01	人物右肩绑定点	符文效果01_蓝01	人物左肩绑定点
150	圣·唯我独尊(永不磨损)	-1	98	98	98	98	96	163	17	8	120	22	2500	53	10	10310050	符文效果01_蓝01	人物右肩绑定点	符文效果01_蓝01	人物左肩绑定点
151	圣·武动乾坤(永不磨损)	-1	98	98	98	98	96	163	17	8	140	22	3000	53	15	10310051	符文效果01_蓝01	人物右肩绑定点	符文效果01_蓝01	人物左肩绑定点
152	圣·战天斗地(永不磨损)	-1	98	98	98	98	96	163	17	8	160	22	3500	53	20	10310052	符文效果01_蓝01	人物右肩绑定点	符文效果01_蓝01	人物左肩绑定点
153	掌门牌：真爱永恒（30天）	0	-1	-1	-1	-1	-1	115	10	-1	-1	-1	-1	-1	-1	10310053	符文效果01_蓝01	人物右肩绑定点	符文效果01_蓝01	人物左肩绑定点
154	掌门牌：爱无止境（30天）	0	-1	-1	-1	-1	-1	115	7	-1	-1	-1	-1	-1	-1	10310054	符文效果01_蓝01	人物右肩绑定点	符文效果01_蓝01	人物左肩绑定点
155	掌门牌：情比金坚（30天）	0	-1	-1	-1	-1	-1	115	5	-1	-1	-1	-1	-1	-1	10310055	符文效果01_蓝01	人物右肩绑定点	符文效果01_蓝01	人物左肩绑定点
156	圣·青龙腾空(永不磨损)	-1	98	98	98	98	96	163	45	8	3500	22	5000	97	50	10310056	ui_麻将符文效果01_01	人物身体受击点		
157	圣·白虎啸风(永不磨损)	-1	98	98	98	98	96	163	45	8	3500	22	5000	118	50	10310057	ui_麻将符文效果01_01	人物身体受击点		
158	圣·朱雀焚天(永不磨损)	-1	98	98	98	98	96	163	45	8	3500	22	5000	53	50	10310058	ui_麻将符文效果01_01	人物身体受击点		
159	圣·玄武震月(永不磨损)	-1	98	98	98	98	96	163	45	8	3500	22	5000	54	50	10310059	ui_麻将符文效果02_01	人物身体受击点		
160	圣·麒麟傲世(永不磨损)	-1	98	98	98	98	96	163	45	8	3500	22	5000	51	50	10310060	ui_麻将符文效果02_01	人物身体受击点		
201	条字一条龙	-1	100	101	102	-1	-1	149	30	-1	-1	-1	-1	-1	-1	10310020	符文效果04_蓝01	人物右肩绑定点	符文效果04_蓝01	人物左肩绑定点
301	筒字一条龙	-1	103	104	105	-1	-1	151	30	-1	-1	-1	-1	-1	-1	10310021	符文效果04_绿01	人物右肩绑定点	符文效果04_绿01	人物左肩绑定点
401	万字一条龙	-1	106	107	108	-1	-1	150	30	-1	-1	-1	-1	-1	-1	10310022	符文效果04_紫01	人物右肩绑定点	符文效果04_紫01	人物左肩绑定点
