NUM	NUM	TEXT	TEXT	NUM	TEXT	NUM	TEXT
110	12251037	守护之源·项链	5	1	146|147|148	20	24
111	12251038	守护之源·护手	5	1	146|147|148	30	25
112	12251039	守护之源·战靴	5	1	146|147|148	40	27
113	12251040	守护之源·主手	6	1	146|147|148	50	1|2|3|4|5|6|35|36|37|38|39|40
114	12251041	守护之源·副手	6	1	146|147|148	60	7|8|9|10|11|12|41|42|43|44|45|46
115	12251042	守护之源·头盔	6	1	146|147|148	70	20
116	12251043	守护之源·战甲	6	1	146|147|148	80	23
117	12251044	守护之源·腰带	6	1	146|147|148	90	26
118	12251045	守护之源·项链	6	1	146|147|148	10	24
119	12251046	守护之源·护手	6	1	146|147|148	20	25
120	12251047	守护之源·战靴	6	1	146|147|148	30	27
121	12251048	守护之源·主手	7	1	146|147|148	40	1|2|3|4|5|6|35|36|37|38|39|40
122	12251049	守护之源·副手	7	1	146|147|148	50	7|8|9|10|11|12|41|42|43|44|45|46
123	12251050	守护之源·头盔	7	1	146|147|148	60	20
124	12251051	守护之源·战甲	7	1	146|147|148	70	23
125	12251052	守护之源·腰带	7	1	146|147|148	80	26
126	12251053	守护之源·项链	7	1	146|147|148	90	24
127	12251054	守护之源·护手	7	1	146|147|148	100	25
128	12251055	守护之源·战靴	7	1	146|147|148	100	27
129	12251056	守护之源·主手	8	1	146|147|148	100	1|2|3|4|5|6|35|36|37|38|39|40
130	12251057	守护之源·副手	8	1	146|147|148	100	7|8|9|10|11|12|41|42|43|44|45|46
131	12251058	守护之源·头盔	8	1	146|147|148	100	20
132	12251059	守护之源·战甲	8	1	146|147|148	100	23
133	12251060	守护之源·腰带	8	1	146|147|148	100	26
134	12251061	守护之源·项链	8	1	146|147|148	100	24
135	12251062	守护之源·护手	8	1	146|147|148	100	25
136	12251063	守护之源·战靴	8	1	146|147|148	100	27
137	12251064	守护之源·主手	9	1	146|147|148	100	1|2|3|4|5|6|35|36|37|38|39|40
138	12251065	守护之源·副手	9	1	146|147|148	100	7|8|9|10|11|12|41|42|43|44|45|46
139	12251066	守护之源·头盔	9	1	146|147|148	100	20
140	12251067	守护之源·战甲	9	1	146|147|148	100	23
141	12251068	守护之源·腰带	9	1	146|147|148	100	26
142	12251069	守护之源·项链	9	1	146|147|148	100	24
143	12251070	守护之源·护手	9	1	146|147|148	100	25
144	12251071	守护之源·战靴	9	1	146|147|148	100	27
