NUM	TEXT	NUM	NUM	NUM	NUM	NUM	TEXT	NUM	NUM	NUM	TEXT	TEXT	NUM
50	囚龙岛	100	0	1	0	51	该榜收录本周三番囚龙岛副本完成总时间最短的前100名玩家。	-1	0	0			2
51	上周囚龙岛	100	0	1	3	-2	该榜收录上周三番囚龙岛副本完成总时间最短的前100名玩家。	-1	0	0			0
52	和氏璧	100	0	1	0	53	该榜收录本周三番和氏璧副本完成总时间最短的前100名玩家。	-1	0	0			2
53	上周和氏璧	100	0	1	3	-2	该榜收录上周三番和氏璧副本完成总时间最短的前100名玩家。	-1	0	0			0
54	赤血号	100	0	1	0	55	该榜收录本周三番赤血号副本完成总时间最短的前100名玩家。	-1	0	0			2
55	上周赤血号	100	0	1	3	-2	该榜收录上周三番赤血号副本完成总时间最短的前100名玩家。	-1	0	0			0
56	祝家庄	100	0	1	0	57	该榜收录本周三番祝家庄副本完成总时间最短的前100名玩家。	-1	0	0			2
57	上周祝家庄	100	0	1	3	-2	该榜收录上周三番祝家庄副本完成总时间最短的前100名玩家。	-1	0	0			0
58	轮回台	100	0	1	0	59	该榜收录本周轮回台副本完成总时间最短的前100名玩家。	-1	0	0			2
59	上周轮回台	100	0	1	3	-2	该榜收录上周轮回台副本完成总时间最短的前100名玩家。	-1	0	0			0
60	大教堂	100	0	1	0	61	该榜收录本周三番大教堂副本完成总时间最短的前100名玩家。	-1	0	0			2
61	上周大教堂	100	0	1	3	-2	该榜收录上周三番大教堂副本完成总时间最短的前100名玩家。	-1	0	0			0
62	夏王墓	100	0	1	0	63	该榜收录本周三番夏王墓副本完成总时间最短的前100名玩家。	-1	0	0			2
63	上周夏王墓	100	0	1	3	-2	该榜收录上周三番夏王墓副本完成总时间最短的前100名玩家。	-1	0	0			0
64	印度河	100	0	1	0	65	该榜收录本周三番印度河副本完成总时间最短的前100名玩家。	-1	0	0			2
65	上周印度河	100	0	1	3	-2	该榜收录上周三番印度河副本完成总时间最短的前100名玩家。	-1	0	0			0
66	楼兰等级	25	0	1	0	67	该榜收录本周楼兰等级最高的前25名玩家。	-1	0	0	你的等级在上周进入楼兰前25名，	请于周一到国家管理员处接受封赏，将获得先锋勇士荣誉称号，显示该称号时可获得特殊的属性奖励。	0
67	上周楼兰等级	25	0	1	3	-2	该榜收录上周楼兰等级最高的前25名玩家。	-1	0	0			0
68	天山等级	25	0	1	0	69	该榜收录本周天山等级最高的前25名玩家。	-1	0	0	你的等级在上周进入天山前25名，	请于周一到国家管理员处接受封赏，将获得先锋勇士荣誉称号，显示该称号时可获得特殊的属性奖励。	0
69	上周天山等级	25	0	1	3	-2	该榜收录上周天山等级最高的前25名玩家。	-1	0	0			0
70	昆仑等级	25	0	1	0	71	该榜收录本周昆仑等级最高的前25名玩家。	-1	0	0	你的等级在上周进入昆仑前25名，	请于周一到国家管理员处接受封赏，将获得先锋勇士荣誉称号，显示该称号时可获得特殊的属性奖励。	0
71	上周昆仑等级	25	0	1	3	-2	该榜收录上周昆仑等级最高的前25名玩家。	-1	0	0			0
72	敦煌等级	25	0	1	0	73	该榜收录本周敦煌等级最高的前25名玩家。	-1	0	0	你的等级在上周进入敦煌前25名，	请于周一到国家管理员处接受封赏，将获得先锋勇士荣誉称号，显示该称号时可获得特殊的属性奖励。	0
73	上周敦煌等级	25	0	1	3	-2	该榜收录上周敦煌等级最高的前25名玩家。	-1	0	0			0
74	天赋	100	2	1	0	75	该榜收录本周天赋等级最高的前100名玩家。	-1	0	0			0
75	上周天赋	100	2	1	3	-2	该榜收录上周天赋等级最高的前100名玩家。	-1	0	0			0
76	领地	7	-1	0	2	77	领地战排行榜	-1	0	0			0
77	上周领地	7	-1	1	2	-2	上周领地战排行榜	-1	0	0			0
78	上周国家强弱	4	0	1	2	-1	国家强弱排行榜，国家综合实力的体现。	-1	0	0			0
79	军阶	100	1	1	0	80	该榜收录军阶等级最高的100名。	-1	0	0			0
80	上周军阶	100	1	1	3	-2	该榜收录上周军阶等级最高的100名。	-1	0	0			0
81	战车荣誉	100	1000	1	0	82	该榜收录大于1000点战车荣誉，战车荣誉最多的100名。	-1	0	0			0
82	上周战车荣誉	100	1000	1	3	-2	该榜收录上周大于1000点战车荣誉，战车荣誉最多的100名。	-1	0	0			0
83	跨服帮会战	100	0	0	1	84	该榜收录本赛季战场积分排名前100的帮会。	-1	0	0			0
84	上赛季跨服帮会战	100	0	1	4	-2	该榜收录上赛季战场积分排名前100的帮会。	-1	0	0			0
85	跨服帮会战总	100	0	0	1	86	该榜收录战场总积分排名前100的帮会。	-1	0	0			0
86	上赛季跨服帮会战总	100	0	1	4	-2	该榜收录战场总积分排名前100的帮会。	-1	0	0			0
87	马币	100	100	1	0	88	该榜收录马币大于100最多的100名玩家	-1	0	0			0
88	上周马币	100	100	1	3	-2	该榜收录上周马币大于100最多的100名玩家	-1	0	0			0
89	赛马名次	100	0	1	0	90	该榜收录赛马积分前100名的玩家	-1	0	0			0
90	昨天赛马名次	100	0	1	3	-2	该榜收录昨天赛马积分前100名的玩家	-1	0	0			0
91	将魂点数	100	300	1	0	92	该榜收录将魂点数大于300，将魂点数最多的100名。	-1	0	0			0
92	上周将魂点数	100	300	1	3	-2	该榜收录上周将魂点数大于300，将魂点数最多的100名。	-1	0	0			0
93	灵力	100	1000	1	0	94	该榜收录灵力值大于1000，灵力值最多的前100名玩家。	-1	0	0			0
94	上周灵力	100	1000	1	3	-2	该榜收录上周灵力值大于1000，灵力值最多的前100名玩家。	-1	0	0			0
