{index=1,level=30,buffID=2240,buffDesc="经验获得增加1%"},
{index=40,level=1220,buffID=2279,buffDesc="经验获得增加40%"},
{index=41,level=1250,buffID=2280,buffDesc="经验获得增加41%"},
{index=42,level=1281,buffID=2281,buffDesc="经验获得增加42%"},
{index=43,level=1311,buffID=2282,buffDesc="经验获得增加43%"},
{index=44,level=1342,buffID=2283,buffDesc="经验获得增加44%"},
{index=45,level=1372,buffID=2284,buffDesc="经验获得增加45%"},
{index=46,level=1403,buffID=2285,buffDesc="经验获得增加46%"},
{index=47,level=1433,buffID=2286,buffDesc="经验获得增加47%"},
{index=48,level=1464,buffID=2287,buffDesc="经验获得增加48%"},
{index=49,level=1494,buffID=2288,buffDesc="经验获得增加49%"},
{index=50,level=1525,buffID=2289,buffDesc="经验获得增加50%"},
{index=51,level=1555,buffID=2290,buffDesc="经验获得增加51%"},
{index=52,level=1586,buffID=2291,buffDesc="经验获得增加52%"},
{index=53,level=1616,buffID=2292,buffDesc="经验获得增加53%"},
{index=54,level=1647,buffID=2293,buffDesc="经验获得增加54%"},
{index=55,level=1677,buffID=2294,buffDesc="经验获得增加55%"},
{index=56,level=1708,buffID=2295,buffDesc="经验获得增加56%"},
{index=57,level=1738,buffID=2296,buffDesc="经验获得增加57%"},
{index=58,level=1769,buffID=2297,buffDesc="经验获得增加58%"},
{index=59,level=1799,buffID=2298,buffDesc="经验获得增加59%"},
{index=60,level=1830,buffID=2299,buffDesc="经验获得增加60%"},
{index=61,level=1860,buffID=2300,buffDesc="经验获得增加61%"},
{index=62,level=1891,buffID=2301,buffDesc="经验获得增加62%"},
{index=63,level=1921,buffID=2302,buffDesc="经验获得增加63%"},
{index=64,level=1952,buffID=2303,buffDesc="经验获得增加64%"},
{index=65,level=1982,buffID=2304,buffDesc="经验获得增加65%"},
{index=66,level=2013,buffID=2305,buffDesc="经验获得增加66%"},
{index=67,level=2043,buffID=2306,buffDesc="经验获得增加67%"},
{index=68,level=2074,buffID=2307,buffDesc="经验获得增加68%"},
{index=69,level=2104,buffID=2308,buffDesc="经验获得增加69%"},
{index=70,level=2135,buffID=2309,buffDesc="经验获得增加70%"},
{index=71,level=2165,buffID=2310,buffDesc="经验获得增加71%"},
{index=72,level=2196,buffID=2311,buffDesc="经验获得增加72%"},
{index=73,level=2226,buffID=2312,buffDesc="经验获得增加73%"},
{index=74,level=2257,buffID=2313,buffDesc="经验获得增加74%"},
{index=75,level=2287,buffID=2314,buffDesc="经验获得增加75%"},
{index=76,level=2318,buffID=2315,buffDesc="经验获得增加76%"},
{index=77,level=2348,buffID=2316,buffDesc="经验获得增加77%"},
{index=78,level=2379,buffID=2317,buffDesc="经验获得增加78%"},
{index=79,level=2409,buffID=2318,buffDesc="经验获得增加79%"},
{index=80,level=2440,buffID=2319,buffDesc="经验获得增加80%"},
{index=81,level=2470,buffID=2320,buffDesc="经验获得增加81%"},
{index=82,level=2501,buffID=2321,buffDesc="经验获得增加82%"},
{index=83,level=2531,buffID=2322,buffDesc="经验获得增加83%"},
{index=84,level=2562,buffID=2323,buffDesc="经验获得增加84%"},
{index=85,level=2592,buffID=2324,buffDesc="经验获得增加85%"},
{index=86,level=2623,buffID=2325,buffDesc="经验获得增加86%"},
{index=87,level=2653,buffID=2326,buffDesc="经验获得增加87%"},
{index=88,level=2684,buffID=2327,buffDesc="经验获得增加88%"},
{index=89,level=2714,buffID=2328,buffDesc="经验获得增加89%"},
{index=90,level=2745,buffID=2329,buffDesc="经验获得增加90%"},
{index=91,level=2775,buffID=2330,buffDesc="经验获得增加91%"},
{index=92,level=2806,buffID=2331,buffDesc="经验获得增加92%"},
{index=93,level=2836,buffID=2332,buffDesc="经验获得增加93%"},
{index=94,level=2867,buffID=2333,buffDesc="经验获得增加94%"},
{index=95,level=2897,buffID=2334,buffDesc="经验获得增加95%"},
{index=96,level=2928,buffID=2335,buffDesc="经验获得增加96%"},
{index=97,level=2958,buffID=2336,buffDesc="经验获得增加97%"},
{index=98,level=2989,buffID=2337,buffDesc="经验获得增加98%"},
{index=99,level=3019,buffID=2338,buffDesc="经验获得增加99%"},
{index=100,level=3050,buffID=2339,buffDesc="经验获得增加100%"},
