NUM	NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	NUM	NUM	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
44	700001	1	44	95	99	¾ç¶¾ºìÍÜÊ×Áì		26267	-1	179	75	0	9	624	1	0	0	0	0	0	0	21
45	700001	1	45	100	104	¾ç¶¾ºìÍÜÊ×Áì		44154	-1	179	75	0	9	624	1	0	0	0	0	0	0	21
46	700001	1	46	105	109	¾ç¶¾ºìÍÜÊ×Áì		44155	-1	179	75	0	9	624	1	0	0	0	0	0	0	21
47	700001	1	47	110	114	¾ç¶¾ºìÍÜÊ×Áì		44156	-1	179	75	0	9	624	1	0	0	0	0	0	0	21
48	700001	1	48	115	119	¾ç¶¾ºìÍÜÊ×Áì		44157	-1	179	75	0	9	624	1	0	0	0	0	0	0	21
49	700001	1	49	120	124	¾ç¶¾ºìÍÜÊ×Áì		44158	-1	179	75	0	9	624	1	0	0	0	0	0	0	21
50	700001	1	50	125	129	¾ç¶¾ºìÍÜÊ×Áì		44159	-1	179	75	0	9	624	1	0	0	0	0	0	0	21
51	700001	1	51	130	134	¾ç¶¾ºìÍÜÊ×Áì		44160	-1	179	75	0	9	624	1	0	0	0	0	0	0	21
52	700001	1	52	135	139	¾ç¶¾ºìÍÜÊ×Áì		44161	-1	179	75	0	9	624	1	0	0	0	0	0	0	21
53	700001	1	53	140	144	¾ç¶¾ºìÍÜÊ×Áì		44162	-1	179	75	0	9	624	1	0	0	0	0	0	0	21
54	700001	1	54	145	149	¾ç¶¾ºìÍÜÊ×Áì		44163	-1	179	75	0	9	624	1	0	0	0	0	0	0	21
55	700001	1	55	150	154	¾ç¶¾ºìÍÜÊ×Áì		44164	-1	179	75	0	9	624	1	0	0	0	0	0	0	21
56	700001	1	56	155	161	¾ç¶¾ºìÍÜÊ×Áì		44165	-1	179	75	0	9	624	1	0	0	0	0	0	0	21
57	700001	1	57	65	69	¾ÞÇ¯¶¾Ð«Ê×Áì		26272	-1	202	127	0	9	625	2	0	0	0	0	0	0	21
58	700001	1	58	70	74	¾ÞÇ¯¶¾Ð«Ê×Áì		26273	-1	202	127	0	9	625	2	0	0	0	0	0	0	21
59	700001	1	59	75	79	¾ÞÇ¯¶¾Ð«Ê×Áì		26274	-1	202	127	0	9	625	2	0	0	0	0	0	0	21
60	700001	1	60	80	84	¾ÞÇ¯¶¾Ð«Ê×Áì		26275	-1	202	127	0	9	625	2	0	0	0	0	0	0	21
61	700001	1	61	85	89	¾ÞÇ¯¶¾Ð«Ê×Áì		26276	-1	202	127	0	9	625	2	0	0	0	0	0	0	21
62	700001	1	62	90	94	¾ÞÇ¯¶¾Ð«Ê×Áì		26277	-1	202	127	0	9	625	2	0	0	0	0	0	0	21
63	700001	1	63	95	99	¾ÞÇ¯¶¾Ð«Ê×Áì		26278	-1	202	127	0	9	625	2	0	0	0	0	0	0	21
64	700001	1	64	100	104	¾ÞÇ¯¶¾Ð«Ê×Áì		44166	-1	202	127	0	9	625	2	0	0	0	0	0	0	21
65	700001	1	65	105	109	¾ÞÇ¯¶¾Ð«Ê×Áì		44167	-1	202	127	0	9	625	2	0	0	0	0	0	0	21
66	700001	1	66	110	114	¾ÞÇ¯¶¾Ð«Ê×Áì		44168	-1	202	127	0	9	625	2	0	0	0	0	0	0	21
67	700001	1	67	115	119	¾ÞÇ¯¶¾Ð«Ê×Áì		44169	-1	202	127	0	9	625	2	0	0	0	0	0	0	21
68	700001	1	68	120	124	¾ÞÇ¯¶¾Ð«Ê×Áì		44170	-1	202	127	0	9	625	2	0	0	0	0	0	0	21
69	700001	1	69	125	129	¾ÞÇ¯¶¾Ð«Ê×Áì		44171	-1	202	127	0	9	625	2	0	0	0	0	0	0	21
70	700001	1	70	130	134	¾ÞÇ¯¶¾Ð«Ê×Áì		44172	-1	202	127	0	9	625	2	0	0	0	0	0	0	21
71	700001	1	71	135	139	¾ÞÇ¯¶¾Ð«Ê×Áì		44173	-1	202	127	0	9	625	2	0	0	0	0	0	0	21
72	700001	1	72	140	144	¾ÞÇ¯¶¾Ð«Ê×Áì		44174	-1	202	127	0	9	625	2	0	0	0	0	0	0	21
73	700001	1	73	145	149	¾ÞÇ¯¶¾Ð«Ê×Áì		44175	-1	202	127	0	9	625	2	0	0	0	0	0	0	21
74	700001	1	74	150	154	¾ÞÇ¯¶¾Ð«Ê×Áì		44176	-1	202	127	0	9	625	2	0	0	0	0	0	0	21
75	700001	1	75	155	161	¾ÞÇ¯¶¾Ð«Ê×Áì		44177	-1	202	127	0	9	625	2	0	0	0	0	0	0	21
76	700001	1	76	65	69	¶ÀÑÛ¶ñÁéÊ×Áì		26283	-1	179	177	0	9	626	3	0	0	0	0	0	0	21
77	700001	1	77	70	74	¶ÀÑÛ¶ñÁéÊ×Áì		26284	-1	179	177	0	9	626	3	0	0	0	0	0	0	21
78	700001	1	78	75	79	¶ÀÑÛ¶ñÁéÊ×Áì		26285	-1	179	177	0	9	626	3	0	0	0	0	0	0	21
79	700001	1	79	80	84	¶ÀÑÛ¶ñÁéÊ×Áì		26286	-1	179	177	0	9	626	3	0	0	0	0	0	0	21
80	700001	1	80	85	89	¶ÀÑÛ¶ñÁéÊ×Áì		26287	-1	179	177	0	9	626	3	0	0	0	0	0	0	21
81	700001	1	81	90	94	¶ÀÑÛ¶ñÁéÊ×Áì		26288	-1	179	177	0	9	626	3	0	0	0	0	0	0	21
82	700001	1	82	95	99	¶ÀÑÛ¶ñÁéÊ×Áì		26289	-1	179	177	0	9	626	3	0	0	0	0	0	0	21
83	700001	1	83	100	104	¶ÀÑÛ¶ñÁéÊ×Áì		44178	-1	179	177	0	9	626	3	0	0	0	0	0	0	21
84	700001	1	84	105	109	¶ÀÑÛ¶ñÁéÊ×Áì		44179	-1	179	177	0	9	626	3	0	0	0	0	0	0	21
85	700001	1	85	110	114	¶ÀÑÛ¶ñÁéÊ×Áì		44180	-1	179	177	0	9	626	3	0	0	0	0	0	0	21
86	700001	1	86	115	119	¶ÀÑÛ¶ñÁéÊ×Áì		44181	-1	179	177	0	9	626	3	0	0	0	0	0	0	21
87	700001	1	87	120	124	¶ÀÑÛ¶ñÁéÊ×Áì		44182	-1	179	177	0	9	626	3	0	0	0	0	0	0	21
88	700001	1	88	125	129	¶ÀÑÛ¶ñÁéÊ×Áì		44183	-1	179	177	0	9	626	3	0	0	0	0	0	0	21
89	700001	1	89	130	134	¶ÀÑÛ¶ñÁéÊ×Áì		44184	-1	179	177	0	9	626	3	0	0	0	0	0	0	21
90	700001	1	90	135	139	¶ÀÑÛ¶ñÁéÊ×Áì		44185	-1	179	177	0	9	626	3	0	0	0	0	0	0	21
91	700001	1	91	140	144	¶ÀÑÛ¶ñÁéÊ×Áì		44186	-1	179	177	0	9	626	3	0	0	0	0	0	0	21
92	700001	1	92	145	149	¶ÀÑÛ¶ñÁéÊ×Áì		44187	-1	179	177	0	9	626	3	0	0	0	0	0	0	21
93	700001	1	93	150	154	¶ÀÑÛ¶ñÁéÊ×Áì		44188	-1	179	177	0	9	626	3	0	0	0	0	0	0	21
94	700001	1	94	155	161	¶ÀÑÛ¶ñÁéÊ×Áì		44189	-1	179	177	0	9	626	3	0	0	0	0	0	0	21
95	700001	1	95	65	69	Ó×ºìÁ§Ê×Áì		26294	-1	128	200	0	9	627	4	0	0	0	0	0	0	21
96	700001	1	96	70	74	Ó×ºìÁ§Ê×Áì		26295	-1	128	200	0	9	627	4	0	0	0	0	0	0	21
97	700001	1	97	75	79	Ó×ºìÁ§Ê×Áì		26296	-1	128	200	0	9	627	4	0	0	0	0	0	0	21
98	700001	1	98	80	84	Ó×ºìÁ§Ê×Áì		26297	-1	128	200	0	9	627	4	0	0	0	0	0	0	21
99	700001	1	99	85	89	Ó×ºìÁ§Ê×Áì		26298	-1	128	200	0	9	627	4	0	0	0	0	0	0	21
100	700001	1	100	90	94	Ó×ºìÁ§Ê×Áì		26299	-1	128	200	0	9	627	4	0	0	0	0	0	0	21
101	700001	1	101	95	99	Ó×ºìÁ§Ê×Áì		26300	-1	128	200	0	9	627	4	0	0	0	0	0	0	21
102	700001	1	102	100	104	Ó×ºìÁ§Ê×Áì		44190	-1	128	200	0	9	627	4	0	0	0	0	0	0	21
103	700001	1	103	105	109	Ó×ºìÁ§Ê×Áì		44191	-1	128	200	0	9	627	4	0	0	0	0	0	0	21
104	700001	1	104	110	114	Ó×ºìÁ§Ê×Áì		44192	-1	128	200	0	9	627	4	0	0	0	0	0	0	21
105	700001	1	105	115	119	Ó×ºìÁ§Ê×Áì		44193	-1	128	200	0	9	627	4	0	0	0	0	0	0	21
106	700001	1	106	120	124	Ó×ºìÁ§Ê×Áì		44194	-1	128	200	0	9	627	4	0	0	0	0	0	0	21
107	700001	1	107	125	129	Ó×ºìÁ§Ê×Áì		44195	-1	128	200	0	9	627	4	0	0	0	0	0	0	21
108	700001	1	108	130	134	Ó×ºìÁ§Ê×Áì		44196	-1	128	200	0	9	627	4	0	0	0	0	0	0	21
109	700001	1	109	135	139	Ó×ºìÁ§Ê×Áì		44197	-1	128	200	0	9	627	4	0	0	0	0	0	0	21
110	700001	1	110	140	144	Ó×ºìÁ§Ê×Áì		44198	-1	128	200	0	9	627	4	0	0	0	0	0	0	21
111	700001	1	111	145	149	Ó×ºìÁ§Ê×Áì		44199	-1	128	200	0	9	627	4	0	0	0	0	0	0	21
112	700001	1	112	150	154	Ó×ºìÁ§Ê×Áì		44200	-1	128	200	0	9	627	4	0	0	0	0	0	0	21
113	700001	1	113	155	161	Ó×ºìÁ§Ê×Áì		44201	-1	128	200	0	9	627	4	0	0	0	0	0	0	21
114	700001	1	114	65	69	Ñá»ðÒìÊÞÊ×Áì		26305	-1	76	178	0	9	628	5	0	0	0	0	0	0	21
115	700001	1	115	70	74	Ñá»ðÒìÊÞÊ×Áì		26306	-1	76	178	0	9	628	5	0	0	0	0	0	0	21
116	700001	1	116	75	79	Ñá»ðÒìÊÞÊ×Áì		26307	-1	76	178	0	9	628	5	0	0	0	0	0	0	21
117	700001	1	117	80	84	Ñá»ðÒìÊÞÊ×Áì		26308	-1	76	178	0	9	628	5	0	0	0	0	0	0	21
118	700001	1	118	85	89	Ñá»ðÒìÊÞÊ×Áì		26309	-1	76	178	0	9	628	5	0	0	0	0	0	0	21
119	700001	1	119	90	94	Ñá»ðÒìÊÞÊ×Áì		26310	-1	76	178	0	9	628	5	0	0	0	0	0	0	21
120	700001	1	120	95	99	Ñá»ðÒìÊÞÊ×Áì		26311	-1	76	178	0	9	628	5	0	0	0	0	0	0	21
121	700001	1	121	100	104	Ñá»ðÒìÊÞÊ×Áì		44202	-1	76	178	0	9	628	5	0	0	0	0	0	0	21
122	700001	1	122	105	109	Ñá»ðÒìÊÞÊ×Áì		44203	-1	76	178	0	9	628	5	0	0	0	0	0	0	21
123	700001	1	123	110	114	Ñá»ðÒìÊÞÊ×Áì		44204	-1	76	178	0	9	628	5	0	0	0	0	0	0	21
124	700001	1	124	115	119	Ñá»ðÒìÊÞÊ×Áì		44205	-1	76	178	0	9	628	5	0	0	0	0	0	0	21
125	700001	1	125	120	124	Ñá»ðÒìÊÞÊ×Áì		44206	-1	76	178	0	9	628	5	0	0	0	0	0	0	21
126	700001	1	126	125	129	Ñá»ðÒìÊÞÊ×Áì		44207	-1	76	178	0	9	628	5	0	0	0	0	0	0	21
127	700001	1	127	130	134	Ñá»ðÒìÊÞÊ×Áì		44208	-1	76	178	0	9	628	5	0	0	0	0	0	0	21
128	700001	1	128	135	139	Ñá»ðÒìÊÞÊ×Áì		44209	-1	76	178	0	9	628	5	0	0	0	0	0	0	21
129	700001	1	129	140	144	Ñá»ðÒìÊÞÊ×Áì		44210	-1	76	178	0	9	628	5	0	0	0	0	0	0	21
130	700001	1	130	145	149	Ñá»ðÒìÊÞÊ×Áì		44211	-1	76	178	0	9	628	5	0	0	0	0	0	0	21
131	700001	1	131	150	154	Ñá»ðÒìÊÞÊ×Áì		44212	-1	76	178	0	9	628	5	0	0	0	0	0	0	21
132	700001	1	132	155	161	Ñá»ðÒìÊÞÊ×Áì		44213	-1	76	178	0	9	628	5	0	0	0	0	0	0	21
133	700001	1	133	65	69	Àë»ðÊ×Áì		26316	-1	54	126	0	9	629	6	0	0	0	0	0	0	21
134	700001	1	134	70	74	Àë»ðÊ×Áì		26317	-1	54	126	0	9	629	6	0	0	0	0	0	0	21
135	700001	1	135	75	79	Àë»ðÊ×Áì		26318	-1	54	126	0	9	629	6	0	0	0	0	0	0	21
136	700001	1	136	80	84	Àë»ðÊ×Áì		26319	-1	54	126	0	9	629	6	0	0	0	0	0	0	21
137	700001	1	137	85	89	Àë»ðÊ×Áì		26320	-1	54	126	0	9	629	6	0	0	0	0	0	0	21
138	700001	1	138	90	94	Àë»ðÊ×Áì		26321	-1	54	126	0	9	629	6	0	0	0	0	0	0	21
139	700001	1	139	95	99	Àë»ðÊ×Áì		26322	-1	54	126	0	9	629	6	0	0	0	0	0	0	21
140	700001	1	140	100	104	Àë»ðÊ×Áì		44214	-1	54	126	0	9	629	6	0	0	0	0	0	0	21
141	700001	1	141	105	109	Àë»ðÊ×Áì		44215	-1	54	126	0	9	629	6	0	0	0	0	0	0	21
142	700001	1	142	110	114	Àë»ðÊ×Áì		44216	-1	54	126	0	9	629	6	0	0	0	0	0	0	21
143	700001	1	143	115	119	Àë»ðÊ×Áì		44217	-1	54	126	0	9	629	6	0	0	0	0	0	0	21
144	700001	1	144	120	124	Àë»ðÊ×Áì		44218	-1	54	126	0	9	629	6	0	0	0	0	0	0	21
145	700001	1	145	125	129	Àë»ðÊ×Áì		44219	-1	54	126	0	9	629	6	0	0	0	0	0	0	21
146	700001	1	146	130	134	Àë»ðÊ×Áì		44220	-1	54	126	0	9	629	6	0	0	0	0	0	0	21
147	700001	1	147	135	139	Àë»ðÊ×Áì		44221	-1	54	126	0	9	629	6	0	0	0	0	0	0	21
148	700001	1	148	140	144	Àë»ðÊ×Áì		44222	-1	54	126	0	9	629	6	0	0	0	0	0	0	21
149	700001	1	149	145	149	Àë»ðÊ×Áì		44223	-1	54	126	0	9	629	6	0	0	0	0	0	0	21
150	700001	1	150	150	154	Àë»ðÊ×Áì		44224	-1	54	126	0	9	629	6	0	0	0	0	0	0	21
151	700001	1	151	155	161	Àë»ðÊ×Áì		44225	-1	54	126	0	9	629	6	0	0	0	0	0	0	21
152	700001	1	152	65	69	½Ù»ðÖ®¾«Ê×Áì		26327	-1	75	75	0	9	630	7	0	0	0	0	0	0	21
153	700001	1	153	70	74	½Ù»ðÖ®¾«Ê×Áì		26328	-1	75	75	0	9	630	7	0	0	0	0	0	0	21
154	700001	1	154	75	79	½Ù»ðÖ®¾«Ê×Áì		26329	-1	75	75	0	9	630	7	0	0	0	0	0	0	21
155	700001	1	155	80	84	½Ù»ðÖ®¾«Ê×Áì		26330	-1	75	75	0	9	630	7	0	0	0	0	0	0	21
156	700001	1	156	85	89	½Ù»ðÖ®¾«Ê×Áì		26331	-1	75	75	0	9	630	7	0	0	0	0	0	0	21
157	700001	1	157	90	94	½Ù»ðÖ®¾«Ê×Áì		26332	-1	75	75	0	9	630	7	0	0	0	0	0	0	21
158	700001	1	158	95	99	½Ù»ðÖ®¾«Ê×Áì		26333	-1	75	75	0	9	630	7	0	0	0	0	0	0	21
159	700001	1	159	100	104	½Ù»ðÖ®¾«Ê×Áì		44226	-1	75	75	0	9	630	7	0	0	0	0	0	0	21
160	700001	1	160	105	109	½Ù»ðÖ®¾«Ê×Áì		44227	-1	75	75	0	9	630	7	0	0	0	0	0	0	21
161	700001	1	161	110	114	½Ù»ðÖ®¾«Ê×Áì		44228	-1	75	75	0	9	630	7	0	0	0	0	0	0	21
162	700001	1	162	115	119	½Ù»ðÖ®¾«Ê×Áì		44229	-1	75	75	0	9	630	7	0	0	0	0	0	0	21
163	700001	1	163	120	124	½Ù»ðÖ®¾«Ê×Áì		44230	-1	75	75	0	9	630	7	0	0	0	0	0	0	21
164	700001	1	164	125	129	½Ù»ðÖ®¾«Ê×Áì		44231	-1	75	75	0	9	630	7	0	0	0	0	0	0	21
165	700001	1	165	130	134	½Ù»ðÖ®¾«Ê×Áì		44232	-1	75	75	0	9	630	7	0	0	0	0	0	0	21
166	700001	1	166	135	139	½Ù»ðÖ®¾«Ê×Áì		44233	-1	75	75	0	9	630	7	0	0	0	0	0	0	21
167	700001	1	167	140	144	½Ù»ðÖ®¾«Ê×Áì		44234	-1	75	75	0	9	630	7	0	0	0	0	0	0	21
168	700001	1	168	145	149	½Ù»ðÖ®¾«Ê×Áì		44235	-1	75	75	0	9	630	7	0	0	0	0	0	0	21
169	700001	1	169	150	154	½Ù»ðÖ®¾«Ê×Áì		44236	-1	75	75	0	9	630	7	0	0	0	0	0	0	21
170	700001	1	170	155	161	½Ù»ðÖ®¾«Ê×Áì		44237	-1	75	75	0	9	630	7	0	0	0	0	0	0	21
171	700001	1	171	65	69	ÁÒÑæÖ®»êÊ×Áì		26338	-1	75	75	0	9	631	8	0	0	0	0	0	0	21
172	700001	1	172	70	74	ÁÒÑæÖ®»êÊ×Áì		26339	-1	75	75	0	9	631	8	0	0	0	0	0	0	21
173	700001	1	173	75	79	ÁÒÑæÖ®»êÊ×Áì		26340	-1	75	75	0	9	631	8	0	0	0	0	0	0	21
174	700001	1	174	80	84	ÁÒÑæÖ®»êÊ×Áì		26341	-1	75	75	0	9	631	8	0	0	0	0	0	0	21
175	700001	1	175	85	89	ÁÒÑæÖ®»êÊ×Áì		26342	-1	75	75	0	9	631	8	0	0	0	0	0	0	21
176	700001	1	176	90	94	ÁÒÑæÖ®»êÊ×Áì		26343	-1	75	75	0	9	631	8	0	0	0	0	0	0	21
177	700001	1	177	95	99	ÁÒÑæÖ®»êÊ×Áì		26344	-1	75	75	0	9	631	8	0	0	0	0	0	0	21
178	700001	1	178	100	104	ÁÒÑæÖ®»êÊ×Áì		44238	-1	75	75	0	9	631	8	0	0	0	0	0	0	21
179	700001	1	179	105	109	ÁÒÑæÖ®»êÊ×Áì		44239	-1	75	75	0	9	631	8	0	0	0	0	0	0	21
180	700001	1	180	110	114	ÁÒÑæÖ®»êÊ×Áì		44240	-1	75	75	0	9	631	8	0	0	0	0	0	0	21
181	700001	1	181	115	119	ÁÒÑæÖ®»êÊ×Áì		44241	-1	75	75	0	9	631	8	0	0	0	0	0	0	21
182	700001	1	182	120	124	ÁÒÑæÖ®»êÊ×Áì		44242	-1	75	75	0	9	631	8	0	0	0	0	0	0	21
183	700001	1	183	125	129	ÁÒÑæÖ®»êÊ×Áì		44243	-1	75	75	0	9	631	8	0	0	0	0	0	0	21
184	700001	1	184	130	134	ÁÒÑæÖ®»êÊ×Áì		44244	-1	75	75	0	9	631	8	0	0	0	0	0	0	21
185	700001	1	185	135	139	ÁÒÑæÖ®»êÊ×Áì		44245	-1	75	75	0	9	631	8	0	0	0	0	0	0	21
186	700001	1	186	140	144	ÁÒÑæÖ®»êÊ×Áì		44246	-1	75	75	0	9	631	8	0	0	0	0	0	0	21
187	700001	1	187	145	149	ÁÒÑæÖ®»êÊ×Áì		44247	-1	75	75	0	9	631	8	0	0	0	0	0	0	21
188	700001	1	188	150	154	ÁÒÑæÖ®»êÊ×Áì		44248	-1	75	75	0	9	631	8	0	0	0	0	0	0	21
189	700001	1	189	155	161	ÁÒÑæÖ®»êÊ×Áì		44249	-1	75	75	0	9	631	8	0	0	0	0	0	0	21
190	700001	1	190	65	69	Å­Ñ×Ö®´¸		26349	-1	75	75	0	9	632	9	0	0	0	0	0	0	21
191	700001	1	191	70	74	Å­Ñ×Ö®´¸		26350	-1	75	75	0	9	632	9	0	0	0	0	0	0	21
192	700001	1	192	75	79	Å­Ñ×Ö®´¸		26351	-1	75	75	0	9	632	9	0	0	0	0	0	0	21
193	700001	1	193	80	84	Å­Ñ×Ö®´¸		26352	-1	75	75	0	9	632	9	0	0	0	0	0	0	21
194	700001	1	194	85	89	Å­Ñ×Ö®´¸		26353	-1	75	75	0	9	632	9	0	0	0	0	0	0	21
195	700001	1	195	90	94	Å­Ñ×Ö®´¸		26354	-1	75	75	0	9	632	9	0	0	0	0	0	0	21
196	700001	1	196	95	99	Å­Ñ×Ö®´¸		26355	-1	75	75	0	9	632	9	0	0	0	0	0	0	21
197	700001	1	197	100	104	Å­Ñ×Ö®´¸		44250	-1	75	75	0	9	632	9	0	0	0	0	0	0	21
198	700001	1	198	105	109	Å­Ñ×Ö®´¸		44251	-1	75	75	0	9	632	9	0	0	0	0	0	0	21
199	700001	1	199	110	114	Å­Ñ×Ö®´¸		44252	-1	75	75	0	9	632	9	0	0	0	0	0	0	21
200	700001	1	200	115	119	Å­Ñ×Ö®´¸		44253	-1	75	75	0	9	632	9	0	0	0	0	0	0	21
201	700001	1	201	120	124	Å­Ñ×Ö®´¸		44254	-1	75	75	0	9	632	9	0	0	0	0	0	0	21
202	700001	1	202	125	129	Å­Ñ×Ö®´¸		44255	-1	75	75	0	9	632	9	0	0	0	0	0	0	21
203	700001	1	203	130	134	Å­Ñ×Ö®´¸		44256	-1	75	75	0	9	632	9	0	0	0	0	0	0	21
204	700001	1	204	135	139	Å­Ñ×Ö®´¸		44257	-1	75	75	0	9	632	9	0	0	0	0	0	0	21
205	700001	1	205	140	144	Å­Ñ×Ö®´¸		44258	-1	75	75	0	9	632	9	0	0	0	0	0	0	21
206	700001	1	206	145	149	Å­Ñ×Ö®´¸		44259	-1	75	75	0	9	632	9	0	0	0	0	0	0	21
207	700001	1	207	150	154	Å­Ñ×Ö®´¸		44260	-1	75	75	0	9	632	9	0	0	0	0	0	0	21
