NUM	TEXT	NUM	NUM	NUM	TEXT	NUM
165	增强对火枪手伤害	1	228	1	1~12|20~29|35~46	300
166	增强对先知伤害	1	229	3	1~12|20~29|35~46	300
167	增强对先知伤害	1	229	2	1~12|20~29|35~46	300
168	增强对先知伤害	1	229	1	1~12|20~29|35~46	300
169	增强对萨满伤害	1	230	3	1~12|20~29|35~46	300
170	增强对萨满伤害	1	230	2	1~12|20~29|35~46	300
171	增强对萨满伤害	1	230	1	1~12|20~29|35~46	300
172	增强对十字军伤害	1	231	3	1~12|20~29|35~46	300
173	增强对十字军伤害	1	231	2	1~12|20~29|35~46	300
174	增强对十字军伤害	1	231	1	1~12|20~29|35~46	300
175	增强对圣火使伤害	1	232	3	1~12|20~29|35~46	300
176	增强对圣火使伤害	1	232	2	1~12|20~29|35~46	300
177	增强对圣火使伤害	1	232	1	1~12|20~29|35~46	300
178	增强对刺客伤害	1	233	3	1~12|20~29|35~46	300
179	增强对刺客伤害	1	233	2	1~12|20~29|35~46	300
180	增强对刺客伤害	1	233	1	1~12|20~29|35~46	300
181	增强对近卫军伤害	1	234	3	1~12|20~29|35~46	300
182	增强对近卫军伤害	1	234	2	1~12|20~29|35~46	300
183	增强对近卫军伤害	1	234	1	1~12|20~29|35~46	300
184	增强对隐修士伤害	1	235	3	1~12|20~29|35~46	300
185	增强对隐修士伤害	1	235	2	1~12|20~29|35~46	300
186	增强对隐修士伤害	1	235	1	1~12|20~29|35~46	300
187	增强对僧侣伤害	1	236	3	1~12|20~29|35~46	300
188	增强对僧侣伤害	1	236	2	1~12|20~29|35~46	300
189	增强对僧侣伤害	1	236	1	1~12|20~29|35~46	300
