NUM	TEXT	NUM	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT
9	主手	1535	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1
10	主手	3071	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1
11	主手	6143	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1
12	主手	12287	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1
13	主手	24575	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1
14	主手	49151	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1
15	副手	1	16|18|20	6|22	-1	-1	-1	-1	-1	-1	0|12	0|12	-1	-1	-1	-1	-1	-1	2|14	2|14	-1	-1	-1	-1	-1	-1	2|14	2|14	-1	-1	-1	-1	-1	-1	4|10	4|10	-1	-1	-1	-1	-1	-1	4|10	4|10	-1	-1	-1	-1	-1	-1	16|18|20	6|22	-1	-1	-1	-1	-1	-1	0|12	0|12	-1	-1	-1	-1	-1	-1	2|14	2|14	-1	-1	-1	-1	-1	-1	2|14	2|14	-1	-1	-1	-1	-1	-1	4|10	4|10	-1	-1	-1	-1	-1	-1	4|10	4|10	-1	-1	-1	-1	-1	-1
16	副手	5	16|18|20	6|22	6|22|54	-1	-1	-1	-1	-1	0|12	0|12	50|53|97	-1	-1	-1	-1	-1	2|14	2|14	50|53|97	-1	-1	-1	-1	-1	2|14	2|14	50|53|97	-1	-1	-1	-1	-1	4|10	4|10	50|53|97	-1	-1	-1	-1	-1	4|10	4|10	50|53|97	-1	-1	-1	-1	-1	16|18|20	6|22	6|22|54	-1	-1	-1	-1	-1	0|12	0|12	50|53|97	-1	-1	-1	-1	-1	2|14	2|14	50|53|97	-1	-1	-1	-1	-1	2|14	2|14	50|53|97	-1	-1	-1	-1	-1	4|10	4|10	50|53|97	-1	-1	-1	-1	-1	4|10	4|10	50|53|97	-1	-1	-1	-1	-1
17	副手	11	16|18|20	16|18|20	6|22|54	6|22|54	-1	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	-1	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	-1	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	-1	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	-1	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	-1	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	-1	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	-1	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	-1	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	-1	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	-1	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	-1	-1	-1	-1
18	副手	23	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1
19	副手	47	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1
20	副手	95	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1
21	副手	191	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1
22	副手	383	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1
23	副手	767	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1
24	副手	1535	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1
25	副手	3071	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1
26	副手	6143	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	16|18|20	16|18|20	6|22|54	6|22|54	16|18|20|6|22	-1	-1	-1	0|12	0|12	50|53|97	50|53|97	0|12|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	2|14	2|14	50|53|97	50|53|97	2|14|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1	4|10	4|10	50|53|97	50|53|97	4|10|50|53|97	-1	-1	-1
